cycle_id,status,entry_date,exit_date,quantity,entry_price,exit_price,net_return,decision_id,entry_signal_date,entry_execution_date,entry_factor_score,entry_regime,entry_order_attempts,overlaps_drawdown_1,overlaps_drawdown_2,overlaps_drawdown_3
CYC-1B3F883ACFE7B85F49D9,CLOSED,2024-06-03 00:00:00,2024-06-26,143400,0.761,0.734,-0.0364436704118374,DEC-4FCEAE7C484863BE3B79,2024-05-31,2024-06-03,0.1751566378929571,range,1,False,False,True
CYC-A5B08E3B1ACBDBC72EA4,CLOSED,2024-07-12 00:00:00,2024-07-24,142800,0.732,0.739,0.0085537832176807,DEC-B7FBF27FD3607B3C80E3,2024-07-11,2024-07-12,0.2071620130183205,range,2,False,False,True
CYC-26105522ED113F38F253,CLOSED,2024-08-01 10:00:00,2024-08-06,139000,0.763,0.73,-0.0442065991905751,DEC-8E00297DFB1D11D16BFD,2024-07-31,2024-08-01,0.3365405249057849,trend,1,False,False,True
CYC-8D9BC752629049DA7687,CLOSED,2024-09-25 14:00:00,2024-10-31,148200,0.684,0.981,0.4327770325363635,DEC-1AF36A893330C7508C43,2024-09-24,2024-09-25,0.2228945272689707,trend,1,False,True,False
CYC-79E504685ABD3B4FBB5A,CLOSED,2024-11-06 10:00:00,2024-11-18,142500,1.019,1.014,-0.0059013672751455,DEC-2ADC8A051D2D7B43E996,2024-11-05,2024-11-06,0.3684875848940346,trend,1,False,False,False
CYC-B8C451D0283F922034A6,CLOSED,2024-12-03 00:00:00,2024-12-06,138600,1.041,1.03,-0.0115557014960335,DEC-84C97276924532BB1C24,2024-12-02,2024-12-03,0.3037795592828951,trend,1,False,False,False
CYC-88D4650CAB245A8F16BD,CLOSED,2024-12-11 00:00:00,2024-12-16,137700,1.034,1.013,-0.0212886786780692,DEC-910748BDDE511A59DEFD,2024-12-10,2024-12-11,0.4331956105051742,trend,1,False,False,False
CYC-95CD200A8757421803A4,CLOSED,2024-12-23 00:00:00,2025-01-02,134900,1.035,1.01,-0.0251299471037428,DEC-908ED6F7419814779F3E,2024-12-20,2024-12-23,0.3684875848940346,trend,1,False,False,False
CYC-06465B64AB8791C30CEF,CLOSED,2025-01-08 00:00:00,2025-01-14,137500,0.98,0.98,-0.000999500249875,DEC-56465C3C43D9C4276D4C,2025-01-07,2025-01-08,0.2161826407943579,range,1,False,False,False
CYC-431ED0FD9EA4116F77A8,CLOSED,2025-01-15 00:00:00,2025-03-12,135300,1.002,1.133,0.1296083495178559,DEC-8BCF61A16554BB424A3C,2025-01-14,2025-01-15,0.3623103899708719,range,1,False,False,False
CYC-E68289EDF899100EE6D8,CLOSED,2025-04-14 10:00:00,2025-04-24,148400,1.035,1.036,-3.428237572034032e-05,DEC-B0A3D3F50362F6655C2D,2025-04-11,2025-04-14,0.2668738534159479,range,1,False,False,False
CYC-9913C7D0CB0EDE92F2F4,CLOSED,2025-05-09 00:00:00,2025-05-16,146100,1.046,1.02,-0.0258312526337213,DEC-BD3FBCB2602A0B55B02F,2025-05-08,2025-05-09,0.269059648930894,range,1,False,False,False
CYC-0154161DB24CBDC583A9,CLOSED,2025-06-06 00:00:00,2025-06-11,146000,1.023,1.007,-0.016624141497189,DEC-746C99F78D7E8B46B218,2025-06-05,2025-06-06,0.2876025528801103,trend,1,False,False,False
CYC-1A0A96E5DECB08154D24,CLOSED,2025-06-25 10:30:00,2025-07-10,146700,1.003,1.008,0.0039805620619401,DEC-CB5E42746AE49029A9EA,2025-06-24,2025-06-25,0.3684875848940346,trend,1,False,False,False
CYC-230BEE47CE8A8D73EB40,CLOSED,2025-07-14 10:00:00,2025-09-09,144800,1.02,1.28,0.2536476859609411,DEC-08A023E3CF6BFCA3E217,2025-07-11,2025-07-14,0.269059648930894,range,1,False,False,False
