factor,factor_kind,year,horizon,active_n,control_n,active_return,control_return,return_delta,active_mae,control_mae,mae_delta,active_max_drawdown,control_max_drawdown,max_drawdown_delta
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2022,5,16,226,0.01352750698493805,-0.006865805348223477,0.020393312333161526,-0.013394615863719865,-0.02310194657980906,0.009707330716089195,-0.02614922799232501,-0.03179725320449749,0.005648025212172482
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2022,20,16,226,-0.002744350142429998,-0.019422309029439165,0.016677958887009167,-0.051744514114933186,-0.06842103889158227,0.016676524776649083,-0.0834169135928585,-0.08725726766604139,0.0038403540731828945
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2022,60,16,226,0.02277708694297418,-0.04145590460835894,0.06423299155133312,-0.10000487444227914,-0.13839258104460822,0.03838770660232908,-0.13673772349140306,-0.17258393726438748,0.035846213772984414
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2023,5,14,223,-0.008630459735922778,-0.0026185357931692143,-0.006011923942753563,-0.01853066255264209,-0.015285174871392204,-0.003245487681249888,-0.0244554983305914,-0.022361858514337293,-0.0020936398162541073
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2023,20,11,211,-0.005591518851159463,-0.013965303689495674,0.008373784838336212,-0.042837605794198416,-0.041365577408110345,-0.0014720283860880715,-0.05735394008433052,-0.05908005023894319,0.0017261101546126659
state__raw__daily__cxt_second_bs_V230320__di_1::二卖,event,2023,60,6,176,-0.043328158237512106,-0.046232103833719514,0.002903945596207408,-0.08015406889385807,-0.08258077218531018,0.0024267032914521147,-0.11547009495261001,-0.1205731096228015,0.005103014670191489
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2021,5,167,76,-0.0036786729755314976,0.006713105230005259,-0.010391778205536757,-0.019454704960146268,-0.011638206189440533,-0.007816498770705735,-0.027770179577899255,-0.021088292846821607,-0.006681886731077648
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2021,20,167,76,-0.019219134454220806,0.026192125849964488,-0.0454112603041853,-0.052794347710356876,-0.025505311446188915,-0.02728903626416796,-0.07089613219813116,-0.049363764686587736,-0.02153236751154343
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2021,60,167,76,-0.04353501487160992,0.042503246774546505,-0.08603826164615642,-0.11361047315930331,-0.06297932564769897,-0.050631147511604344,-0.14229322268617553,-0.10165352618960793,-0.040639696496567596
state__raw__daily__cxt_second_bs_V230320__di_1::其他,state,2022,5,153,89,-0.010098293174728535,0.0023573815594827934,-0.012455674734211329,-0.024895563563210866,-0.018273399502079804,-0.006622164061131062,-0.03308075444504771,-0.028575409460689143,-0.004505344984358568
