factor,endpoint,pass
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合0次|任意__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__joint::顶重合2次|底重合0次|任意__onset,return_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__joint::顶重合2次|底重合0次|任意__exit,return_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__joint::顶重合3次|底重合0次|任意__onset,return_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__joint::顶重合3次|底重合0次|任意__exit,return_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v1::顶重合0次__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v1::顶重合0次__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v1::顶重合1次__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v1::顶重合1次__age_1_3,max_drawdown_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v1::顶重合3次__onset,return_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v1::顶重合3次__exit,return_20,True
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v2::底重合0次__age_1_3,return_20,False
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v2::底重合0次__age_1_3,max_drawdown_20,False
dynamic__state__raw__daily__cxt_overlap_V240526__di_1__v2::底重合0次__age_9_plus,return_20,True
dynamic__state__raw__daily__cxt_range_oscillation_V230620__di_1__v1::3笔震荡__onset,return_20,False
dynamic__state__raw__daily__cxt_range_oscillation_V230620__di_1__v2::向上__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_range_oscillation_V230620__di_1__v2::向上__age_4_8,max_drawdown_20,True
dynamic__state__raw__daily__cxt_second_bs_V230320__di_1__v1::二买__post_1_5,return_20,True
dynamic__state__raw__daily__cxt_second_bs_V230320__di_1__v1::二卖__post_1_5,return_20,False
dynamic__state__raw__daily__cxt_third_buy_V230228__di_1__v1::三买__post_1_5,return_20,True
dynamic__state__raw__daily__cxt_three_bi_V230618__di_1__v1::向上不重合__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_three_bi_V230618__di_1__v1::向上奔走型__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_three_bi_V230618__di_1__v1::向下奔走型__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_three_bi_V230618__di_1__v1::向下奔走型__exit,max_drawdown_20,True
dynamic__state__raw__daily__cxt_ubi_end_V230816__di_1__joint::新低|第3次|任意__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_ubi_end_V230816__di_1__v2::第3次__onset,max_drawdown_20,True
dynamic__state__raw__daily__cxt_ubi_end_V230816__di_1__v2::第3次__age_1_3,return_20,True
dynamic__state__raw__daily__cxt_ubi_end_V230816__di_1__v2::第3次__age_1_3,max_drawdown_20,True
dynamic__state__raw__weekly__byi_fx_num_V230628__di_1__v1::向上__onset,return_20,True
dynamic__state__raw__weekly__byi_fx_num_V230628__di_1__v1::向下__age_4_8,max_drawdown_20,True
dynamic__state__raw__weekly__byi_fx_num_V230628__di_1__v1::向下__age_9_plus,return_20,False
dynamic__state__raw__weekly__byi_symmetry_zs_V221107__di_1__v2::向上__exit,return_20,True
dynamic__state__raw__weekly__byi_symmetry_zs_V221107__di_1__v2::向下__onset,return_20,True
dynamic__state__raw__weekly__cxt_bi_base_V230228__di_1__joint::向上|转折|任意__exit,return_20,True
dynamic__state__raw__weekly__cxt_bi_base_V230228__di_1__joint::向上|转折|任意__age_9_plus,return_20,True
dynamic__state__raw__weekly__cxt_bi_base_V230228__di_1__v1::向上__exit,return_20,True
dynamic__state__raw__weekly__cxt_bi_base_V230228__di_1__v1::向上__age_9_plus,return_20,False
dynamic__state__raw__weekly__cxt_bi_base_V230228__di_1__v1::向下__age_9_plus,max_drawdown_20,False
dynamic__state__raw__weekly__cxt_bi_base_V230228__di_1__v2::转折__age_9_plus,return_20,False
dynamic__state__raw__weekly__cxt_bi_base_V230228__di_1__v2::转折__age_9_plus,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意__onset,return_20,True
dynamic__state__raw__weekly__cxt_bi_end_V230222__di_1__v1::新低__exit,return_20,True
dynamic__state__raw__weekly__cxt_bi_end_V230222__di_1__v1::新高__onset,return_20,True
dynamic__state__raw__weekly__cxt_bi_end_V230222__di_1__v1::新高__age_4_8,return_20,True
dynamic__state__raw__weekly__cxt_bi_end_V230222__di_1__v1::新高__age_9_plus,return_20,True
dynamic__state__raw__weekly__cxt_bi_end_V230618__di_1__v1::看多__exit,return_20,True
dynamic__state__raw__weekly__cxt_bi_status_V230101__di_1__v1::向上__onset,return_20,True
dynamic__state__raw__weekly__cxt_bi_status_V230101__di_1__v1::向上__exit,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_bi_status_V230101__di_1__v1::向下__onset,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_bi_status_V230101__di_1__v2::底分__exit,return_20,True
dynamic__state__raw__weekly__cxt_bi_status_V230101__di_1__v2::顶分__age_4_8,return_20,True
dynamic__state__raw__weekly__cxt_bi_status_V230101__di_1__v2::顶分__age_9_plus,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意__onset,return_20,True
dynamic__state__raw__weekly__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意__age_9_plus,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_bi_stop_V230815__di_1__v1::向上__exit,return_20,True
dynamic__state__raw__weekly__cxt_bi_stop_V230815__di_1__v1::向下__age_9_plus,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_bi_trend_V230913__di_1__joint::上升趋势|强|任意__onset,return_20,True
dynamic__state__raw__weekly__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意__onset,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_bi_trend_V230913__di_1__v1::观望__age_4_8,return_20,True
dynamic__state__raw__weekly__cxt_fx_power_V221107__di_1__v1::中底__age_4_8,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_fx_power_V221107__di_1__v2::有中枢__age_9_plus,return_20,True
dynamic__state__raw__weekly__cxt_overlap_V240526__di_1__joint::顶重合0次|底重合1次|任意__onset,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_overlap_V240526__di_1__v2::底重合1次__onset,max_drawdown_20,True
dynamic__state__raw__weekly__cxt_ubi_end_V230816__di_1__v2::第2次__age_9_plus,max_drawdown_20,True
