factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向上|任意__onset,event,return_20,-1,-0.01787280517586029,raw__30m__cxt_bi_status_V230101,0.14369660137544144
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向上|任意__age_1_3,state,return_20,-1,-0.013401008935861417,raw__30m__cxt_third_buy_V230228__di_1,0.09007581455789315
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::3笔震荡|向下|任意__age_1_3,state,max_drawdown_20,-1,-0.008642421911379665,raw__30m__cxt_third_buy_V230228__di_1,0.16608076656457094
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::7笔震荡|向下|任意__onset,event,max_drawdown_20,1,0.020189509374503357,raw__daily__cxt_bi_status_V230101,0.09877024744544648
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__joint::7笔震荡|向下|任意__exit,event,max_drawdown_20,1,0.021011175696583416,raw__daily__cxt_seven_bi_V230620__di_1,0.05481431322786425
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::2笔震荡__exit,event,return_20,-1,-0.016140977940425495,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.061635554017927134
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡__onset,event,return_20,-1,-0.02075082879529684,raw__30m__cxt_third_buy_V230228__di_1,0.07271436943725754
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡__exit,event,return_20,-1,-0.020213374715531057,raw__30m__cxt_third_buy_V230228__di_1,0.05276235351150928
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::3笔震荡__age_1_3,state,max_drawdown_20,-1,-0.009579953338689025,raw__weekly__cxt_bi_status_V230101,0.07993666410877373
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::4笔震荡__exit,event,return_20,-1,-0.0082565082428848,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.049093392867295416
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::6笔震荡__onset,event,max_drawdown_20,1,0.011880350697451506,raw__daily__cxt_bi_status_V230101,0.07691534500870695
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::6笔震荡__exit,event,max_drawdown_20,1,0.008173862918168013,raw__daily__cxt_seven_bi_V230620__di_1,0.09907592678222524
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::6笔震荡__age_1_3,state,max_drawdown_20,1,0.015164413903679803,raw__daily__cxt_bi_status_V230101,0.08862498400686851
dynamic__state__raw__30m__cxt_range_oscillation_V230620__di_1__v1::8笔震荡__onset,event,return_20,-1,-0.021291873375418137,raw__weekly__cxt_bi_status_V230101,0.07953162227867275
dynamic__state__raw__30m__cxt_second_bs_V230320__di_1__v1::二买__post_6_20,state,max_drawdown_20,1,0.00960678237377251,raw__daily__cxt_bi_status_V230101,0.3512951369971181
dynamic__state__raw__30m__cxt_second_bs_V230320__di_1__v1::二卖__post_6_20,state,return_20,1,0.022533015259770934,raw__daily__cxt_bi_status_V230101,0.1990241865321165
dynamic__state__raw__30m__cxt_third_bs_V230318__di_1__v1::三买__post_6_20,state,return_20,-1,-0.028998244621944037,raw__daily__cxt_five_bi_V230619__di_1,0.15280167717869936
dynamic__state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖__post_1_5,state,return_20,1,0.025519036453451365,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.2563303491052587
dynamic__state__raw__30m__cxt_third_bs_V230318__di_1__v1::三卖__post_6_20,state,max_drawdown_20,1,0.009718379445431882,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.14021929276981657
dynamic__state__raw__30m__cxt_third_bs_V230319__di_1__v1::三买__post_6_20,state,return_20,-1,-0.03032717317262896,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.14994264902995086
dynamic__state__raw__30m__cxt_third_buy_V230228__di_1__v1::三买__post_1_5,state,return_20,-1,-0.01871984669931112,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.3316726730349531
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上扩张__onset,event,max_drawdown_20,-1,-0.00914443491295494,raw__30m__cxt_bi_status_V230101,0.22601139118850666
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向上扩张__exit,event,max_drawdown_20,-1,-0.011168530748369015,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.1356422002032296
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型__onset,event,max_drawdown_20,-1,-0.011019520659050376,raw__30m__cxt_third_buy_V230228__di_1,0.24784729924599636
dynamic__state__raw__30m__cxt_three_bi_V230618__di_1__v1::向下奔走型__exit,event,max_drawdown_20,-1,-0.007932048871455731,raw__daily__cxt_bi_status_V230101,0.1169478532527913
