factor,reason
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第1次__age_1_3,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第1次__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第2次__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第2次__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第3次__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第3次__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第4次__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第4次__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第5次__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第5次__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第6次__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第6次__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第8次__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第8次__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第9次__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第9次__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第其他次__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第其他次__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第其他次__age_1_3,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230222__di_1__v2::第其他次__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230224__di_1__v1::看多__onset,event_year_support
dynamic__state__raw__30m__cxt_bi_end_V230224__di_1__v1::看多__exit,event_year_support
dynamic__state__raw__30m__cxt_bi_end_V230224__di_1__v1::看多__age_1_3,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230224__di_1__v1::看空__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230224__di_1__v1::看空__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230312__di_1__v1::看多__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230312__di_1__v1::看多__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230312__di_1__v1::看多__age_1_3,minimum_absolute_effect
dynamic__state__raw__30m__cxt_bi_end_V230312__di_1__v1::看多__age_4_8,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230312__di_1__v1::看空__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230312__di_1__v1::看空__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|11K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|11K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|13K|任意__onset,event_year_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|13K|任意__exit,event_year_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|17K|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|17K|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|19K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|19K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|23K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|23K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|41K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看多|41K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|11K|任意__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|11K|任意__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|13K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|13K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|17K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|17K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|19K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|19K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|23K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|23K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|41K|任意__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__joint::看空|41K|任意__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v1::看多__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v1::看多__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v1::看多__age_1_3,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v1::看空__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v1::看空__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v1::看空__age_1_3,state_active_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::11K__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::11K__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::13K__onset,event_year_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::13K__exit,event_year_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::17K__onset,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::17K__exit,cross_year_direction
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::19K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::19K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::23K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::23K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::29K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::29K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::31K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::31K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::37K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::37K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::41K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::41K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::43K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::43K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::59K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::59K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::61K__onset,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::61K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230320__di_1__v2::67K__exit,event_total_support
dynamic__state__raw__30m__cxt_bi_end_V230322__di_1__joint::看多|反向分型|任意__exit,cross_year_direction
