candidate_id,trend_trend_multiplier,trend_volume_multiplier,range_trend_multiplier,range_volume_multiplier,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count,manhattan_distance,euclidean_distance,strategy_return_delta_from_selected,annualized_return_delta_from_selected,max_drawdown_delta_from_selected,calmar_delta_from_selected,win_loss_ratio_delta_from_selected,closed_trade_count_delta_from_selected,winning_trade_count_delta_from_selected,losing_trade_count_delta_from_selected,has_wins_and_losses_delta_from_selected,sharpe_delta_from_selected,exposure_delta_from_selected,trade_count_delta_from_selected,strategy_return_global_percentile,strategy_return_neighborhood_percentile,sharpe_global_percentile,sharpe_neighborhood_percentile,max_drawdown_global_percentile,max_drawdown_neighborhood_percentile,calmar_global_percentile,calmar_neighborhood_percentile,win_loss_ratio_global_percentile,win_loss_ratio_neighborhood_percentile,exposure_global_percentile,exposure_neighborhood_percentile,trade_count_global_percentile,trade_count_neighborhood_percentile,closed_trade_count_global_percentile,closed_trade_count_neighborhood_percentile
31,0.5,0.75,0.75,0.75,0.7745360421912653,0.1266523166184561,-0.3688634022803854,0.3433583159388186,3.631481969425938,67,22,45,True,0.7275457298501806,0.556930693069307,135,6.0,3.1622776601683795,0.02196266620711751,0.0029135831169286863,-0.13814060380906523,-0.19295077150885587,-0.9963984475665515,4.0,4.0,0.0,0.0,0.002934901903933085,0.02970297029702973,8.0,0.784,,0.7584,,0.3664,,0.56,,0.4352,,0.4704,,0.5192,,0.5192,
32,0.5,0.75,0.75,1.0,0.7124886044136665,0.11834565405704045,-0.3788086514611333,0.31241539389493855,3.7129163296177468,70,22,48,True,0.6875718695299246,0.5932343234323433,141,5.0,2.6457513110645907,-0.04008477157048129,-0.00539307944448697,-0.14808585298981314,-0.22389369355273592,-0.9149640873747429,7.0,4.0,3.0,0.0,-0.03703895841632299,0.06600660066006603,14.0,0.656,,0.6256,,0.3232,,0.504,,0.4832,,0.6848,,0.7968,,0.7968,
33,0.5,0.75,0.75,1.25,0.3765769939237724,0.06870910979772549,-0.45813151594607926,0.14997682413495506,3.0538293806334393,69,22,47,True,0.46413966417622704,0.6254125412541254,139,4.0,2.449489742783178,-0.37599638206037533,-0.05502962370380193,-0.2274087174747591,-0.3863322633127194,-1.5740510363590503,6.0,4.0,2.0,0.0,-0.2604711637700205,0.09818481848184812,12.0,0.1824,,0.1808,,0.1152,,0.1504,,0.1152,,0.8384,,0.7136,,0.7136,
34,0.5,0.75,0.75,1.5,0.384535920770924,0.06999090691427345,-0.43602804137943363,0.16051927920242873,3.0318217837543213,65,21,44,True,0.4685737520148639,0.6344884488448845,131,5.0,2.6457513110645907,-0.36803745521322373,-0.053747826587253966,-0.20530524290811347,-0.37578980824524577,-1.5960586332381683,2.0,3.0,-1.0,0.0,-0.25603707593138364,0.10726072607260728,4.0,0.1968,,0.1888,,0.1584,,0.1696,,0.1104,,0.864,,0.2752,,0.2752,
35,0.5,0.75,1.0,0.5,0.8434392191614357,0.13561143045060864,-0.3143760965005268,0.4313668626850623,3.2668775041317573,68,24,44,True,0.7697693163618244,0.5288778877887789,137,6.0,3.4641016151377544,0.09086584317728796,0.011872696949081218,-0.08365329802920662,-0.10494222476261217,-1.3610029128607324,5.0,6.0,-1.0,0.0,0.0451584884155769,0.0016501650165016146,10.0,0.8768,,0.8544,,0.5792,,0.7008,,0.2112,,0.2672,,0.6208,,0.6208,
36,0.5,0.75,1.0,0.75,0.7697183048748122,0.12601564777732865,-0.3219745160036862,0.39138391864493377,3.1657374235992473,65,23,42,True,0.7266987211733313,0.5363036303630363,131,5.0,2.6457513110645907,0.017144928890664435,0.002276914275801234,-0.09125171753236605,-0.1449251688027407,-1.4621429933932424,2.0,5.0,-3.0,0.0,0.0020878932270838035,0.009075907590759047,4.0,0.768,,0.7552,,0.5472,,0.632,,0.1584,,0.3352,,0.2752,,0.2752,
37,0.5,0.75,1.0,1.0,0.7542207423177436,0.12395827450038022,-0.3445200602410502,0.3597998746826248,3.409112874551622,68,23,45,True,0.7151615875732623,0.5536303630363036,137,4.0,2.0,0.0016473663335958566,0.00021954099885279632,-0.11379726176973004,-0.17650921276504966,-1.2187675424408675,5.0,5.0,0.0,0.0,-0.009449240372985224,0.02640264026402639,10.0,0.7376,,0.7168,,0.4656,,0.576,,0.2976,,0.4512,,0.6208,,0.6208,
38,0.5,0.75,1.0,1.25,0.6571371849701035,0.11073174759917781,-0.3894902868267438,0.2842991246362824,3.752986728740606,72,22,50,True,0.6547091286558796,0.5899339933993399,145,3.0,1.7320508075688772,-0.09543619101404421,-0.01300698590234961,-0.15876748835542365,-0.2520099628113921,-0.8748936882518836,9.0,4.0,5.0,0.0,-0.06990169929036794,0.06270627062706269,18.0,0.5696,,0.5536,,0.2896,,0.4464,,0.5152,,0.664,,0.9056,,0.9056,
39,0.5,0.75,1.0,1.5,0.46086289436708805,0.08199618360305783,-0.4363982493160248,0.18789301682940296,3.601069709187276,75,22,53,True,0.5243740460293514,0.6196369636963697,151,4.0,2.0,-0.2917104816170597,-0.041742549898469594,-0.20567545084470462,-0.3484160706182715,-1.0268107078052138,12.0,4.0,8.0,0.0,-0.2002367819168961,0.09240924092409242,24.0,0.288,,0.2832,,0.1536,,0.2256,,0.4224,,0.8168,,0.98,,0.98,
40,0.5,0.75,1.25,0.5,0.9662274961712498,0.1509396849873903,-0.2527556398970008,0.5971763282864786,3.2086419614287345,70,26,44,True,0.8387439088414305,0.5165016501650165,141,5.0,3.3166247903554,0.21365412018710206,0.02720095148586288,-0.022032841425680627,0.060867240838804126,-1.4192384555637552,7.0,8.0,-1.0,0.0,0.11413308089518293,-0.010726072607260773,14.0,0.972,,0.9648,,0.8264,,0.9192,,0.1752,,0.1776,,0.7968,,0.7968,
41,0.5,0.75,1.25,0.75,0.848468849903323,0.13625495658323183,-0.2905198906977259,0.4690038821644731,3.275870441416351,68,24,44,True,0.7732256411531506,0.5272277227722773,137,4.0,2.449489742783178,0.0958954739191753,0.012516223081704414,-0.059797092226405724,-0.06730520528320139,-1.3520099755761388,5.0,6.0,-1.0,0.0,0.048614813206903085,0.0,10.0,0.8864,,0.8624,,0.6656,,0.7552,,0.2144,,0.2512,,0.6208,,0.6208,
42,0.5,0.75,1.25,1.0,0.7210002792117869,0.11949912885302938,-0.33615007541775366,0.35549338700733807,3.2280386111389014,67,23,44,True,0.6976921397724869,0.5379537953795379,135,3.0,1.7320508075688772,-0.031573096772360865,-0.004239604648498041,-0.1054272769464335,-0.1808157004403364,-1.3998418058535882,4.0,5.0,-1.0,0.0,-0.02691868817376064,0.010726072607260662,8.0,0.6784,,0.6624,,0.4992,,0.5712,,0.1792,,0.3464,,0.5192,,0.5192,
