ts_code,trade_date,close,pre_close,pct_chg,vol,amount
000050.SZ,2026-06-23,9.99,9.28,7.6509,1484333.09,1446314.03069
000088.SZ,2026-06-23,4.22,4.18,0.9569,209127.3,88900.42878
000006.SZ,2026-06-24,7.52,7.86,-4.3257,282977.48,214024.79288
000008.SZ,2026-06-24,2.41,2.45,-1.6327,335838.0,80059.186
000009.SZ,2026-06-24,6.64,6.77,-1.9202,243359.25,161390.28341
000012.SZ,2026-06-24,4.63,4.67,-0.8565,1117810.73,522250.13495
000021.SZ,2026-06-24,50.27,45.7,10.0,1909993.41,9165517.68342
000025.SZ,2026-06-24,15.53,15.89,-2.2656,122290.09,194935.34241
000027.SZ,2026-06-24,6.75,6.86,-1.6035,393699.7,266101.50418
000032.SZ,2026-06-24,25.34,23.04,9.9826,1042992.85,2592026.31159
000034.SZ,2026-06-24,25.4,25.14,1.0342,301693.3,753731.37624
000039.SZ,2026-06-24,8.77,8.53,2.8136,604361.56,530394.47711
000050.SZ,2026-06-24,10.72,9.99,7.3073,1830752.65,1892094.36569
000088.SZ,2026-06-24,4.16,4.22,-1.4218,147554.77,61717.24914
000006.SZ,2026-06-25,7.36,7.52,-2.1277,226708.23,166617.90988
000008.SZ,2026-06-25,2.34,2.41,-2.9046,246766.19,57821.21427
000009.SZ,2026-06-25,6.58,6.64,-0.9036,235274.13,154459.28331
000012.SZ,2026-06-25,4.77,4.63,3.0238,1143985.68,544445.8086
000021.SZ,2026-06-25,53.2,50.27,5.8285,2244945.56,11922396.8298
000025.SZ,2026-06-25,14.13,15.53,-9.0148,132618.63,192084.61016
000027.SZ,2026-06-25,6.67,6.75,-1.1852,418286.7,279011.80386
000032.SZ,2026-06-25,25.68,25.34,1.3418,1103242.53,2842545.71534
000034.SZ,2026-06-25,27.94,25.4,10.0,429806.27,1189681.39664
000039.SZ,2026-06-25,8.81,8.77,0.4561,481144.56,425065.76434
000050.SZ,2026-06-25,10.38,10.72,-3.1716,1631329.17,1691170.0211
000088.SZ,2026-06-25,4.12,4.16,-0.9615,155051.95,64041.60015
000006.SZ,2026-06-26,7.17,7.36,-2.5815,191677.14,139550.68498
000008.SZ,2026-06-26,2.25,2.34,-3.8462,350761.1,79608.1158
000009.SZ,2026-06-26,6.19,6.58,-5.9271,341025.54,215289.5443
000012.SZ,2026-06-26,4.8,4.77,0.6289,1531472.82,750471.04646
000021.SZ,2026-06-26,53.51,53.2,0.5827,2272891.53,12463271.5559
000025.SZ,2026-06-26,14.48,14.13,2.477,76038.61,108546.36317
000027.SZ,2026-06-26,6.41,6.67,-3.8981,504757.62,330970.70664
000032.SZ,2026-06-26,24.22,25.68,-5.6854,829465.77,2061287.19218
000034.SZ,2026-06-26,26.62,27.94,-4.7244,853951.65,2315682.8454
000039.SZ,2026-06-26,8.43,8.81,-4.3133,451201.05,385276.58173
000050.SZ,2026-06-26,9.88,10.38,-4.817,1342625.44,1375443.59382
000088.SZ,2026-06-26,4.08,4.12,-0.9709,175105.67,71494.33819
000006.SZ,2026-06-29,7.33,7.17,2.2315,226755.25,165207.80222
000008.SZ,2026-06-29,2.35,2.25,4.4444,491415.32,111727.01872
000009.SZ,2026-06-29,6.14,6.19,-0.8078,310221.78,189589.3839
000012.SZ,2026-06-29,4.69,4.8,-2.2917,1154889.97,545443.37473
000021.SZ,2026-06-29,58.86,53.51,9.9981,2396365.82,13770298.1016
000025.SZ,2026-06-29,13.32,14.48,-8.011,90744.23,122717.26146
000027.SZ,2026-06-29,6.35,6.41,-0.936,373463.58,235370.50466
000032.SZ,2026-06-29,24.08,24.22,-0.578,856145.61,2033198.27813
000034.SZ,2026-06-29,25.81,26.62,-3.0428,403099.72,1050637.56689
000039.SZ,2026-06-29,8.19,8.43,-2.847,435119.99,354747.34291
000050.SZ,2026-06-29,9.48,9.88,-4.0486,1096656.94,1054622.97188
000088.SZ,2026-06-29,4.08,4.08,0.0,155431.8,62711.379
000006.SZ,2026-06-30,7.48,7.33,2.0464,150105.13,111375.64852
000008.SZ,2026-06-30,2.33,2.35,-0.8511,275717.22,63989.87826
000009.SZ,2026-06-30,6.23,6.14,1.4658,226686.02,140542.77541
000012.SZ,2026-06-30,5.16,4.69,10.0213,1079635.32,546406.05968
000021.SZ,2026-06-30,64.27,58.86,9.1913,2661146.55,16372523.1632
000025.SZ,2026-06-30,13.48,13.32,1.2012,50674.34,67458.18976
000027.SZ,2026-06-30,6.2,6.35,-2.3622,337294.66,209895.58529
000032.SZ,2026-06-30,24.95,24.08,3.613,686622.35,1706623.66474
000034.SZ,2026-06-30,27.75,25.81,7.5165,549126.54,1496001.55241
000039.SZ,2026-06-30,8.11,8.19,-0.9768,278489.18,225952.12649
000050.SZ,2026-06-30,9.91,9.48,4.5359,1204910.22,1203477.54261
000088.SZ,2026-06-30,4.09,4.08,0.2451,108590.24,43979.3508
000006.SZ,2026-07-01,7.53,7.48,0.6684,179676.65,135732.57099
000008.SZ,2026-07-01,2.39,2.33,2.5751,339337.17,80816.29168
000009.SZ,2026-07-01,6.27,6.23,0.6421,225572.4,141397.09834
000012.SZ,2026-07-01,5.25,5.16,1.7442,2088783.19,1071188.49817
000021.SZ,2026-07-01,62.26,64.27,-3.1274,3101964.52,19585847.1114
000025.SZ,2026-07-01,13.75,13.48,2.003,54229.56,74294.99192
000027.SZ,2026-07-01,6.26,6.2,0.9677,408791.67,253774.89073
000032.SZ,2026-07-01,24.0,24.95,-3.8076,645627.31,1593819.75307
000034.SZ,2026-07-01,27.58,27.75,-0.6126,553217.81,1515444.28855
000039.SZ,2026-07-01,8.09,8.11,-0.2466,315872.15,254914.08213
000050.SZ,2026-07-01,9.6,9.91,-3.1282,843577.94,813039.16261
000088.SZ,2026-07-01,4.11,4.09,0.489,161005.57,65932.36025
000006.SZ,2026-07-02,7.35,7.53,-2.3904,158834.1,118304.3783
000008.SZ,2026-07-02,2.38,2.39,-0.4184,410841.03,99467.79654
000009.SZ,2026-07-02,6.27,6.27,0.0,245778.75,154624.67272
000012.SZ,2026-07-02,5.02,5.25,-4.381,1294388.91,643220.61006
000021.SZ,2026-07-02,56.03,62.26,-10.0064,1761593.24,9940689.25487
000025.SZ,2026-07-02,13.75,13.75,0.0,39691.81,54907.05785
000027.SZ,2026-07-02,6.2,6.26,-0.9585,356327.4,221785.7132
000032.SZ,2026-07-02,21.9,24.0,-8.75,685148.53,1550663.39426
000034.SZ,2026-07-02,27.46,27.58,-0.4351,964168.75,2695268.35747
000039.SZ,2026-07-02,7.86,8.09,-2.843,378342.28,302189.2687
000050.SZ,2026-07-02,9.71,9.6,1.1458,1256782.39,1211159.71823
000088.SZ,2026-07-02,4.13,4.11,0.4866,139096.02,57355.60524
000006.SZ,2026-07-03,7.41,7.35,0.8163,159104.13,118462.97429
000008.SZ,2026-07-03,2.37,2.38,-0.4202,258043.0,61390.591
000009.SZ,2026-07-03,6.39,6.27,1.9139,250461.65,159353.86404
000012.SZ,2026-07-03,5.1,5.02,1.5936,1209127.6,610365.97488
000021.SZ,2026-07-03,55.91,56.03,-0.2142,2351310.83,12654340.5078
000025.SZ,2026-07-03,13.9,13.75,1.0909,37280.45,52060.7936
000027.SZ,2026-07-03,6.27,6.2,1.129,304138.08,189915.61988
000032.SZ,2026-07-03,20.97,21.9,-4.2466,496027.39,1059456.60624
000034.SZ,2026-07-03,27.97,27.46,1.8572,676900.66,1905284.22548
000039.SZ,2026-07-03,8.26,7.86,5.0891,536101.89,439133.61403
000050.SZ,2026-07-03,9.05,9.71,-6.7971,852068.65,787025.45138
000088.SZ,2026-07-03,4.15,4.13,0.4843,120559.8,50010.637
000006.SZ,2026-07-06,7.09,7.41,-4.3185,210631.59,151663.90708
000008.SZ,2026-07-06,2.36,2.37,-0.4219,199254.0,47128.297
000009.SZ,2026-07-06,6.39,6.39,0.0,236625.62,151769.21574
000012.SZ,2026-07-06,4.62,5.1,-9.4118,1127022.22,537944.66115
000021.SZ,2026-07-06,53.3,55.91,-4.6682,1644910.43,8981156.95857
000025.SZ,2026-07-06,13.53,13.9,-2.6619,48940.39,66847.11692
000027.SZ,2026-07-06,6.31,6.27,0.638,316050.0,199123.20223
000032.SZ,2026-07-06,21.28,20.97,1.4783,575922.63,1209436.55355
000034.SZ,2026-07-06,28.88,27.97,3.2535,889020.8,2453994.86299
000039.SZ,2026-07-06,8.19,8.26,-0.8475,329337.41,271602.12029
000050.SZ,2026-07-06,8.62,9.05,-4.7514,735769.56,643969.35643
000088.SZ,2026-07-06,4.22,4.15,1.6867,193181.98,81047.1996
000006.SZ,2026-07-07,6.8,7.09,-4.0903,172966.75,118943.48775
000009.SZ,2026-07-07,6.26,6.39,-2.0344,157914.75,99677.36583
000012.SZ,2026-07-07,4.23,4.62,-8.4416,832525.16,363029.69811
000021.SZ,2026-07-07,54.07,53.3,1.4447,1699884.26,9214178.04521
000025.SZ,2026-07-07,13.55,13.53,0.1478,56217.5,76371.56665
000027.SZ,2026-07-07,6.03,6.31,-4.4374,401998.48,245465.03985
000032.SZ,2026-07-07,21.36,21.28,0.3759,602638.0,1299583.70834
000034.SZ,2026-07-07,26.82,28.88,-7.133,573921.34,1582536.9979
000039.SZ,2026-07-07,7.96,8.19,-2.8083,259999.18,208806.68721
000050.SZ,2026-07-07,8.33,8.62,-3.3643,564470.23,479557.49177
000088.SZ,2026-07-07,4.16,4.22,-1.4218,153635.06,63974.9558
000006.SZ,2026-07-08,6.78,6.8,-0.2941,140327.5,95092.27853
000009.SZ,2026-07-08,6.16,6.26,-1.5974,168189.28,103860.66376
000012.SZ,2026-07-08,4.18,4.23,-1.182,502833.6,213235.28154
000021.SZ,2026-07-08,51.13,54.07,-5.4374,1630632.0,8436490.421
000025.SZ,2026-07-08,13.27,13.55,-2.0664,38035.96,51020.6382
000027.SZ,2026-07-08,6.02,6.03,-0.1658,214468.2,129342.9682
000032.SZ,2026-07-08,21.04,21.36,-1.4981,469755.85,997853.0884
000034.SZ,2026-07-08,28.56,26.82,6.4877,921843.54,2612463.37967
000039.SZ,2026-07-08,7.9,7.96,-0.7538,293927.2,234288.05
000050.SZ,2026-07-08,7.86,8.33,-5.6423,686800.54,551932.04377
000088.SZ,2026-07-08,4.19,4.16,0.7212,122133.34,51122.94297
000006.SZ,2026-07-09,6.84,6.78,0.885,150705.05,102025.57511
000009.SZ,2026-07-09,6.09,6.16,-1.1364,195243.66,118585.66501
000012.SZ,2026-07-09,4.31,4.18,3.11,518261.5,219668.1874
000021.SZ,2026-07-09,56.24,51.13,9.9941,1845381.09,10109407.2509
000025.SZ,2026-07-09,13.18,13.27,-0.6782,53003.17,69004.80931
000027.SZ,2026-07-09,5.98,6.02,-0.6645,315794.67,187864.16586
000032.SZ,2026-07-09,22.42,21.04,6.5589,916185.07,2056983.5937
000034.SZ,2026-07-09,28.83,28.56,0.9454,816418.23,2308482.60459
