window,strategy_return,sharpe,max_drawdown,exposure,trade_count,coalition,coalition_size
2023H2,-0.1055567393037633,-3.1684964025536715,-0.10816005772136128,0.25,12,structure+trend,2
2024H1,-0.045821808326435676,-0.7403199045242217,-0.09301006304262105,0.37606837606837606,12,structure+trend,2
2024H2,0.14641945626748765,0.9594668497832555,-0.24310674508145225,0.392,17,structure+trend,2
2025H1,0.03472481757049617,0.6229391338458836,-0.11524618864715086,0.37606837606837606,17,structure+trend,2
2025H2,0.1618276681448656,1.4816086508914124,-0.14102529516436346,0.6190476190476191,17,structure+trend,2
2021,-0.14219856366438755,-0.8236390970994608,-0.20955514996530467,0.7119341563786008,19,structure+volume_position,2
2022,-0.2804490661461023,-1.8165423263118896,-0.26866681215794386,0.6942148760330579,19,structure+volume_position,2
2023,-0.11048834669802388,-0.7215524778566507,-0.2221395604505696,0.8057851239669421,19,structure+volume_position,2
2024,-0.16432833584113105,-0.7114101267820008,-0.2361477153113699,0.6487603305785123,21,structure+volume_position,2
2025,0.7859718258417618,2.7841756136402673,-0.1135587602783048,0.823045267489712,17,structure+volume_position,2
2021H1,0.016255124179064273,0.32005120867101666,-0.20955514996530467,0.7288135593220338,7,structure+volume_position,2
2021H2,-0.15685956789083477,-2.1013905803831086,-0.19837893613293756,0.696,13,structure+volume_position,2
2022H1,-0.07113479870480832,-0.6098924972356905,-0.19555911680911597,0.7777777777777778,3,structure+volume_position,2
2022H2,-0.22368828151301812,-3.5782234955946395,-0.23341544024620842,0.616,17,structure+volume_position,2
2023H1,0.021205015340790112,0.40358114902679976,-0.08093303504874283,0.8050847457627118,9,structure+volume_position,2
2023H2,-0.12939409189504325,-1.8732535188272599,-0.16423083946519523,0.8064516129032258,11,structure+volume_position,2
2024H1,-0.15329171650571738,-1.609962513023669,-0.19976771196283394,0.717948717948718,11,structure+volume_position,2
2024H2,-0.012176640931058857,0.049793438587096575,-0.1307942521910267,0.584,11,structure+volume_position,2
2025H1,0.16108319452468023,1.8205543455676958,-0.0730533769891134,0.7948717948717948,7,structure+volume_position,2
2025H2,0.5389213736572538,3.49875101885404,-0.11355876027830503,0.8492063492063492,11,structure+volume_position,2
2021,0.09635923704240001,0.797597428585622,-0.1220965380931135,0.522633744855967,21,trend+volume_position,2
2022,-0.05285993733039873,-0.25615355788492294,-0.14767770147356896,0.5206611570247934,23,trend+volume_position,2
2023,-0.07651566933843645,-0.5349074963800297,-0.2131019249629017,0.6239669421487604,27,trend+volume_position,2
2024,0.11971977908291453,0.5802759049002277,-0.1823154056517775,0.5165289256198347,27,trend+volume_position,2
