repetition,band_mean
357,-0.0030154378753534457
358,0.007000161989660174
359,-0.002613242934526572
360,0.008713778019189307
361,0.003523274716031984
362,-0.012865213790966773
363,0.02848997276347073
364,0.007467125617236725
365,0.08025678501331995
366,0.023844160650665233
367,-0.009289260551576898
368,-0.0019003894827468368
369,0.002462477686154586
370,-0.0029218435120382255
371,0.001802805190264069
372,-0.008984816364258906
373,0.006044091680554564
374,0.08469809377925448
375,-0.00820415352697607
376,0.003650440293522431
377,-0.008113516585815673
378,-0.004380907295355156
379,0.05294064300985355
380,-0.001474819234741803
381,-0.013279107185501904
382,0.004082899165863309
383,-0.011959743681233283
384,0.02502912140060576
385,-0.007679731256842813
386,0.018272438498556937
387,0.00020078425207201056
388,0.009262679613292555
389,-0.007528241517548141
390,-0.0006258066479184176
391,0.011621360489048702
392,-0.006320205745246433
393,-0.003589357656361918
394,-0.003577605310854725
395,-0.001510683501154452
396,0.01613488586035901
397,0.008239729639526768
398,0.0013960862841255193
399,-0.01249690800024075
400,0.010761327709519245
401,-0.003010428703359731
402,0.009094035663443707
403,0.011372601658239537
404,-0.00021463809863002658
405,0.003213113996822508
406,0.010570735345721774
407,-0.0078486346276524
408,0.005363587296679647
409,0.0047640721300716464
410,-0.006407037705251786
411,0.009556092885645582
412,-0.008940878082115574
413,-0.004524316378609244
414,0.010225444789329598
415,-1.0041415472604553e-05
416,0.0037505982478960856
417,-0.0013373947125033632
418,-0.007414388177871678
419,-0.007856409049236592
420,-0.0011546398732478478
421,0.049737273202168426
422,0.0851986464583154
423,0.007398095513099698
424,0.0035570227875859665
425,-0.010088552290300092
426,0.004046264193931025
427,0.003936026642656705
428,0.005012358281570819
429,-0.0012686057429478939
430,0.047254524281479464
431,0.015372267499762357
432,0.07772933887308017
433,-0.00252912451093761
434,0.0014529849724586002
435,0.003368876592662355
436,0.0019302373406163004
437,-0.004398671644465972
438,0.001052436487617661
439,-0.004742966898266985
440,0.007287730992432843
441,0.004956302338947593
442,0.0018756968034306179
443,0.015021279253218108
444,-0.01091372845480438
445,0.0029767886614649854
446,-0.009486946054939735
447,0.0009301538925313559
448,0.00676340690021442
449,-0.002106430350969671
450,0.0012493508819802792
451,-0.010914488663067068
452,0.0005546786288492454
453,-0.0027053987520683836
454,0.03375167978938729
455,0.0012689236824147657
456,0.0003828608676000256
457,0.028777587060964935
458,-0.004936531317504241
459,0.031846890413441985
460,0.001197413268671175
461,0.03572913712611273
462,-0.0014390885813001149
463,-0.004276003805531662
464,0.004062802153512627
465,0.00343939706337271
466,-0.00021731351577971826
467,0.021247159717607943
468,-0.0017247745175365979
469,-0.008975177733629996
470,0.0052390436123007905
471,-0.0038388169377000527
472,0.008879954773849683
473,0.1539425583040326
474,0.0032817963872168758
475,0.004692479531961556
476,-0.0059834997967183655
477,0.0010695661854460876
478,0.08913490355419278
479,-0.004105902900699498
480,0.012146023419130009
481,-0.00931743316416593
482,0.007781576025866542
483,-0.006962097396890221
484,0.005524364830361579
485,0.007959869926618799
486,0.001913824315815068
487,-0.004648145961314218
488,-0.005706471320554006
489,-0.0025848830641088307
490,-0.004083005505521225
491,0.07813722461901851
492,-0.007335720500562014
493,0.0018036374198003029
494,-0.004498307617755177
495,0.0861285551302257
496,-0.009087150722964968
497,0.0004129992907346771
498,0.0019609966846864464
499,1.2577948104000789e-05
500,-0.007485969668489049
501,0.014421261915519729
502,0.010834109271403445
503,-0.0005406775271808666
504,-0.005690662668755717
505,0.016987213249171313
506,0.005182442621005471
507,0.006688812440589852
508,-0.004013134324659497
509,-0.001232942800967131
510,0.008949192043976671
511,0.00856862021006656
512,-0.0007081189599605495
513,0.05399211634047047
514,0.0017045650711991225
515,0.007489932967266249
516,0.07824647118677429
517,-0.007752383238659126
518,0.051433736414337586
519,-0.006462750365677188
520,0.0008558222501551293
521,0.01006984628990929
522,-0.012231613307654123
523,-0.009330030562025414
524,0.044093540531974354
525,-0.00870179076798592
526,-0.011343148055734017
