split_id,training_blocks,validation_blocks,selected_candidate,training_sharpe,validation_sharpe,validation_rank,validation_candidate_count,validation_percentile,logit
106,"(0, 3, 5, 8, 9)","(1, 2, 4, 6, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.154119882980695,0.6710259103194627,2,6,0.8,1.3862943611198908
107,"(0, 3, 6, 7, 8)","(1, 2, 4, 5, 9)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,1.2994005017053119,0.3376601316001003,4,6,0.4,-0.4054651081081643
108,"(0, 3, 6, 7, 9)","(1, 2, 4, 5, 8)",LATE_SESSION_FLOW_CONTINUATION:FIXED_LONG,0.7980962642481589,0.7661118793039547,3,6,0.6,0.4054651081081642
109,"(0, 3, 6, 8, 9)","(1, 2, 4, 5, 7)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.8705937543322954,0.9651928662162083,2,6,0.8,1.3862943611198908
110,"(0, 3, 7, 8, 9)","(1, 2, 4, 5, 6)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,0.8670836648876289,0.9767390604517107,1,6,1.0,2.3978952727983702
111,"(0, 4, 5, 6, 7)","(1, 2, 3, 8, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0829033240660382,0.7289993403453905,1,6,1.0,2.3978952727983702
112,"(0, 4, 5, 6, 8)","(1, 2, 3, 7, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.1798378694138343,0.5875693539658472,2,6,0.8,1.3862943611198908
113,"(0, 4, 5, 6, 9)","(1, 2, 3, 7, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0297071110058338,0.7916719749746342,3,6,0.6,0.4054651081081642
114,"(0, 4, 5, 7, 8)","(1, 2, 3, 6, 9)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.207317465014211,0.6474329488616275,2,6,0.8,1.3862943611198908
115,"(0, 4, 5, 7, 9)","(1, 2, 3, 6, 8)",PRIOR_INTRADAY_CONTINUATION:FIXED_LONG,1.0272930607337396,0.8102106504357629,2,6,0.8,1.3862943611198908
