mechanism,event_date,component_participation_score,component_flow_score,primary_market_score,pricing_efficiency_score,coordinated_demand_score,threshold
COORDINATED_DEMAND_Q60,2022-10-17,0.8166666666666667,0.9333333333333333,0.35,0.16666666666666663,0.5666666666666667,0.551875
COORDINATED_DEMAND_Q60,2022-10-21,0.6666666666666667,0.8666666666666667,0.7416666666666667,0.9583333333333334,0.8083333333333335,0.551875
COORDINATED_DEMAND_Q60,2022-10-28,0.6791666666666667,0.6333333333333333,0.9333333333333333,0.4916666666666667,0.6843750000000001,0.5552083333333333
COORDINATED_DEMAND_Q60,2022-11-04,0.8416666666666667,0.7666666666666667,0.7083333333333334,0.275,0.6479166666666667,0.5552083333333333
COORDINATED_DEMAND_Q60,2022-11-14,0.39166666666666666,0.5666666666666667,0.8166666666666667,0.4666666666666667,0.5604166666666667,0.5535416666666667
COORDINATED_DEMAND_Q60,2022-11-18,0.7625,0.8333333333333334,0.85,0.9333333333333333,0.8447916666666666,0.5535416666666667
COORDINATED_DEMAND_Q60,2022-11-24,0.35833333333333334,0.65,0.7,0.6166666666666667,0.58125,0.5558333333333333
COORDINATED_DEMAND_Q60,2022-11-30,0.5625,0.85,0.9666666666666667,0.6166666666666667,0.7489583333333334,0.5535416666666667
COORDINATED_DEMAND_Q60,2022-12-06,0.7833333333333333,0.8083333333333333,1.0,0.4833333333333333,0.76875,0.551875
COORDINATED_DEMAND_Q60,2022-12-12,0.7,0.85,0.725,0.875,0.7875,0.5566666666666666
COORDINATED_DEMAND_Q60,2022-12-16,0.7041666666666666,0.65,0.2,0.7666666666666666,0.5802083333333332,0.5566666666666666
COORDINATED_DEMAND_Q60,2022-12-28,0.8083333333333333,0.85,0.08333333333333333,0.8833333333333333,0.65625,0.5535416666666667
COORDINATED_DEMAND_Q60,2023-01-04,0.9291666666666667,0.9416666666666667,0.6083333333333333,0.44999999999999996,0.7322916666666666,0.5541666666666667
COORDINATED_DEMAND_Q60,2023-01-17,0.7541666666666667,0.975,0.13333333333333333,0.4,0.5656249999999999,0.5604166666666667
COORDINATED_DEMAND_Q60,2023-01-30,0.8583333333333333,0.31666666666666665,0.975,0.9,0.7625,0.563125
COORDINATED_DEMAND_Q60,2023-02-03,0.6958333333333333,0.575,0.2916666666666667,0.7583333333333333,0.5802083333333333,0.5608333333333334
COORDINATED_DEMAND_Q60,2023-02-21,0.5458333333333334,0.8,0.39166666666666666,0.4833333333333333,0.5552083333333333,0.5441666666666667
COORDINATED_DEMAND_Q60,2023-03-02,0.6958333333333333,0.575,0.26666666666666666,0.65,0.546875,0.543125
COORDINATED_DEMAND_Q60,2023-03-15,0.5708333333333333,0.8,0.31666666666666665,0.925,0.653125,0.5441666666666667
COORDINATED_DEMAND_Q60,2023-03-21,0.5833333333333333,0.6916666666666667,0.08333333333333333,0.95,0.5770833333333333,0.545625
COORDINATED_DEMAND_Q60,2023-04-07,0.9208333333333334,0.85,0.0,0.9583333333333334,0.6822916666666667,0.5337500000000001
COORDINATED_DEMAND_Q60,2023-04-13,0.6499999999999999,0.55,0.09166666666666666,0.9583333333333334,0.5625,0.5377083333333333
COORDINATED_DEMAND_Q60,2023-04-26,0.08333333333333334,0.6416666666666667,0.85,0.6833333333333333,0.5645833333333334,0.53
COORDINATED_DEMAND_Q60,2023-05-05,0.2875,0.475,0.95,0.75,0.615625,0.5325
COORDINATED_DEMAND_Q60,2023-05-11,0.4125,0.8833333333333333,0.975,0.20833333333333337,0.6197916666666667,0.5325
COORDINATED_DEMAND_Q60,2023-05-17,0.37083333333333335,0.5333333333333333,0.55,0.6833333333333333,0.534375,0.5325
COORDINATED_DEMAND_Q60,2023-05-25,0.29166666666666663,0.8583333333333333,0.8416666666666667,0.2583333333333333,0.5625,0.5325
COORDINATED_DEMAND_Q60,2023-05-31,0.9458333333333333,1.0,0.85,0.3583333333333333,0.7885416666666667,0.5347916666666667
COORDINATED_DEMAND_Q60,2023-06-12,0.5750000000000001,0.6,0.15,0.9083333333333333,0.5583333333333333,0.5325
COORDINATED_DEMAND_Q60,2023-06-19,0.7708333333333334,0.9166666666666666,0.225,0.42500000000000004,0.5843750000000001,0.530625
COORDINATED_DEMAND_Q60,2023-06-28,0.44583333333333336,0.49166666666666664,0.9583333333333334,0.35,0.5614583333333334,0.5325
COORDINATED_DEMAND_Q60,2023-07-04,0.8374999999999999,0.5,0.7166666666666667,0.3583333333333333,0.603125,0.5347916666666667
COORDINATED_DEMAND_Q60,2023-07-11,0.4375,0.7583333333333333,0.8416666666666667,0.45833333333333337,0.6239583333333334,0.5347916666666667
COORDINATED_DEMAND_Q60,2023-07-17,0.65,0.125,0.5,0.9333333333333333,0.5520833333333333,0.5447916666666667
COORDINATED_DEMAND_Q60,2023-07-25,0.1875,0.5583333333333333,0.65,0.7666666666666666,0.540625,0.5347916666666667
COORDINATED_DEMAND_Q60,2023-07-31,0.925,0.9583333333333334,0.6,0.975,0.8645833333333334,0.5347916666666667
COORDINATED_DEMAND_Q60,2023-08-04,0.9416666666666667,0.85,0.7833333333333333,0.8666666666666667,0.8604166666666666,0.5366666666666666
COORDINATED_DEMAND_Q60,2023-08-10,0.4708333333333333,0.4166666666666667,0.725,0.7416666666666667,0.5885416666666666,0.5489583333333332
COORDINATED_DEMAND_Q60,2023-08-18,0.5208333333333334,1.0,0.4583333333333333,0.7833333333333333,0.690625,0.5529166666666666
COORDINATED_DEMAND_Q60,2023-08-25,0.5208333333333333,0.9583333333333334,0.375,0.475,0.5822916666666667,0.5541666666666667
COORDINATED_DEMAND_Q60,2023-08-31,0.9875,0.975,0.35,0.7166666666666667,0.7572916666666667,0.5556249999999999
COORDINATED_DEMAND_Q60,2023-09-12,0.44166666666666665,0.55,0.35833333333333334,0.9166666666666666,0.5666666666666667,0.5570833333333334
COORDINATED_DEMAND_Q60,2023-09-25,0.6666666666666666,0.975,0.26666666666666666,0.9666666666666667,0.71875,0.5562499999999999
COORDINATED_DEMAND_Q60,2023-10-12,0.9166666666666666,0.825,0.10833333333333334,0.7666666666666666,0.6541666666666667,0.5556249999999999
COORDINATED_DEMAND_Q60,2023-10-18,0.625,0.8,0.18333333333333332,0.8166666666666667,0.60625,0.5556249999999999
COORDINATED_DEMAND_Q60,2023-10-25,0.5,0.8333333333333334,0.6666666666666666,0.8833333333333333,0.7208333333333333,0.5562499999999999
COORDINATED_DEMAND_Q60,2023-10-31,0.925,0.6083333333333333,0.20833333333333334,0.95,0.6729166666666666,0.5556249999999999
COORDINATED_DEMAND_Q60,2023-11-07,0.7125,0.7666666666666667,0.125,0.6916666666666667,0.5739583333333333,0.5529166666666666
COORDINATED_DEMAND_Q60,2023-11-13,0.6875,0.525,0.10833333333333334,0.9,0.5552083333333333,0.5477083333333332
COORDINATED_DEMAND_Q60,2023-11-24,0.6666666666666666,0.8666666666666667,0.25833333333333336,0.6333333333333333,0.60625,0.5393749999999999
COORDINATED_DEMAND_Q60,2023-12-14,0.4041666666666667,0.49166666666666664,0.48333333333333334,0.7416666666666667,0.5302083333333334,0.5187499999999999
COORDINATED_DEMAND_Q60,2023-12-22,0.8166666666666667,0.9666666666666667,0.13333333333333333,0.5833333333333333,0.625,0.518125
COORDINATED_DEMAND_Q60,2023-12-29,0.7625,0.9666666666666667,0.016666666666666666,0.8666666666666667,0.653125,0.5164583333333334
COORDINATED_DEMAND_Q60,2024-01-05,0.3125,0.275,0.6416666666666667,0.8416666666666667,0.5177083333333333,0.5160416666666667
COORDINATED_DEMAND_Q60,2024-01-12,0.5875,0.8583333333333333,0.11666666666666667,0.8333333333333334,0.5989583333333334,0.514375
COORDINATED_DEMAND_Q60,2024-01-26,0.9,0.9083333333333333,0.25833333333333336,0.45833333333333337,0.6312500000000001,0.5129166666666667
COORDINATED_DEMAND_Q60,2024-02-06,0.4291666666666667,0.925,1.0,0.7083333333333333,0.765625,0.5077083333333333
COORDINATED_DEMAND_Q60,2024-02-20,0.8333333333333333,0.31666666666666665,0.975,0.033333333333333326,0.5395833333333333,0.5129166666666667
COORDINATED_DEMAND_Q60,2024-02-28,0.9583333333333333,0.75,0.075,0.95,0.6833333333333333,0.5118750000000001
COORDINATED_DEMAND_Q60,2024-03-05,0.75,0.4083333333333333,0.13333333333333333,0.8416666666666667,0.5333333333333333,0.5095833333333333
COORDINATED_DEMAND_Q60,2024-03-12,0.8208333333333333,0.6333333333333333,0.1,0.6,0.5385416666666667,0.5095833333333333
COORDINATED_DEMAND_Q60,2024-03-19,0.6625,0.7416666666666667,0.08333333333333333,0.6083333333333334,0.5239583333333333,0.5095833333333333
COORDINATED_DEMAND_Q60,2024-03-29,0.4916666666666667,0.85,0.21666666666666667,0.925,0.6208333333333333,0.5072916666666667
COORDINATED_DEMAND_Q60,2024-04-10,0.6583333333333333,0.8833333333333333,0.7333333333333333,0.30000000000000004,0.64375,0.5060416666666667
COORDINATED_DEMAND_Q60,2024-04-16,0.8666666666666667,0.7666666666666667,0.24166666666666667,0.7916666666666666,0.6666666666666666,0.49270833333333325
COORDINATED_DEMAND_Q60,2024-04-23,0.47916666666666663,0.925,0.31666666666666665,0.45833333333333337,0.5447916666666667,0.5014583333333333
COORDINATED_DEMAND_Q60,2024-04-29,0.925,0.9833333333333333,0.725,0.07499999999999996,0.6770833333333333,0.49270833333333325
COORDINATED_DEMAND_Q60,2024-05-08,0.6791666666666667,0.2916666666666667,0.6833333333333333,0.4083333333333333,0.515625,0.505625
COORDINATED_DEMAND_Q60,2024-05-14,0.48750000000000004,0.2833333333333333,0.36666666666666664,0.925,0.515625,0.505625
COORDINATED_DEMAND_Q60,2024-05-20,0.5666666666666667,0.9,0.31666666666666665,0.575,0.5895833333333333,0.49270833333333325
COORDINATED_DEMAND_Q60,2024-05-28,0.44999999999999996,0.825,0.5583333333333333,0.3583333333333333,0.5479166666666666,0.5066666666666667
COORDINATED_DEMAND_Q60,2024-06-03,0.5041666666666667,0.5,0.7666666666666667,0.7083333333333333,0.6197916666666667,0.501875
COORDINATED_DEMAND_Q60,2024-06-11,0.5333333333333333,0.2833333333333333,0.6916666666666667,0.7916666666666666,0.575,0.5095833333333333
COORDINATED_DEMAND_Q60,2024-06-17,0.7333333333333334,0.525,0.8833333333333333,0.30833333333333335,0.6125,0.5170833333333333
COORDINATED_DEMAND_Q60,2024-06-21,0.7291666666666667,0.8916666666666667,0.7,0.05833333333333335,0.5947916666666668,0.5277083333333332
COORDINATED_DEMAND_Q60,2024-06-27,0.6541666666666667,0.6166666666666667,0.6333333333333333,0.5083333333333333,0.603125,0.5345833333333333
COORDINATED_DEMAND_Q60,2024-07-04,0.41250000000000003,0.7416666666666667,0.425,0.7833333333333333,0.5906250000000001,0.5277083333333332
COORDINATED_DEMAND_Q60,2024-07-10,0.8416666666666667,0.95,0.8,0.5666666666666667,0.7895833333333333,0.5379166666666667
COORDINATED_DEMAND_Q60,2024-07-16,0.7208333333333334,0.5833333333333334,0.825,0.5083333333333333,0.6593749999999999,0.5395833333333333
COORDINATED_DEMAND_Q60,2024-07-22,0.8791666666666667,0.8416666666666667,0.8833333333333333,0.17500000000000004,0.6947916666666667,0.5412499999999999
COORDINATED_DEMAND_Q60,2024-07-26,0.35416666666666663,0.8583333333333333,0.5083333333333333,0.6,0.5802083333333333,0.5447916666666667
COORDINATED_DEMAND_Q60,2024-08-01,0.8958333333333334,1.0,0.11666666666666667,0.44999999999999996,0.6156250000000001,0.5460416666666666
COORDINATED_DEMAND_Q60,2024-08-07,0.675,0.5166666666666667,0.5,0.8416666666666667,0.6333333333333334,0.5650000000000001
COORDINATED_DEMAND_Q60,2024-08-14,0.4625,0.9416666666666667,0.6416666666666667,0.4,0.6114583333333333,0.5520833333333333
COORDINATED_DEMAND_Q60,2024-08-20,0.4291666666666667,0.6666666666666666,0.65,0.6416666666666666,0.5968749999999999,0.5650000000000001
COORDINATED_DEMAND_Q60,2024-08-26,0.3875,0.975,0.9833333333333333,0.6333333333333333,0.7447916666666666,0.5650000000000001
COORDINATED_DEMAND_Q60,2024-08-30,0.8166666666666667,0.9166666666666666,0.4083333333333333,0.625,0.6916666666666667,0.573125
COORDINATED_DEMAND_Q60,2024-09-05,0.5708333333333333,0.6583333333333333,0.6,0.6333333333333333,0.615625,0.5770833333333333
COORDINATED_DEMAND_Q60,2024-09-19,0.37083333333333335,0.475,0.8083333333333333,0.9416666666666667,0.6489583333333333,0.5852083333333332
COORDINATED_DEMAND_Q60,2024-09-25,0.8708333333333333,0.9916666666666667,0.625,0.1333333333333333,0.6552083333333333,0.5900000000000001
COORDINATED_DEMAND_Q60,2024-10-08,1.0,1.0,1.0,0.0,0.75,0.5922916666666667
COORDINATED_DEMAND_Q60,2024-10-22,0.7083333333333333,0.8083333333333333,0.03333333333333333,0.95,0.625,0.5922916666666667
COORDINATED_DEMAND_Q60,2024-11-01,0.6,0.45,0.7916666666666666,0.55,0.5979166666666667,0.5900000000000001
COORDINATED_DEMAND_Q60,2024-11-12,0.9333333333333333,0.6,0.008333333333333333,0.8333333333333334,0.59375,0.5900000000000001
COORDINATED_DEMAND_Q60,2024-11-28,0.6375,0.9916666666666667,0.10833333333333334,0.9583333333333334,0.6739583333333333,0.5900000000000001
COORDINATED_DEMAND_Q60,2024-12-11,0.6708333333333334,0.8333333333333334,0.7166666666666667,0.4833333333333333,0.6760416666666668,0.571875
