behavior_hash,trial_id,year,cagr,total_return,maximum_drawdown,calmar,closed_trades,order_count,rolling_60_closed_trades_median,rolling_60_closed_trades_p10,exposure_ratio
827990d74bbbb2dc781553084cfd61ac42c66c6305a906cfbd7a2f2442b1b9da,S007-EX09-WEIGHTED-SCORE-00841,2026,1.0700212347412719,0.5963446368148111,-0.1808872742621046,5.915403607612647,24,48,9.0,6.200000000000001,0.46296296296296297
1dcd9e22286b3bb8c575ff84490a2180282d1773f08bf2d32e028f225a13667a,S007-EX09-WEIGHTED-SCORE-00294,2021,0.040390044438130435,0.038919835750614196,-0.07344972739544853,0.549900535650365,32,64,9.0,6.0,0.37037037037037035
1dcd9e22286b3bb8c575ff84490a2180282d1773f08bf2d32e028f225a13667a,S007-EX09-WEIGHTED-SCORE-00294,2022,-0.036373586491675214,-0.03495572306018657,-0.15983477870651375,-0.22756991179287617,35,70,8.0,7.0,0.3140495867768595
1dcd9e22286b3bb8c575ff84490a2180282d1773f08bf2d32e028f225a13667a,S007-EX09-WEIGHTED-SCORE-00294,2023,0.1392194592765328,0.13334222461788392,-0.08650236744419004,1.609429468694657,32,65,7.0,5.0,0.3677685950413223
1dcd9e22286b3bb8c575ff84490a2180282d1773f08bf2d32e028f225a13667a,S007-EX09-WEIGHTED-SCORE-00294,2024,0.4890630174528048,0.46572146336428344,-0.12001055845492792,4.075166583250931,38,76,9.0,7.0,0.48760330578512395
1dcd9e22286b3bb8c575ff84490a2180282d1773f08bf2d32e028f225a13667a,S007-EX09-WEIGHTED-SCORE-00294,2025,0.3525053451983471,0.3379979707965768,-0.08818295405821341,3.997431804854745,36,73,10.0,7.0,0.3991769547325103
1dcd9e22286b3bb8c575ff84490a2180282d1773f08bf2d32e028f225a13667a,S007-EX09-WEIGHTED-SCORE-00294,2026,1.0097612098699185,0.5663131037373754,-0.18523959316215932,5.451108980713267,27,54,11.0,8.0,0.43209876543209874
5b8d50f56404eecd5675fc07b99835b1866bb07064f70bcb31ba2fde572c8121,S007-EX09-WEIGHTED-SCORE-00967,2021,0.03445148335849879,0.033200874377358636,-0.06141016900605323,0.5610061642250633,28,56,8.0,5.0,0.345679012345679
5b8d50f56404eecd5675fc07b99835b1866bb07064f70bcb31ba2fde572c8121,S007-EX09-WEIGHTED-SCORE-00967,2022,-0.03468762573901929,-0.033334339511427724,-0.14552912097105453,-0.2383552206428746,33,66,8.0,6.0,0.30991735537190085
5b8d50f56404eecd5675fc07b99835b1866bb07064f70bcb31ba2fde572c8121,S007-EX09-WEIGHTED-SCORE-00967,2023,0.0524446723706804,0.05031205566902064,-0.09191949784588571,0.5705500312742169,23,47,5.0,3.0,0.33884297520661155
5b8d50f56404eecd5675fc07b99835b1866bb07064f70bcb31ba2fde572c8121,S007-EX09-WEIGHTED-SCORE-00967,2024,0.47532188754398774,0.4527300797682865,-0.159521295950669,2.9796766927656995,31,62,8.0,6.0,0.512396694214876
5b8d50f56404eecd5675fc07b99835b1866bb07064f70bcb31ba2fde572c8121,S007-EX09-WEIGHTED-SCORE-00967,2025,0.48059145390358915,0.45998456849545866,-0.10762651461154671,4.465362978985003,24,49,5.0,4.0,0.411522633744856
5b8d50f56404eecd5675fc07b99835b1866bb07064f70bcb31ba2fde572c8121,S007-EX09-WEIGHTED-SCORE-00967,2026,1.0048279669677402,0.5638404025995907,-0.1808872742621045,5.554995347609423,21,42,9.0,5.0,0.4691358024691358
997ea60a206c57ab71b8fc71e4cc4f270ec9a981005d577c421db5389f453e5f,S007-EX09-WEIGHTED-SCORE-00975,2021,0.05630856771994841,0.054243982649568645,-0.04945126305971437,1.138667937600574,28,56,8.0,5.0,0.3292181069958848
