trade_date,opening_return,opening_efficiency,late_return,late_efficiency,opening_signal_time,late_signal_time,OPENING_SELLOFF_REVERSAL_score,OPENING_BREAKOUT_CONTINUATION_score,LATE_SELLOFF_REVERSAL_score,LATE_BREAKOUT_CONTINUATION_score,OPENING_SELLOFF_REVERSAL_threshold,OPENING_SELLOFF_REVERSAL_raw_event,OPENING_BREAKOUT_CONTINUATION_threshold,OPENING_BREAKOUT_CONTINUATION_raw_event,LATE_SELLOFF_REVERSAL_threshold,LATE_SELLOFF_REVERSAL_raw_event,LATE_BREAKOUT_CONTINUATION_threshold,LATE_BREAKOUT_CONTINUATION_raw_event
2021-02-10,-0.0034317089910775866,0.06280547171748127,0.002734107997265811,0.08701828709483687,2021-02-10 10:30:00,2021-02-10 15:00:00,0.0034317089910775866,0.0,0.0,0.00023791739465436583,,False,,False,,False,,False
2021-02-18,-0.012837837837837762,0.19138990291369382,-0.0006839945280436854,0.028557447670177587,2021-02-18 10:30:00,2021-02-18 15:00:00,0.012837837837837762,0.0,0.0006839945280436854,0.0,,False,,False,,False,,False
2021-02-19,-0.010996563573883122,0.18052503143534154,0.0006877579092159358,0.025653659845822827,2021-02-19 10:30:00,2021-02-19 15:00:00,0.010996563573883122,0.0,0.0,1.7643507459299913e-05,,False,,False,,False,,False
2021-02-22,0.0027491408934707806,0.055552810949603466,-0.010452961672474004,0.3174437691315283,2021-02-22 10:30:00,2021-02-22 15:00:00,0.0,0.00015272250432880625,0.010452961672474004,0.0,,False,,False,,False,,False
2021-02-23,0.004950495049504955,0.07378581515386254,-0.0014064697609000865,0.0434143474568265,2021-02-23 10:30:00,2021-02-23 15:00:00,0.0,0.0003652763126428842,0.0014064697609000865,0.0,,False,,False,,False,,False
2021-02-24,-0.00421940928270037,0.08097593682616099,-0.0014285714285714457,0.04153568381959877,2021-02-24 10:30:00,2021-02-24 15:00:00,0.00421940928270037,0.0,0.0014285714285714457,0.0,,False,,False,,False,,False
2021-02-25,-0.009992862241256284,0.239729069686294,-0.004322766570605152,0.272110658262199,2021-02-25 10:30:00,2021-02-25 15:00:00,0.009992862241256284,0.0,0.004322766570605152,0.0,,False,,False,,False,,False
2021-02-26,0.002194586686174116,0.03788571854171276,0.0,0.0,2021-02-26 10:30:00,2021-02-26 15:00:00,0.0,8.314349350778265e-05,-0.0,0.0,,False,,False,,False,,False
2021-03-01,0.010286554004408588,0.2071897146752066,0.005065123010130401,0.18940704105281156,2021-03-01 10:30:00,2021-03-01 15:00:00,0.0,0.0021312681891645195,0.0,0.0009593699619173093,,False,,False,,False,,False
2021-03-02,0.002152080344332896,0.038940073904395744,0.005818181818181722,0.22292585522129243,2021-03-02 10:30:00,2021-03-02 15:00:00,0.0,8.380216765652042e-05,0.0,0.0012970231576511346,,False,,False,,False,,False
