dt,symbol,open,high,low,close,vol,amount
2022-07-01,510500.SH,7.331,7.384,7.315,7.333,132341876.0,972423718.0
2022-07-04,510500.SH,7.33,7.426,7.281,7.422,268820701.0,1983604414.0
2022-07-05,510500.SH,7.434,7.458,7.321,7.412,224073210.0,1655568283.0
2022-07-06,510500.SH,7.384,7.403,7.248,7.316,134447644.0,984359824.0
2022-07-07,510500.SH,7.305,7.39,7.277,7.346,163335928.0,1199931286.0
2022-07-08,510500.SH,7.375,7.392,7.299,7.303,112755364.0,828130889.0
2022-07-11,510500.SH,7.269,7.281,7.16,7.206,111865320.0,806545895.0
2022-07-12,510500.SH,7.198,7.242,7.11,7.119,103262100.0,740249888.0
2022-07-13,510500.SH,7.121,7.169,7.089,7.145,185449140.0,1323141160.0
2022-07-14,510500.SH,7.135,7.234,7.127,7.195,193238400.0,1391373973.0
2022-07-15,510500.SH,7.168,7.227,7.068,7.074,117333600.0,840057674.0
2022-07-18,510500.SH,7.08,7.225,7.08,7.205,138989740.0,996713559.0
2022-07-19,510500.SH,7.205,7.249,7.172,7.231,139144400.0,1004233508.0
2022-07-20,510500.SH,7.265,7.342,7.256,7.323,121566544.0,888618261.0
2022-07-21,510500.SH,7.316,7.325,7.248,7.252,95834514.0,698857170.0
2022-07-22,510500.SH,7.254,7.289,7.12,7.187,194260291.0,1394813209.0
2022-07-25,510500.SH,7.18,7.216,7.09,7.116,141984368.0,1014375077.0
2022-07-26,510500.SH,7.116,7.231,7.106,7.202,116420450.0,835838969.0
2022-07-27,510500.SH,7.19,7.254,7.175,7.233,74282182.0,536039052.0
2022-07-28,510500.SH,7.259,7.322,7.237,7.252,119057606.0,866454632.0
2022-07-29,510500.SH,7.267,7.283,7.181,7.194,112199941.0,810273443.0
2022-08-01,510500.SH,7.183,7.26,7.142,7.256,79391955.0,572594575.0
2022-08-02,510500.SH,7.202,7.21,6.969,7.075,210200900.0,1486902991.0
2022-08-03,510500.SH,7.077,7.172,6.99,7.016,138384800.0,983528727.0
2022-08-04,510500.SH,7.055,7.065,6.948,7.04,153476155.0,1077343749.0
2022-08-05,510500.SH,7.047,7.19,7.047,7.186,93240615.0,663416951.0
2022-08-08,510500.SH,7.169,7.231,7.163,7.226,92279992.0,664902426.0
2022-08-09,510500.SH,7.23,7.252,7.187,7.247,90389296.0,653499927.0
2022-08-10,510500.SH,7.239,7.273,7.2,7.233,69019153.0,499523169.0
