factor,reason
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第4层|任意,state_active_support
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向上|第5层|任意,state_active_support
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第3层|任意,state_active_support
state__raw__30m__cxt_bi_zdf_V230601__di_1__joint::向下|第5层|任意,state_active_support
state__raw__30m__cxt_decision_V240526__di_1__v1::开空,minimum_absolute_effect
state__raw__30m__cxt_decision_V240613__di_1__v1::开多,state_active_support
state__raw__30m__cxt_decision_V240613__di_1__v1::开空,state_active_support
state__raw__30m__cxt_decision_V240614__di_1__v1::开多,cross_year_direction
state__raw__30m__cxt_decision_V240614__di_1__v1::开空,state_active_support
state__raw__30m__cxt_double_zs_V230311__di_1__v1::看多,state_active_support
state__raw__30m__cxt_double_zs_V230311__di_1__v1::看空,state_active_support
state__raw__30m__cxt_fx_power_V221107__di_1__v1::中底,cross_year_direction
state__raw__30m__cxt_fx_power_V221107__di_1__v1::中顶,cross_year_direction
state__raw__30m__cxt_fx_power_V221107__di_1__v1::弱底,cross_year_direction
state__raw__30m__cxt_fx_power_V221107__di_1__v1::强底,cross_year_direction
state__raw__30m__cxt_fx_power_V221107__di_1__v1::强顶,minimum_absolute_effect
state__raw__30m__cxt_fx_power_V221107__di_1__v2::无中枢,cross_year_direction
state__raw__30m__cxt_fx_power_V221107__di_1__v2::有中枢,minimum_absolute_effect
state__raw__30m__cxt_fx_power_V221107__di_1__joint::中底|无中枢|任意,state_active_support
state__raw__30m__cxt_fx_power_V221107__di_1__joint::中底|有中枢|任意,minimum_absolute_effect
state__raw__30m__cxt_fx_power_V221107__di_1__joint::中顶|无中枢|任意,state_active_support
state__raw__30m__cxt_fx_power_V221107__di_1__joint::弱底|无中枢|任意,state_active_support
state__raw__30m__cxt_fx_power_V221107__di_1__joint::弱底|有中枢|任意,cross_year_direction
state__raw__30m__cxt_fx_power_V221107__di_1__joint::弱顶|无中枢|任意,state_active_support
state__raw__30m__cxt_fx_power_V221107__di_1__joint::强底|无中枢|任意,state_active_support
state__raw__30m__cxt_fx_power_V221107__di_1__joint::强底|有中枢|任意,cross_year_direction
state__raw__30m__cxt_fx_power_V221107__di_1__joint::强顶|无中枢|任意,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合2次,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合3次,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__v1::顶重合5次,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合0次,minimum_absolute_effect
state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合1次,minimum_absolute_effect
state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合3次,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__v2::底重合4次,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合0次|底重合1次|任意,cross_year_direction
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合0次|底重合2次|任意,state_active_support
state__raw__30m__cxt_overlap_V240526__di_1__joint::顶重合1次|底重合1次|任意,state_active_support
