factor,factor_kind,endpoint,direction,conditional_effect,closest_reference,max_abs_correlation
state__raw__daily__cxt_bi_status_V230102__di_1__v1::向下,state,max_drawdown_20,-1,-0.0057604396796832645,raw__daily__cxt_bi_status_V230101,0.5049166435920931
state__raw__daily__cxt_bi_status_V230102__di_1__joint::向下|延伸|任意,state,max_drawdown_20,-1,-0.005255345742077035,raw__daily__cxt_bi_status_V230101,0.27685095380840047
state__raw__daily__cxt_bi_stop_V230815__di_1__v1::向上,state,max_drawdown_20,-1,-0.005433109229533288,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.47070873774980165
state__raw__daily__cxt_bi_stop_V230815__di_1__v1::向下,state,max_drawdown_20,1,0.008573293240680681,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.48143037762159996
state__raw__daily__cxt_bi_stop_V230815__di_1__joint::向上|阈值外|任意,state,max_drawdown_20,-1,-0.005352081127560089,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.5002005201668587
state__raw__daily__cxt_bi_trend_V230824__di_1__v1::向下,state,return_20,1,0.026036654789988477,raw__weekly__cxt_bi_status_V230101,0.32600797588920505
state__raw__daily__cxt_bi_trend_V230913__di_1__v1::上升趋势,state,max_drawdown_20,1,0.005706315948216714,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.32281565139730134
state__raw__daily__cxt_bi_trend_V230913__di_1__joint::上升趋势|强|任意,state,max_drawdown_20,1,0.005505260231698394,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.3157097783207149
state__raw__daily__cxt_bi_zdf_V230601__di_1__v1::向上,state,max_drawdown_20,1,0.00934773171740628,raw__daily__cxt_bi_status_V230101,0.6607737998651763
state__raw__daily__cxt_bi_zdf_V230601__di_1__v2::第1层,state,max_drawdown_20,1,0.017652935855711475,raw__daily__cxt_seven_bi_V230620__di_1,0.142299674134987
state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向上|第1层|任意,state,max_drawdown_20,1,0.017455448660687545,raw__daily__cxt_bi_status_V230101,0.3569262441724742
state__raw__daily__cxt_bi_zdf_V230601__di_1__joint::向下|第2层|任意,state,return_20,-1,-0.04455310106362346,raw__daily__cxt_five_bi_V230619__di_1,0.3160760898392876
state__raw__daily__cxt_fx_power_V221107__di_1__v1::中底,state,max_drawdown_20,1,0.006359121573181284,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.34332894081272963
state__raw__daily__cxt_fx_power_V221107__di_1__joint::强底|有中枢|任意,state,max_drawdown_20,1,0.007744659926302494,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.4072842624654684
state__raw__daily__cxt_overlap_V240526__di_1__v1::顶重合1次,state,max_drawdown_20,1,0.006395377320834511,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.262721526344929
state__raw__daily__cxt_range_oscillation_V230620__di_1__v1::2笔震荡,state,return_20,-1,-0.018493623941992367,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.146265981334417
state__raw__daily__cxt_range_oscillation_V230620__di_1__joint::2笔震荡|向上|任意,state,return_20,-1,-0.010324655367243044,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.24686374944441852
state__raw__daily__cxt_ubi_end_V230816__di_1__v2::第3次,state,return_20,-1,-0.009310220101678911,target_position,0.07558066165422576
state__raw__weekly__cxt_bi_base_V230228__di_1__v1::向下,state,max_drawdown_20,-1,-0.011531691278840725,raw__daily__cxt_bi_status_V230101,0.4925347718910823
state__raw__weekly__cxt_bi_end_V230222__di_1__v1::新低,state,max_drawdown_20,1,0.009643236341328862,raw__weekly__cxt_bi_status_V230101,0.476457033595552
state__raw__weekly__cxt_bi_end_V230222__di_1__v1::新高,state,return_20,-1,-0.03458715919225604,raw__weekly__cxt_bi_status_V230101,0.3794424168758996
state__raw__weekly__cxt_bi_end_V230222__di_1__v2::第1次,state,return_20,-1,-0.027346462991496873,raw__daily__pressure_support_V240406__di_1__w_20,0.1536629067889924
state__raw__weekly__cxt_bi_end_V230222__di_1__v2::第2次,state,return_20,-1,-0.03508546070645494,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.2056583778884942
state__raw__weekly__cxt_bi_end_V230222__di_1__v2::第其他次,state,return_20,-1,-0.021989258676239253,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.12439507364281896
state__raw__weekly__cxt_bi_end_V230222__di_1__joint::新高|第1次|任意,state,return_20,-1,-0.03711729125312701,raw__daily__pressure_support_V240406__di_1__w_20,0.2878962023276074
state__raw__weekly__cxt_bi_end_V230324__di_1__v1::看空,state,return_20,-1,-0.03406841842631526,raw__weekly__cxt_bi_status_V230101,0.39125400897859175
state__raw__weekly__cxt_bi_status_V230101__di_1__v2::延伸,state,max_drawdown_20,-1,-0.005661244748124568,raw__weekly__cxt_bi_status_V230101,0.193573804598185
state__raw__weekly__cxt_bi_status_V230102__di_1__v1::向上,state,return_20,-1,-0.03452077799686731,raw__weekly__cxt_bi_status_V230101,0.5106302632878581
state__raw__weekly__cxt_bi_status_V230102__di_1__v1::向下,state,max_drawdown_20,1,0.017270984136534773,raw__weekly__cxt_bi_status_V230101,0.492506379766128
state__raw__weekly__cxt_bi_status_V230102__di_1__v2::延伸,state,return_20,-1,-0.029094854607454777,raw__daily__cxt_five_bi_V230619__di_1,0.09794645219100341
state__raw__weekly__cxt_bi_status_V230102__di_1__v2::顶分,state,return_20,-1,-0.03321578936966958,raw__weekly__cxt_bi_status_V230101,0.4114413920150836
state__raw__weekly__cxt_bi_stop_V230815__di_1__v1::向下,state,max_drawdown_20,-1,-0.014835284926175012,raw__daily__cxt_bi_status_V230101,0.4707222387043488
state__raw__weekly__cxt_bi_stop_V230815__di_1__joint::向下|阈值外|任意,state,max_drawdown_20,-1,-0.01510008507907937,raw__daily__cxt_bi_status_V230101,0.47069199658098415
state__raw__weekly__cxt_bi_trend_V230913__di_1__v1::下降趋势,state,max_drawdown_20,1,0.022147459676042057,raw__weekly__cxt_bi_status_V230101,0.3465906715951446
state__raw__weekly__cxt_bi_trend_V230913__di_1__joint::上升趋势|强|任意,state,return_20,-1,-0.04319744168291894,raw__weekly__cxt_bi_status_V230101,0.24905267005645298
state__raw__weekly__cxt_bi_trend_V230913__di_1__joint::下降趋势|强|任意,state,max_drawdown_20,1,0.02220220827656071,raw__weekly__cxt_bi_status_V230101,0.33861775751609424
state__raw__weekly__cxt_fx_power_V221107__di_1__v1::中底,state,max_drawdown_20,1,0.008308061424145901,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.382201543340577
state__raw__weekly__cxt_fx_power_V221107__di_1__v1::中顶,state,max_drawdown_20,1,0.01773301955263674,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.2835645092458471
state__raw__weekly__cxt_fx_power_V221107__di_1__joint::中底|有中枢|任意,state,return_20,-1,-0.02717537026719456,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.2776242419017476
state__raw__weekly__cxt_fx_power_V221107__di_1__joint::中顶|有中枢|任意,state,max_drawdown_20,1,0.017057522274567985,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.29800628327339923
state__raw__weekly__cxt_fx_power_V221107__di_1__joint::强顶|有中枢|任意,state,max_drawdown_20,-1,-0.005004330399080429,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.262180434574299
state__raw__weekly__cxt_ubi_end_V230816__di_1__v2::第2次,state,max_drawdown_20,-1,-0.009578109868403144,raw__daily__cxt_bi_status_V230101,0.13211593773234673
state__raw__weekly__cxt_ubi_end_V230816__di_1__v2::第3次,state,max_drawdown_20,-1,-0.03297371062190383,raw__weekly__cxt_bi_status_V230101,0.14755366490547978
