signal_id,catalog_signal_id,name,frequency,information_family,catalog_status,opportunity_states,opportunity_state_count,rolling_60_median,rolling_60_p10,independent_transitions,maximum_year_share,s001_reference_function
SIG-30M-45AA63C5B6F16771,SIG-CZSC-bar_zfzd_V241013,bar_zfzd_V241013,30m,VOLATILITY_RISK,DISCOVERED,满足,1,14.0,11.0,306,0.196078431372549,False
SIG-30M-B6F3EB1D1F1B380C,SIG-CZSC-bar_zfzd_V241014,bar_zfzd_V241014,30m,VOLATILITY_RISK,DISCOVERED,满足,1,12.0,10.0,272,0.2058823529411764,False
SIG-30M-A7271D31A8FD954E,SIG-CZSC-tas_boll_power_V221112,tas_boll_power_V221112,30m,VOLATILITY_RISK,DISCOVERED,多头|空头,2,12.0,9.0,260,0.1846153846153846,False
SIG-30M-AB6ADC510F2D5223,SIG-CZSC-emv_up_dw_line_V230605,emv_up_dw_line_V230605,30m,VOLUME_LIQUIDITY,READY,看多|看空,2,15.0,13.0,345,0.188953488372093,False
SIG-30M-F5690EDBCA698E49,SIG-CZSC-vol_double_ma_V230214,vol_double_ma_V230214,30m,VOLUME_LIQUIDITY,DISCOVERED,看多|看空,2,9.0,4.0,197,0.2397959183673469,False
SIG-30M-127D37392E480BB4,SIG-CZSC-vol_gao_di_V221218,vol_gao_di_V221218,30m,VOLUME_LIQUIDITY,DISCOVERED,高量柱,1,13.0,8.0,289,0.2076124567474048,False
SIG-30M-B6510599451AAC42,SIG-CZSC-vol_single_ma_V230214,vol_single_ma_V230214,30m,VOLUME_LIQUIDITY,DISCOVERED,多头|空头,2,13.0,10.0,289,0.1937716262975778,False
SIG-30M-235C2987D2CC329A,SIG-CZSC-vol_ti_suo_V221216,vol_ti_suo_V221216,30m,VOLUME_LIQUIDITY,DISCOVERED,梯量,1,13.0,9.0,292,0.2054794520547945,False
SIG-30M-127EE8AD547D57A8,SIG-CZSC-vol_window_V230731,vol_window_V230731,30m,VOLUME_LIQUIDITY,READY,高量N7|高量N8|高量N9,3,10.0,6.0,223,0.2247706422018348,False
SIG-30M-0B67F732F0848D8E,SIG-CZSC-vol_window_V230801,vol_window_V230801,30m,VOLUME_LIQUIDITY,DISCOVERED,先放后缩|先缩后放,2,12.0,10.0,285,0.1830985915492957,False
