mechanism,signal_date,event_date,signal_clock,execution_clock,net_financing_flow,net_financing_flow_rate,prior_lower_quintile
MARGIN_DELEVERAGING_REVERSAL,2023-05-05,2023-05-08,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-14420119.0,-0.01019776686434158,-0.009271851533530622
MARGIN_DELEVERAGING_REVERSAL,2023-05-12,2023-05-15,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-24157059.0,-0.0167397876642707,-0.009224247811525208
MARGIN_DELEVERAGING_REVERSAL,2023-05-31,2023-06-01,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-27964445.0,-0.018713667198460553,-0.008932460816586692
MARGIN_DELEVERAGING_REVERSAL,2023-06-06,2023-06-07,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-34957342.0,-0.023412951039212246,-0.008211532550901774
MARGIN_DELEVERAGING_REVERSAL,2023-06-09,2023-06-12,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-15598126.0,-0.010517269708901142,-0.008609353636521051
MARGIN_DELEVERAGING_REVERSAL,2023-06-27,2023-06-28,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-81923450.0,-0.05233173735687281,-0.0069080004252528035
MARGIN_DELEVERAGING_REVERSAL,2023-07-04,2023-07-05,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-12652353.0,-0.008457432809621508,-0.0069080004252528035
MARGIN_DELEVERAGING_REVERSAL,2023-07-07,2023-07-10,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-47151640.0,-0.03153651509651134,-0.00798213325384009
MARGIN_DELEVERAGING_REVERSAL,2023-07-10,2023-07-11,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-14681285.0,-0.010139060548467499,-0.008472266706394815
MARGIN_DELEVERAGING_REVERSAL,2023-07-25,2023-07-26,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-12576604.0,-0.008499576248282006,-0.006306902225088626
MARGIN_DELEVERAGING_REVERSAL,2023-08-01,2023-08-02,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-24637794.0,-0.016102269820172238,-0.0045871963875016705
MARGIN_DELEVERAGING_REVERSAL,2023-08-02,2023-08-03,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-33056981.0,-0.02195828964786212,-0.0045871963875016705
MARGIN_DELEVERAGING_REVERSAL,2023-08-08,2023-08-09,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-73845355.0,-0.04648261264970197,-0.00579885206822767
MARGIN_DELEVERAGING_REVERSAL,2023-08-11,2023-08-14,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-49754699.0,-0.03187933270175629,-0.00579885206822767
MARGIN_DELEVERAGING_REVERSAL,2023-08-18,2023-08-21,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-70427453.0,-0.044132382009634756,-0.0062249870091342285
MARGIN_DELEVERAGING_REVERSAL,2023-08-28,2023-08-29,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-61554357.0,-0.03734047132314053,-0.0062249870091342285
MARGIN_DELEVERAGING_REVERSAL,2023-08-31,2023-09-01,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-28811561.0,-0.017274602406050023,-0.008465861497353608
MARGIN_DELEVERAGING_REVERSAL,2023-09-21,2023-09-22,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-96433260.0,-0.05403441937455042,-0.006001288805252161
MARGIN_DELEVERAGING_REVERSAL,2023-09-25,2023-09-26,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-51378936.0,-0.02954778973731666,-0.007041926219559155
MARGIN_DELEVERAGING_REVERSAL,2023-09-28,2023-10-09,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-56652518.0,-0.032894299003103,-0.007050354907291254
MARGIN_DELEVERAGING_REVERSAL,2023-10-11,2023-10-12,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-53732684.0,-0.030529575715321434,-0.006001288805252161
MARGIN_DELEVERAGING_REVERSAL,2023-10-13,2023-10-16,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-32325950.0,-0.01876446791198087,-0.007050354907291254
MARGIN_DELEVERAGING_REVERSAL,2023-10-17,2023-10-18,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-17502355.0,-0.010132911231051462,-0.010020114962660047
MARGIN_DELEVERAGING_REVERSAL,2023-10-24,2023-10-25,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-27064095.0,-0.012133653593832696,-0.011326782948875614
MARGIN_DELEVERAGING_REVERSAL,2023-10-25,2023-10-26,T_PLUS_1_AROUND_08_30,NEXT_OPEN,-38501081.0,-0.017473214793740224,-0.012927376839100602
