candidate_id,first_front_count,mean_pareto_layer,worst_pareto_layer
749,0,22.2,33
750,0,29.4,39
751,0,17.8,20
752,0,20.8,44
753,0,16.6,24
754,0,25.6,40
755,0,8.4,10
756,0,28.0,42
757,0,17.2,22
758,1,10.8,19
759,0,21.8,25
760,0,21.6,28
761,0,26.0,41
762,0,31.6,38
763,0,31.8,43
764,0,25.8,38
765,0,31.6,44
766,0,21.8,31
767,0,29.0,39
862,0,19.8,35
874,0,18.4,36
877,0,12.2,14
889,0,11.0,16
923,1,8.4,21
924,0,19.2,29
925,0,14.0,31
926,1,9.4,25
927,0,17.2,21
928,0,16.2,30
929,0,9.2,24
930,0,19.6,37
931,0,14.6,32
932,0,13.6,23
933,1,18.4,27
934,0,12.2,32
935,0,12.6,15
936,1,7.0,20
937,0,22.4,40
938,0,19.8,26
939,0,15.0,24
940,0,12.8,15
941,0,12.4,28
942,0,13.4,28
943,0,14.8,30
944,0,25.6,34
945,0,13.4,28
946,0,10.8,18
947,0,26.0,43
948,0,12.6,19
949,0,12.8,33
950,0,20.0,25
951,0,17.0,23
952,0,10.2,12
953,0,10.0,17
954,0,9.8,18
955,0,20.4,37
956,0,15.2,30
957,0,12.8,25
958,0,21.8,27
959,0,13.2,27
960,1,9.6,19
961,0,9.4,18
962,0,14.4,28
963,0,9.6,22
964,0,18.6,24
965,0,10.4,19
966,0,12.2,17
967,0,18.2,38
968,0,16.4,28
969,0,10.4,16
970,0,11.2,21
971,0,11.8,28
972,0,15.0,24
973,0,18.4,36
974,0,12.8,24
975,0,14.2,20
976,0,17.0,32
977,2,8.2,23
978,0,17.6,31
979,0,8.2,16
980,0,11.0,20
981,0,18.6,31
982,0,11.4,16
983,0,19.6,35
984,0,8.0,16
985,1,6.2,14
986,1,5.8,12
987,0,16.2,21
988,0,13.4,19
989,0,5.0,10
990,0,9.6,15
991,0,19.4,23
992,0,12.0,23
993,0,24.6,40
994,0,12.2,18
995,0,21.0,24
996,0,10.2,16
997,0,17.6,30
998,0,16.0,23
999,0,19.0,31
1000,0,15.4,20
1001,0,23.6,41
1002,0,10.0,19
1003,0,9.2,12
1004,0,11.0,17
1005,0,19.0,26
1006,0,10.8,17
1007,0,7.0,13
1008,0,10.6,12
1009,0,19.4,29
1010,2,7.4,21
1011,0,6.6,11
1012,0,8.2,13
1013,0,21.0,26
1014,0,10.6,22
1015,0,9.0,18
1036,2,10.6,27
1047,0,13.2,17
1048,0,18.0,20
1049,0,11.2,13
1050,0,10.0,12
1051,0,18.2,29
1052,0,10.0,16
1053,0,9.0,13
1054,0,17.6,28
1055,0,12.4,15
1056,0,16.2,22
1057,0,13.8,23
1058,0,13.6,29
1059,0,10.0,19
1060,0,9.8,24
1061,0,12.8,22
1062,0,15.4,27
1063,0,8.0,11
1064,0,10.4,13
1065,0,16.8,27
1066,0,9.0,16
1067,0,7.4,11
1068,0,12.8,18
1069,0,14.6,22
1070,0,11.2,20
1071,0,7.8,11
1072,0,12.6,21
1073,0,13.4,17
1074,0,7.8,18
1075,0,11.4,15
1076,0,16.6,22
1077,1,6.0,12
1078,0,14.0,18
1079,0,22.2,29
1080,0,19.6,27
1081,0,15.2,20
1082,0,11.4,19
1083,0,21.2,29
1084,0,18.0,24
1085,0,16.8,21
1086,0,27.4,42
1087,0,19.6,30
1088,0,15.4,21
1089,0,19.2,30
1090,0,13.8,18
1091,1,11.4,19
1092,0,18.6,30
1093,0,15.8,19
1094,0,16.6,23
1095,0,20.0,24
1096,0,20.6,26
1097,0,22.6,28
1098,0,13.4,23
1099,1,13.6,23
1100,0,22.6,27
1101,0,11.4,16
