object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,weights
weight,trend,delta=-0.05,2021,0.0029406556554447683,-0.04113646337897303,-0.0440771190344178,0.13294054781997158,-0.15721894020518534,-0.2901594880251569,0.20648008789083525,27,0.6748971193415638,-0.2248485113278289,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2022,-0.07098337536211052,-0.10825727267964314,-0.03727389731753261,-0.3925555936985177,-0.6693423466687782,-0.2767867529702605,0.5215757633949842,27,0.5454545454545454,-0.167370458417332,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2023,-0.06031910763728798,-0.06756806519517167,-0.007248957557883684,-0.3898777490492146,-0.44450682291360843,-0.05462907386439386,0.9999999999999931,27,0.6735537190082644,-0.19106822506885357,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2024,0.06821503071757551,0.009779896466777682,-0.05843513425079783,0.429718323504386,0.2500028232333949,-0.1797155002709911,0.7935168100019522,31,0.5413223140495868,-0.2099550999390496,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2025,0.5165797353772803,0.4723918073588522,-0.04418792801842808,2.1935321360904703,2.0039555089135157,-0.18957662717695456,0.9999999999999879,23,0.7448559670781894,-0.12500239103219857,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2021H1,0.24893799167194453,0.18726390843524543,-0.061674083236699095,3.071835242807882,2.3735003864300572,-0.6983348563778247,0.4400051269157863,7,0.6610169491525424,-0.12063497156188019,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2021H2,-0.19785984963082448,-0.19327515336119294,0.0045846962696315385,-2.7932256547119008,-2.6677020871177413,0.1255235675941595,0.32224733972552166,21,0.688,-0.22484851132782868,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2022H1,-0.06477702515250938,-0.06477702515250938,0.0,-0.7230789850675907,-0.7230789850675907,0.0,0.0,13,0.5299145299145299,-0.167370458417332,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2022H2,-0.004512956055262585,-0.04445377183064603,-0.03994081577538344,0.027823439228323324,-0.5817357133876877,-0.609559152616011,0.5215757633949856,15,0.56,-0.11154197359916707,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2023H1,0.0509484040161825,0.04181669632235918,-0.009131707693823321,0.7678236149964333,0.6482234989207677,-0.11960011607566556,1.0,13,0.8728813559322034,-0.09212958777356617,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2023H2,-0.10632026926329408,-0.10544152813179297,0.000878741131501104,-2.295242649962902,-2.274081930229856,0.02116071973304612,0.0,15,0.4838709677419355,-0.12012729472032813,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2024H1,-0.09485536840967668,-0.11579626634452023,-0.02094089793484355,-1.2263976900051408,-1.5892535210812497,-0.36285583107610897,1.0,16,0.5555555555555556,-0.11218947015927683,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2024H2,0.18015949433488965,0.14202175135829953,-0.03813774297659012,1.0655359885390128,0.9095157366156953,-0.15602025192331748,0.9999999999999749,15,0.528,-0.2099550999390486,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2025H1,0.03483459850082471,0.023949009798159615,-0.010885588702665094,0.5727132492529325,0.4224540277205061,-0.15025922153242643,1.0,13,0.7008547008547008,-0.12500239103219857,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=-0.05,2025H2,0.466221134770592,0.4386336987853612,-0.027587435985230835,3.257468496072225,3.0551756769588896,-0.2022928191133353,0.0,11,0.7857142857142857,-0.11355876027830503,inconclusive,"[0.325, 0.25, 0.42500000000000004]"
weight,trend,delta=+0.05,2021,0.0029406556554447683,0.06857308549177077,0.065632429836326,0.13294054781997158,0.5702533016619336,0.437312753841962,0.39109760903949425,25,0.6049382716049383,-0.17029709957195782,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2022,-0.07098337536211052,0.06228731760628592,0.13327069296839644,-0.3925555936985177,0.5410539655272052,0.933609559225723,0.5332998687228263,25,0.4834710743801653,-0.09510777232405732,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
weight,trend,delta=+0.05,2023,-0.06031910763728798,-0.0017740549414071438,0.05854505269588084,-0.3898777490492146,0.0778757379468401,0.4677534869960547,0.26303440911239157,31,0.5537190082644629,-0.14110961345191486,inconclusive,"[0.27499999999999997, 0.35, 0.375]"
