candidate_id,structure_share,trend_share,volume_share,is_control,range_to_range_count,range_to_range_loss_count,range_to_range_loss_rate,range_to_range_short_loss_count,range_to_range_compound_return,range_to_range_median_holding_sessions,range_to_range_fees,range_to_trend_count,range_to_trend_loss_count,range_to_trend_loss_rate,range_to_trend_short_loss_count,range_to_trend_compound_return,range_to_trend_median_holding_sessions,range_to_trend_fees,trend_to_range_count,trend_to_range_loss_count,trend_to_range_loss_rate,trend_to_range_short_loss_count,trend_to_range_compound_return,trend_to_range_median_holding_sessions,trend_to_range_fees,trend_to_trend_count,trend_to_trend_loss_count,trend_to_trend_loss_rate,trend_to_trend_short_loss_count,trend_to_trend_compound_return,trend_to_trend_median_holding_sessions,trend_to_trend_fees,range_days,range_transition_count,range_signal_density_per_100,first_front_count,mean_pareto_layer,worst_pareto_layer,max_drawdown,calmar,win_loss_ratio,strategy_return,sharpe,exposure,trade_count
40,0.3,0.125,0.575,False,16,11,0.6875,8,-0.23820146429701505,6.5,13719.272212971962,7,5,0.7142857142857143,2,-0.048535900674539056,18.0,5803.468866743497,6,1,0.16666666666666666,1,0.28183490424718594,21.5,4913.2655061631285,23,17,0.7391304347826086,14,0.3876716389736643,8.0,20438.183661150397,592,46,7.77027027027027,0,20.0,28,-0.414097906071905,0.13793497747162017,2.5220003230655896,0.3062417164097584,0.3416403835115124,0.6443894389438944,107
41,0.3,0.15,0.55,False,16,12,0.75,8,-0.2300132504705411,6.5,14234.652565730594,7,5,0.7142857142857143,2,-0.02706026349643731,18.0,5866.1383433767405,6,1,0.16666666666666666,1,0.28183490424718616,21.5,4959.813532748016,23,17,0.7391304347826086,14,0.3876716389736652,8.0,20764.332816534305,592,46,7.77027027027027,0,16.0,27,-0.3944336935653372,0.1632703821141848,2.8171868107458997,0.35008217194425906,0.3690225942711273,0.6361386138613861,107
42,0.3,0.175,0.525,False,15,12,0.8,8,-0.3279217191935275,10.0,13724.562352447087,6,4,0.6666666666666666,2,0.08263617328298212,19.5,5072.346217573777,6,1,0.16666666666666666,1,0.2818349042471857,21.5,5138.136893797018,23,17,0.7391304347826086,14,0.38767163897366475,8.0,21322.175920481848,592,43,7.263513513513513,0,14.75,25,-0.36353305320809115,0.15812408953778978,2.8758530294905063,0.3084108181318286,0.34395124003684385,0.6336633663366337,103
43,0.3,0.2,0.5,False,27,23,0.8518518518518519,18,-0.3972113967706751,5.0,25157.130320194752,5,3,0.6,2,0.12015606295019676,22.0,4537.24127608057,8,3,0.375,3,0.17795285016625706,19.0,7197.3905116258975,21,15,0.7142857142857143,14,0.7242591946836416,7.0,20468.69676250539,592,68,11.486486486486488,1,7.5,14,-0.31957885030274324,0.2199600519819274,3.633558564485081,0.3864268185292563,0.394063659318278,0.5981848184818482,125
44,0.3,0.225,0.475,False,32,26,0.8125,21,-0.33955903592424086,4.0,30613.04587888381,5,3,0.6,2,0.12015606295019698,22.0,4660.543893244084,8,4,0.5,3,0.048459479019759666,16.5,7392.118627295096,21,15,0.7142857142857143,14,0.7242591946836423,7.0,20848.539242055776,592,78,13.175675675675674,0,10.0,15,-0.34624626052953245,0.18691942947746712,3.632608404406209,0.35204038434662244,0.3739265100263516,0.5891089108910891,135
45,0.3,0.25,0.45,False,34,29,0.8529411764705882,25,-0.33467164450820464,4.0,34765.637208133085,5,3,0.6,2,0.12811415605437104,22.0,4823.3329832633835,9,5,0.5555555555555556,5,0.0751465685021464,10.0,8501.79393767018,20,14,0.7,13,0.806372627067879,7.5,21059.859638867834,592,83,14.020270270270272,0,5.75,13,-0.2965279447771465,0.28312601995666037,4.432125403548294,0.4736251496705759,0.44913296025353855,0.5676567656765676,139
46,0.3,0.275,0.425,False,34,28,0.8235294117647058,25,-0.25848125237753683,4.0,37283.41537137859,5,3,0.6,2,0.12161205717221302,18.0,5074.621331799262,10,6,0.6,6,0.06866374192086289,8.5,10056.22579898838,19,13,0.6842105263157895,12,0.8284344643683792,7.0,21480.06824845141,592,84,14.18918918918919,1,4.5,11,-0.2707609938851795,0.40160610031354516,4.541656256224637,0.6428889349872051,0.5444531035990594,0.5528052805280528,139
47,0.3,0.3,0.4,False,30,25,0.8333333333333334,22,-0.24803083807063386,3.5,35415.447362042585,4,1,0.25,0,0.19540135215451482,20.0,4291.4423903406805,10,6,0.6,6,0.06866374192086266,8.5,10536.054656554443,19,13,0.6842105263157895,12,0.8284344643683792,7.0,22704.383743988237,592,75,12.66891891891892,1,1.75,2,-0.23072279847132016,0.5495739011762367,4.484076939605267,0.7756492125129182,0.6128487250957707,0.5305280528052805,129
48,0.3,0.325,0.375,False,28,23,0.8214285714285714,23,-0.22663169282261186,3.0,31942.36403051742,4,1,0.25,1,0.20113103601292748,17.0,4279.644803021544,12,6,0.5,5,0.11297335138098408,12.5,12931.10478512649,19,13,0.6842105263157895,12,0.6720442554051143,7.0,22740.535637380795,592,73,12.33108108108108,0,7.5,9,-0.22136821161439046,0.5659878487266174,3.7881321966165906,0.7642528479532791,0.6092557671037572,0.5107260726072608,129
49,0.3,0.35,0.35,False,28,24,0.8571428571428571,24,-0.24823208033533273,3.0,32166.327868621152,4,1,0.25,1,0.20113103601292703,17.0,4223.5047401516285,12,6,0.5,5,0.1129733513809843,12.5,12751.636347480522,19,13,0.6842105263157895,12,0.6720442554051123,7.0,22566.52657058295,592,73,12.33108108108108,0,5.75,8,-0.22482152200690486,0.5279001409839659,3.957324183927295,0.7149767852642088,0.5857806353162366,0.5024752475247525,129
50,0.3,0.375,0.325,False,29,24,0.8275862068965517,24,-0.23659793909979188,4.0,34860.951768417384,3,0,0.0,0,0.21055183957055923,22.0,3235.688929128087,12,6,0.5,6,0.14633222567305726,8.5,13242.64365980204,19,13,0.6842105263157895,12,0.6720442554051134,7.0,23349.45851797338,592,74,12.5,0,3.75,5,-0.20527915066069014,0.638199858735579,3.9006785581622676,0.8077839377889422,0.6337996468869412,0.49174917491749176,129
