kind,id,name,information_family,status,provider,version
signal,SIG-CZSC-cat_macd_V230520,cat_macd_V230520,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-cci_decision_V240620,cci_decision_V240620,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-clv_up_dw_line_V230605,clv_up_dw_line_V230605,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-cmo_up_dw_line_V230605,cmo_up_dw_line_V230605,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-coo_cci_V230323,coo_cci_V230323,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-coo_kdj_V230322,coo_kdj_V230322,TREND_MOMENTUM,DISCOVERED,czsc,1
signal,SIG-CZSC-coo_sar_V230325,coo_sar_V230325,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-coo_td_V221110,coo_td_V221110,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-coo_td_V221111,coo_td_V221111,OTHER_TECHNICAL,DISCOVERED,czsc,1
signal,SIG-CZSC-cvolp_up_dw_line_V230612,cvolp_up_dw_line_V230612,VOLUME_LIQUIDITY,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_base_V230228,cxt_bi_base_V230228,MARKET_STRUCTURE,READY,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230104,cxt_bi_end_V230104,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230105,cxt_bi_end_V230105,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230222,cxt_bi_end_V230222,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230224,cxt_bi_end_V230224,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230312,cxt_bi_end_V230312,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230320,cxt_bi_end_V230320,MARKET_STRUCTURE,DISCOVERED,czsc,1
signal,SIG-CZSC-cxt_bi_end_V230322,cxt_bi_end_V230322,MARKET_STRUCTURE,DISCOVERED,czsc,1
