candidate_id,family,family_rank,parameter,worst_calmar,worst_drawdown,max_drawdown,calmar,win_loss_ratio,return,sharpe,cycle_count,t1_fill_rate,two_day_fill_rate,final_fill_rate,average_wait_sessions,longest_wait_sessions,missed_cycles,cap_p95,cap_mean,average_open_improvement,worst_open_improvement,average_diagnostic_participation,maximum_diagnostic_participation,trade_count
atr_10,atr,1,0.75,-0.07887314889529265,-0.1823154056517774,-0.23072279847131993,0.5221588648432747,4.63535154519129,0.7549481366562132,0.5952169499097124,64,1.0,1.0,1.0,1.0,1,0,0.026804813424875715,0.016788779126754055,2.1172086720866456e-05,0.0,0.0006046926625389967,0.002430116649487362,127
atr_11,atr,1,0.875,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.03147875349816534,0.01968307176064763,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_12,atr,1,1.0,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.035533280064024265,0.022556211442020378,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_13,atr,1,1.125,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.04020722013731366,0.025437862643126575,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_14,atr,1,1.25,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.04488116021060329,0.028313779578206397,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_15,atr,1,1.375,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.04893568677646221,0.03123357823441697,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_16,atr,1,1.5,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.05360962684975162,0.03403242038338506,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_17,atr,1,1.625,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.05828356692304105,0.03693518602792842,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_18,atr,1,1.75,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.06315461606334757,0.039817271642038826,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_19,atr,1,1.875,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.06701203356218938,0.04269371661994732,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
atr_20,atr,1,2.0,-0.07887314889529265,-0.1823154056517775,-0.23072279847131993,0.5208290724228778,4.627880416992466,0.7525733759841462,0.5940483011476363,64,1.0,1.0,1.0,1.0,1,0,0.07188308270249605,0.04560086321324021,0.0,0.0,0.0006046926625389967,0.002430116649487362,127
