left_signal_id,left_name,left_family,right_signal_id,right_name,right_family,nmi,near_redundant
SIG-30M-0556412A129AF090,cxt_bi_base_V230228,STRUCTURE,SIG-30M-F2AEB6424AC435E2,cxt_decision_V240526,STRUCTURE,0.3016802458325429,False
SIG-30M-EDA4CA09BFFD9B6B,zdy_macd_dif_iqr_V230521,OTHER_TECHNICAL,SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,0.3006444129290472,False
SIG-30M-EDA4CA09BFFD9B6B,zdy_macd_dif_iqr_V230521,OTHER_TECHNICAL,SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,TREND_MOMENTUM,0.30015789712394986,False
SIG-30M-A9E943E431C115D2,bar_classify_V240606,TREND_MOMENTUM,SIG-30M-87BBC4E47781EFF4,bar_zdt_V230331,TREND_MOMENTUM,0.2974879171584033,False
SIG-30M-770956D737EC6834,bar_big_solid_V230215,TREND_MOMENTUM,SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,TREND_MOMENTUM,0.2952277860035856,False
SIG-30M-0D20B698553AEE56,bar_polyfit_V240428,TREND_MOMENTUM,SIG-30M-DBCF1773F1530589,tas_macd_power_V221108,TREND_MOMENTUM,0.29319377456911444,False
SIG-30M-127D37392E480BB4,vol_gao_di_V221218,VOLUME_FLOW,SIG-30M-0B67F732F0848D8E,vol_window_V230801,VOLUME_FLOW,0.2923330689616789,False
SIG-30M-F4D660C3603EB1FE,ntmdk_V230824,OTHER_TECHNICAL,SIG-30M-770956D737EC6834,bar_big_solid_V230215,TREND_MOMENTUM,0.29119747622024983,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-5AB8F67776EBF508,tas_ma_system_V230513,TREND_MOMENTUM,0.2911031037420069,False
SIG-30M-EAAE838107E13DCC,cxt_bi_end_V230222,STRUCTURE,SIG-30M-7FAE8A62E8BD6292,cxt_bi_trend_V230913,STRUCTURE,0.28690380889139916,False
SIG-30M-0D20B698553AEE56,bar_polyfit_V240428,TREND_MOMENTUM,SIG-30M-A7271D31A8FD954E,tas_boll_power_V221112,TREND_MOMENTUM,0.28577131129268246,False
SIG-30M-A9E943E431C115D2,bar_classify_V240606,TREND_MOMENTUM,SIG-30M-A4E0E0C62CBC2773,bar_dual_thrust_V230403,TREND_MOMENTUM,0.28564162676506205,False
SIG-30M-770956D737EC6834,bar_big_solid_V230215,TREND_MOMENTUM,SIG-30M-5AB8F67776EBF508,tas_ma_system_V230513,TREND_MOMENTUM,0.2849313538952268,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-A7271D31A8FD954E,tas_boll_power_V221112,TREND_MOMENTUM,0.28473868104408745,False
SIG-30M-E5AE9A83EB877E10,tas_ma_base_V221101,TREND_MOMENTUM,SIG-30M-AB6ADC510F2D5223,emv_up_dw_line_V230605,VOLUME_FLOW,0.28376195956350797,False
SIG-30M-CC8A74C77A1634F3,xl_bar_trend_V240623,OTHER_TECHNICAL,SIG-30M-0BE44721879919A1,cci_decision_V240620,TREND_MOMENTUM,0.2833357477663867,False
SIG-30M-4D26215BA9B6CE1A,bar_classify_V240607,TREND_MOMENTUM,SIG-30M-E5AE9A83EB877E10,tas_ma_base_V221101,TREND_MOMENTUM,0.28306776107472525,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-F4D660C3603EB1FE,ntmdk_V230824,OTHER_TECHNICAL,0.2821370395554572,False
SIG-30M-8496D83608BCE4DC,byi_fx_num_V230628,OTHER_TECHNICAL,SIG-30M-F2AEB6424AC435E2,cxt_decision_V240526,STRUCTURE,0.2788544527661478,False
SIG-30M-F4D660C3603EB1FE,ntmdk_V230824,OTHER_TECHNICAL,SIG-30M-BF09ECD9ABCE55A0,xl_bar_trend_V240330,OTHER_TECHNICAL,0.27629027370537357,False
SIG-30M-6FD7E2EE42E77B3A,xl_bar_trend_V240331,OTHER_TECHNICAL,SIG-30M-5AB8F67776EBF508,tas_ma_system_V230513,TREND_MOMENTUM,0.27613877157589,False
SIG-30M-BF09ECD9ABCE55A0,xl_bar_trend_V240330,OTHER_TECHNICAL,SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,0.27492208547480285,False
SIG-30M-0D20B698553AEE56,bar_polyfit_V240428,TREND_MOMENTUM,SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,TREND_MOMENTUM,0.2737134344391915,False
SIG-30M-127D37392E480BB4,vol_gao_di_V221218,VOLUME_FLOW,SIG-30M-B6510599451AAC42,vol_single_ma_V230214,VOLUME_FLOW,0.27316115536125857,False
SIG-30M-F4D660C3603EB1FE,ntmdk_V230824,OTHER_TECHNICAL,SIG-30M-DBCF1773F1530589,tas_macd_power_V221108,TREND_MOMENTUM,0.2721819463560929,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-DBCF1773F1530589,tas_macd_power_V221108,TREND_MOMENTUM,0.27189648991794746,False
SIG-30M-CC8A74C77A1634F3,xl_bar_trend_V240623,OTHER_TECHNICAL,SIG-30M-5AB8F67776EBF508,tas_ma_system_V230513,TREND_MOMENTUM,0.27031197386027156,False
SIG-30M-B0420C9CADFCFB03,cxt_bi_end_V230618,STRUCTURE,SIG-30M-CD672B8912E30577,cxt_bi_status_V230102,STRUCTURE,0.2702303584218505,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,TREND_MOMENTUM,0.27017919169062066,False
SIG-30M-37DE76F11A7573E6,bar_section_momentum_V221112,TREND_MOMENTUM,SIG-30M-DBCF1773F1530589,tas_macd_power_V221108,TREND_MOMENTUM,0.26908303516786686,False
SIG-30M-0556412A129AF090,cxt_bi_base_V230228,STRUCTURE,SIG-30M-0DF4ABB160CC5463,cxt_ubi_end_V230816,STRUCTURE,0.26907764569548465,False
SIG-30M-8496D83608BCE4DC,byi_fx_num_V230628,OTHER_TECHNICAL,SIG-30M-CD672B8912E30577,cxt_bi_status_V230102,STRUCTURE,0.2667409545973246,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-770956D737EC6834,bar_big_solid_V230215,TREND_MOMENTUM,0.26645693185739805,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-BF09ECD9ABCE55A0,xl_bar_trend_V240330,OTHER_TECHNICAL,0.26627395804569043,False
SIG-30M-60939B2E4DA16C0D,bar_eight_V230702,TREND_MOMENTUM,SIG-30M-0BE44721879919A1,cci_decision_V240620,TREND_MOMENTUM,0.2660924394746792,False
SIG-30M-5DFFC57AC894B9C0,tas_kdj_base_V221101,TREND_MOMENTUM,SIG-30M-E5AE9A83EB877E10,tas_ma_base_V221101,TREND_MOMENTUM,0.2653811099164953,False
SIG-30M-A7271D31A8FD954E,tas_boll_power_V221112,TREND_MOMENTUM,SIG-30M-FCF161C964C5C292,tas_macd_base_V221028,TREND_MOMENTUM,0.26503204596130053,False
SIG-30M-0DF4ABB160CC5463,cxt_ubi_end_V230816,STRUCTURE,SIG-30M-0BE44721879919A1,cci_decision_V240620,TREND_MOMENTUM,0.2644013512006465,False
SIG-30M-88366CEFFFE7FEE2,coo_cci_V230323,OTHER_TECHNICAL,SIG-30M-1BCB885FB8958A9F,tas_double_ma_V221203,TREND_MOMENTUM,0.2639329228646797,False
