factor,type,origin_weight,raw_signal,primary,factor_kind,coverage,active_days,active_ratio,status,canonical_factor,independent_events,years,half_year_windows
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::多头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,多头,state,0.9759229534510433,553.0,0.4438202247191011,candidate,state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::多头,,,
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::空头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,空头,state,0.9759229534510433,663.0,0.5321027287319422,candidate,state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20::空头,,,
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::多头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,多头,state,0.9759229534510433,593.0,0.47592295345104335,candidate,state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::多头,,,
state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::空头,state,0.0,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,空头,state,0.9759229534510433,623.0,0.5,candidate,state__raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5::空头,,,
state__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::多头,state,0.0,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,多头,state,0.9759229534510433,559.0,0.44863563402889245,candidate,state__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::多头,,,
state__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::空头,state,0.0,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,空头,state,0.9759229534510433,657.0,0.5272873194221509,candidate,state__raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26::空头,,,
state__raw__daily__tas_macd_power_V221108__di_1::弱势,state,0.0,raw__daily__tas_macd_power_V221108__di_1,弱势,state,0.9759229534510433,252.0,0.20224719101123595,candidate,state__raw__daily__tas_macd_power_V221108__di_1::弱势,,,
state__raw__daily__tas_macd_power_V221108__di_1::强势,state,0.0,raw__daily__tas_macd_power_V221108__di_1,强势,state,0.9759229534510433,322.0,0.25842696629213485,candidate,state__raw__daily__tas_macd_power_V221108__di_1::强势,,,
state__raw__daily__tas_macd_power_V221108__di_1::超弱,state,0.0,raw__daily__tas_macd_power_V221108__di_1,超弱,state,0.9759229534510433,385.0,0.3089887640449438,candidate,state__raw__daily__tas_macd_power_V221108__di_1::超弱,,,
state__raw__daily__tas_macd_power_V221108__di_1::超强,state,0.0,raw__daily__tas_macd_power_V221108__di_1,超强,state,0.9759229534510433,237.0,0.19020866773675763,candidate,state__raw__daily__tas_macd_power_V221108__di_1::超强,,,
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N10,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N10,state,0.9759229534510433,480.0,0.3852327447833066,candidate,state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N10,,,
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N3,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N3,state,0.9759229534510433,30.0,0.024077046548956663,candidate,state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N3,,,
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N4,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N4,state,0.9759229534510433,55.0,0.044141252006420544,candidate,state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N4,,,
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N5,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N5,state,0.9759229534510433,58.0,0.04654895666131621,candidate,state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N5,,,
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N6,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N6,state,0.9759229534510433,84.0,0.06741573033707865,candidate,state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N6,,,
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N7,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N7,state,0.9759229534510433,129.0,0.10353130016051364,candidate,state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N7,,,
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N8,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N8,state,0.9759229534510433,143.0,0.11476725521669343,candidate,state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N8,,,
state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N9,state,0.0,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,高量N9,state,0.9759229534510433,215.0,0.1725521669341894,candidate,state__raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5::高量N9,,,
state__raw__weekly__cxt_bi_status_V230101::其他,state,0.0,raw__weekly__cxt_bi_status_V230101,其他,state,0.9574638844301766,110.0,0.08828250401284109,candidate,state__raw__weekly__cxt_bi_status_V230101::其他,,,
state__raw__weekly__cxt_bi_status_V230101::向上,state,0.0,raw__weekly__cxt_bi_status_V230101,向上,state,0.9574638844301766,526.0,0.42215088282504015,candidate,state__raw__weekly__cxt_bi_status_V230101::向上,,,
state__raw__weekly__cxt_bi_status_V230101::向下,state,0.0,raw__weekly__cxt_bi_status_V230101,向下,state,0.9574638844301766,557.0,0.44703049759229535,candidate,state__raw__weekly__cxt_bi_status_V230101::向下,,,
interaction__bi_all_bull,interaction,0.0,,,,,,,,,,,
interaction__bi_all_bear,interaction,0.0,,,,,,,,,,,
interaction__trend_all_bull,interaction,0.0,,,,,,,,,,,
interaction__trend_all_bear,interaction,0.0,,,,,,,,,,,
