candidate_id,year,cycle_count,return,max_drawdown,calmar
atr_06,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_06,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_06,2024,12,0.23031164582881836,-0.1823154056517774,1.321304906002468
atr_06,2025,13,0.45593531333313186,-0.13853549820009514,3.4383474389344073
atr_07,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_07,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_07,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_07,2024,12,0.22179564583000855,-0.18231540565177773,1.2722531181734258
atr_07,2025,13,0.44507866361126647,-0.14249755569851819,3.262640323279669
atr_08,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_08,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_08,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_08,2024,12,0.2184665023808816,-0.18231540565177762,1.253081232689542
atr_08,2025,13,0.4397094554378038,-0.14568361694808507,3.1525449288083185
atr_09,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_09,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_09,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_09,2024,12,0.21515545210267217,-0.18231540565177762,1.234015689046573
atr_09,2025,13,0.43970945543780116,-0.14568361694808518,3.1525449288082963
atr_10,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_10,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_10,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_10,2024,12,0.21186234789643277,-0.1823154056517774,1.215055610817242
atr_10,2025,13,0.4397094554378007,-0.1456836169480853,3.152544928808291
atr_11,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_11,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_11,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_11,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
atr_11,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
atr_12,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_12,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_12,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_12,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
atr_12,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
atr_13,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_13,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_13,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_13,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
atr_13,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
atr_14,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_14,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_14,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_14,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
atr_14,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
atr_15,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_15,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_15,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_15,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
atr_15,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
atr_16,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_16,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_16,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_16,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
atr_16,2025,13,0.43970945543780116,-0.14568361694808507,3.152544928808299
atr_17,2021,14,-0.012557800417945297,-0.1650734570070681,-0.07887314889529265
atr_17,2022,11,0.02690296981291107,-0.11414143881329664,0.2455734112602357
atr_17,2023,14,-0.008037980828573987,-0.13939122511269275,-0.06003774731622509
atr_17,2024,12,0.2102224800373027,-0.1823154056517775,1.2056148499701267
