event_id,signal_date,event_type,factor_score,family,candidate_id,pressure_position,pressure,baseline_position,before_position,after_position,close,sma_5,sma_20,close_location,down_volume_share,reason
PositionRisk:intraday_C0.35_V0.60_P0.50:20221202:Entry,2022-12-02,Entry,0.26212080125684833,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.04,1.0314,1.05395,0.31250000000000694,0.47952519366810814,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20221207:Exit,2022-12-07,Exit,-0.11939215997427535,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.03,1.0352000000000001,1.04675,0.2,0.49132251017636014,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20221212:Entry,2022-12-12,Entry,0.30969701501770597,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.032,1.0295999999999998,1.0429,0.6666666666666716,0.5672013611502821,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20221213:Reduce,2022-12-13,Reduce,-0.11939215997427535,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.013,1.0256,1.03935,0.05555555555554939,0.6977999318031053,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20221215:Exit,2022-12-15,Exit,-0.16696837373513299,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,0.5,0.0,1.014,1.0188000000000001,1.0335,0.81818181818182,0.36690607622787075,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20221227:Entry,2022-12-27,Entry,0.26212080125684833,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,0.987,0.9656,1.0055,0.8888888888888888,0.35019023222688306,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20230113:Exit,2023-01-13,Exit,-0.01219700334434301,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.0,1.004,0.9892499999999999,0.90000000000001,0.4651865656987108,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20230118:Entry,2023-01-18,Entry,0.32189027823977573,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.031,1.0146000000000002,0.9951000000000001,0.5714285714285624,0.3075902757779164,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20230208:Exit,2023-02-08,Exit,0.023336481308297602,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.036,1.0488,1.0312,0.06666666666667358,0.7476434753290586,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20230209:Entry,2023-02-09,Entry,0.32173974412592304,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.063,1.0499999999999998,1.034,1.0,0.10435871680961777,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20230216:Exit,2023-02-16,Exit,-0.04802783933298885,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.03,1.0454,1.04365,0.225806451612906,0.6201614061654735,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20230301:Entry,2023-03-01,Entry,0.3572732287785636,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.018,1.0151999999999999,1.03375,0.7500000000000092,0.35092713700321065,champion entry
PositionRisk:intraday_C0.35_V0.60_P0.50:20230302:Reduce,2023-03-02,Reduce,0.04712458818872642,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,True,1.0,1.0,0.5,1.012,1.0142,1.0314999999999999,0.0,0.7772095164682067,risk pressure activated
PositionRisk:intraday_C0.35_V0.60_P0.50:20230306:Increase,2023-03-06,Increase,0.5000018700611366,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.5,1.0,1.031,1.02,1.0288499999999998,0.7894736842105251,0.281772945536337,risk pressure cleared
PositionRisk:intraday_C0.35_V0.60_P0.50:20230307:Exit,2023-03-07,Exit,-0.1315854231963451,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,0.0,1.0,0.0,1.015,1.02,1.02745,0.05555555555554939,0.8046869453858647,champion exit
PositionRisk:intraday_C0.35_V0.60_P0.50:20230309:Entry,2023-03-09,Entry,0.29750375179563615,intraday_pressure,intraday_C0.35_V0.60_P0.50,0.5,False,1.0,0.0,1.0,1.023,1.0219999999999998,1.0245,0.72727272727272,0.4039025900779344,champion entry
