lag,is_observed,strategy_return,annualized_return,max_drawdown,calmar,win_loss_ratio,closed_trade_count,winning_trade_count,losing_trade_count,has_wins_and_losses,sharpe,exposure,trade_count
32,False,0.2078687213173911,0.3439363965831317,-0.2703487606919768,1.2721952033469737,1.721562663361488,7,4,3,True,1.191414455794529,0.5714285714285714,14
33,False,0.3790500532286307,0.6537623081504733,-0.20630068769758225,3.1689778422301162,5.397220945517731,7,3,4,True,1.897271997178289,0.5714285714285714,15
34,False,0.36446178734570345,0.6264619030700886,-0.2208888372199509,2.8360957980248083,3.8914708497677752,7,3,4,True,1.7975414250653048,0.5714285714285714,15
35,False,0.13499802755968116,0.21921219390077806,-0.25964765504135,0.8442679517589619,1.344760878189908,7,4,3,True,0.8672443121157056,0.577639751552795,15
36,False,0.19760793184195258,0.3261097667416408,-0.3141772992887977,1.0379800433699526,1.1045980509006375,8,5,3,True,1.1174471575408806,0.577639751552795,16
37,False,0.19143666205966614,0.3154295364534234,-0.2789078525742067,1.1309453410584762,0.6120153700101465,8,6,2,True,1.0920879869160134,0.577639751552795,16
38,False,0.23863947526645024,0.39790931944371555,-0.23970868282884916,1.6599704055268656,0.7377177126263293,7,5,2,True,1.3097300727076622,0.577639751552795,14
39,False,-0.10601144660882489,-0.16088026650327691,-0.3053429464058506,-0.5268838478077722,0.7189109219298501,7,4,3,True,-0.3825908061536829,0.5714285714285714,14
40,False,-0.10351037878247238,-0.15720291447150947,-0.32397758024664836,-0.4852277566609049,0.7361632668536544,7,4,3,True,-0.35865626593084565,0.5714285714285714,15
41,False,-0.146419978426084,-0.21948313533705122,-0.3193623989184411,-0.6872541541532662,1.06853813714983,7,3,4,True,-0.6040973588580774,0.5714285714285714,15
42,False,-0.22605958215250688,-0.3304190538707721,-0.299918946000718,-1.1016945020538351,0.8719259332598661,7,3,4,True,-1.0390378321125722,0.577639751552795,15
43,False,-0.24011854923714593,-0.3493591602669194,-0.3287795390985653,-1.0625939838737486,0.5847249112956322,8,4,4,True,-1.1623659713809529,0.577639751552795,16
44,False,-0.04053209226448562,-0.06271049844038923,-0.2558462276853116,-0.24511011558678336,1.046595858322342,8,4,4,True,0.007123527174092405,0.577639751552795,16
45,False,0.15130024529068797,0.24673300408858667,-0.2239929172200088,1.1015214550120898,0.5616144375697321,8,6,2,True,0.9602395152821096,0.577639751552795,16
46,False,-0.13570985086899545,-0.20410010650781996,-0.24763145448701995,-0.8242091334100621,0.8172794775476147,8,4,4,True,-0.5469721747384142,0.577639751552795,16
47,False,-0.14111781474950313,-0.2118811524916676,-0.2359328580282004,-0.8980569907153079,0.8212882682305597,8,4,4,True,-0.5687303040107882,0.577639751552795,16
48,False,-0.015549339603535106,-0.02423090358840807,-0.22877254729432484,-0.1059170074162529,1.1112475382631257,8,4,4,True,0.1375888499165164,0.577639751552795,16
49,False,-0.1294654155682845,-0.19508124652243486,-0.2443496604889328,-0.7983692145595208,0.7352607538367602,8,4,4,True,-0.5195631460713329,0.577639751552795,16
50,False,-0.17590967800199842,-0.26127581533289923,-0.26823451519856345,-0.9740574032371898,0.5772872301196488,8,4,4,True,-0.8919984784285014,0.577639751552795,16
51,False,0.09867514747158435,0.15869555309666494,-0.22877254729432472,0.6936826772859987,1.5383752987260226,8,4,4,True,0.706687143039627,0.577639751552795,16
52,False,0.1714267935694367,0.2810148164665507,-0.18122789265288175,1.550615704640994,1.1968908683770294,8,5,3,True,1.089191431591024,0.577639751552795,16
53,False,0.15411896711693562,0.25151393011887535,-0.16012098548174225,1.5707743077034344,1.1561162789435362,8,5,3,True,0.9934180886904956,0.577639751552795,16
54,False,0.31362261557143967,0.5326121694298316,-0.11901274885500623,4.475253067876916,2.80131495507402,8,6,2,True,1.737370309657364,0.577639751552795,16
55,False,0.41366531708557797,0.7191949150386228,-0.18428426342091586,3.9026387912240788,2.3266341544552382,8,6,2,True,2.1357907872462136,0.577639751552795,16
56,False,0.39637969916970595,0.6864056214848897,-0.1502796797368121,4.567521189072308,1.263884907533607,7,6,1,True,2.1406873617198814,0.577639751552795,14
57,False,0.6551823819247493,1.2006011633472036,-0.12678968128051982,9.469234019848159,1.8935181814779245,7,6,1,True,3.192423584991368,0.5714285714285714,14
