object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2025H1,0.03483459850082471,0.028080790046612458,-0.006753808454212251,0.5727132492529325,0.48695437846125805,-0.08575887079167449,0.5369922054516435,17,0.6239316239316239,-0.12716500747013837
signal,raw__daily__cxt_bi_status_V230101,drop_and_reaggregate,2025H2,0.466221134770592,0.460645220917957,-0.005575913852635006,3.257468496072225,3.2275491458568264,-0.029919350215398488,0.8108588639163176,9,0.7777777777777778,-0.10762651461154682
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2021,0.0029406556554447683,0.014301846216677738,0.01136119056123297,0.13294054781997158,0.20675411719799067,0.07381356937801908,0.0,31,0.6625514403292181,-0.21450735295631507
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2022,-0.07098337536211052,-0.03073849878812074,0.040244876573989785,-0.3925555936985177,-0.10812397147421032,0.2844316222243074,1.0,27,0.5330578512396694,-0.13192218628886576
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2023,-0.06031910763728798,-0.1376526072244625,-0.0773334995871745,-0.3898777490492146,-1.068439495001815,-0.6785617459526004,0.6933733199008837,33,0.6528925619834711,-0.25508327019303245
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2024,0.06821503071757551,0.06821503071757551,0.0,0.429718323504386,0.429718323504386,0.0,0.0,31,0.5289256198347108,-0.18357160128619643
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2025,0.5165797353772803,0.49573964376113944,-0.020840091616140866,2.1935321360904703,2.116908902656325,-0.07662323343414545,0.9999999999999803,21,0.7119341563786008,-0.12500239103219724
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2021H1,0.24893799167194453,0.24893799167194453,0.0,3.071835242807882,3.071835242807882,0.0,0.0,5,0.6440677966101694,-0.070445854346318
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2021H2,-0.19785984963082448,-0.18877330293060723,0.009086546700217246,-2.7932256547119008,-2.6434620325673346,0.14976362214456618,0.0,27,0.68,-0.21450735295631618
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2022H1,-0.06477702515250938,-0.0242632903131923,0.040513734839317084,-0.7230789850675907,-0.19858486622143526,0.5244941188461555,1.0,13,0.5042735042735043,-0.13192218628886576
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2022H2,-0.004512956055262585,-0.004512956055262585,0.0,0.027823439228323324,0.027823439228323324,0.0,0.0,15,0.56,-0.09410443425020654
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2023H1,0.0509484040161825,-0.01857572370698024,-0.06952412772316274,0.7678236149964333,-0.12823761407623957,-0.8960612290726728,0.6933733199008872,17,0.847457627118644,-0.14843056829214907
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2023H2,-0.10632026926329408,-0.12176980396914494,-0.015449534705850865,-2.295242649962902,-2.7165165995565483,-0.42127394959364617,0.0,17,0.46774193548387094,-0.13618751290099107
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2024H1,-0.09485536840967668,-0.09485536840967668,0.0,-1.2263976900051408,-1.2263976900051408,0.0,0.0,16,0.5555555555555556,-0.11218947015927683
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2024H2,0.18015949433488965,0.18015949433488965,0.0,1.0655359885390128,1.0655359885390128,0.0,0.0,15,0.504,-0.18357160128619576
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2025H1,0.03483459850082471,0.05635020994792228,0.02151561144709757,0.5727132492529325,0.8565655787693994,0.2838523295164669,1.0,11,0.6324786324786325,-0.12500239103219724
signal,raw__daily__cxt_five_bi_V230619__di_1,zero_contribution,2025H2,0.466221134770592,0.4166196078839006,-0.049601526886691394,3.257468496072225,2.9448772897443547,-0.3125912063278702,0.0,11,0.7857142857142857,-0.11380931685859919
signal,raw__daily__cxt_five_bi_V230619__di_1,drop_and_reaggregate,2021,0.0029406556554447683,0.05549672289354679,0.05255606723810202,0.13294054781997158,0.47440046644256306,0.3414599186225915,0.8215764371768914,27,0.6255144032921811,-0.17932161275464986
signal,raw__daily__cxt_five_bi_V230619__di_1,drop_and_reaggregate,2022,-0.07098337536211052,0.05628892482383807,0.1272723001859486,-0.3925555936985177,0.49494355478631713,0.8874991484848349,0.999999999999996,27,0.512396694214876,-0.09410443425020698
signal,raw__daily__cxt_five_bi_V230619__di_1,drop_and_reaggregate,2023,-0.06031910763728798,-0.08134824769899585,-0.021029140061707863,-0.3898777490492146,-0.5882235295573167,-0.19834578050810214,0.34445888925642176,35,0.5991735537190083,-0.20644618991313168
