object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,metric,value
group_coalition,structure+volume_position,coalition,2022H2,-0.004512956055262585,-0.18696272936450264,-0.18244977330924006,0.027823439228323324,-3.0731106511462807,-3.100934090374604,0.27565671872530073,17.0,0.688,-0.20187375128031448,,
group_coalition,structure+volume_position,coalition,2023H1,0.0509484040161825,0.034245717715485346,-0.016702686300697156,0.7678236149964333,0.581867373441212,-0.18595624155522128,0.3158842833422075,11.0,0.8135593220338984,-0.08931103837555354,,
group_coalition,structure+volume_position,coalition,2023H2,-0.10632026926329408,-0.12939409189504325,-0.023073822631749175,-2.295242649962902,-1.8732535188272599,0.4219891311356423,0.39158670764994297,11.0,0.8064516129032258,-0.16423083946519523,,
group_coalition,structure+volume_position,coalition,2024H1,-0.09485536840967668,-0.1343093863806717,-0.039454017970995015,-1.2263976900051408,-1.3394697498852584,-0.11307205988011759,0.4663432034286121,11.0,0.811965811965812,-0.19976771196283394,,
group_coalition,structure+volume_position,coalition,2024H2,0.18015949433488965,0.07890740119931339,-0.10125209313557626,1.0655359885390128,0.7214381356803532,-0.34409785285865957,0.25389038682162307,15.0,0.784,-0.1827240436299622,,
group_coalition,structure+volume_position,coalition,2025H1,0.03483459850082471,0.09879873315647614,0.06396413465565143,0.5727132492529325,1.2194774892434719,0.6467642399905393,0.3406108601362422,9.0,0.8547008547008547,-0.096952553273004,,
group_coalition,structure+volume_position,coalition,2025H2,0.466221134770592,0.4382463301337238,-0.02797480463686819,3.257468496072225,2.931668937194394,-0.3257995588778311,0.3760890916242644,11.0,0.9047619047619048,-0.11355876027830503,,
group_coalition,trend+volume_position,coalition,2021,0.0029406556554447683,0.08651183702763743,0.08357118137219266,0.13294054781997158,0.6669495024049407,0.5340089545849691,0.41016447839520703,25.0,0.6172839506172839,-0.1708343161713255,,
group_coalition,trend+volume_position,coalition,2022,-0.07098337536211052,-0.06372738729924676,0.007255988062863761,-0.3925555936985177,-0.3329322603023307,0.05962333339618703,0.4019850166609151,23.0,0.5247933884297521,-0.14767770147356896,,
group_coalition,trend+volume_position,coalition,2023,-0.06031910763728798,-0.07651566933843645,-0.01619656170114847,-0.3898777490492146,-0.5349074963800297,-0.14502974733081508,0.3792498650669517,27.0,0.6239669421487604,-0.2131019249629017,,
