object_type,object_id,counterfactual,window,champion_return,counterfactual_return,return_delta,champion_sharpe,counterfactual_sharpe,sharpe_delta,dominant_share,trade_count,exposure,max_drawdown,local_classification,value
threshold,entry,enter=0.20,2022H2,-0.004512956055262585,0.031951699175149395,0.03646465523041198,0.027823439228323324,0.5868058953165354,0.5589824560882121,0.48305963457144285,11,0.488,-0.09330383229475014,inconclusive,0.2
threshold,entry,enter=0.20,2023H1,0.0509484040161825,0.047771944003002,-0.0031764600131805043,0.7678236149964333,0.7356459088063126,-0.032177706190120614,0.856391837660477,15,0.7711864406779662,-0.0913757241448695,inconclusive,0.2
threshold,entry,enter=0.20,2023H2,-0.10632026926329408,-0.10205304973954321,0.004267219523750865,-2.295242649962902,-2.303550128831378,-0.008307478868475826,1.0,13,0.4435483870967742,-0.11200640272741391,inconclusive,0.2
threshold,entry,enter=0.20,2024H1,-0.09485536840967668,-0.04020162383281167,0.054653744576865004,-1.2263976900051408,-0.5406359233230692,0.6857617666820716,0.8582803987989517,12,0.47863247863247865,-0.08766782107561466,inconclusive,0.2
threshold,entry,enter=0.20,2024H2,0.18015949433488965,0.22984117420075578,0.049681679865866135,1.0655359885390128,1.2635087605199542,0.19797277198094143,0.9999999999999951,13,0.472,-0.1823154056517774,inconclusive,0.2
threshold,entry,enter=0.20,2025H1,0.03483459850082471,0.05635020994792228,0.02151561144709757,0.5727132492529325,0.8565655787693994,0.2838523295164669,1.0,11,0.6324786324786325,-0.12500239103219724,inconclusive,0.2
threshold,entry,enter=0.20,2025H2,0.466221134770592,0.3655620313711949,-0.1006591033993971,3.257468496072225,2.750268102978993,-0.5072003930932318,0.7473851086017331,9,0.7222222222222222,-0.14574925920976223,inconclusive,0.2
threshold,exit,exit=-0.05,2021,0.0029406556554447683,-0.013488383639614354,-0.016429039295059122,0.13294054781997158,0.028584146232953245,-0.10435640158701834,0.2859996856755129,25,0.6954732510288066,-0.22484851132782802,inconclusive,-0.05
threshold,exit,exit=-0.05,2022,-0.07098337536211052,-0.06391236930112032,0.007071006060990204,-0.3925555936985177,-0.3292326402381438,0.06332295346037392,0.8900242379845303,23,0.5578512396694215,-0.1398939361902225,inconclusive,-0.05
threshold,exit,exit=-0.05,2023,-0.06031910763728798,-0.05309746657140779,0.007221641065880191,-0.3898777490492146,-0.3197806729105479,0.07009707613866667,0.646892740017147,25,0.6900826446280992,-0.20248637172912087,inconclusive,-0.05
threshold,exit,exit=-0.05,2024,0.06821503071757551,-0.0018000275647735986,-0.07001505828234911,0.429718323504386,0.21332574807474672,-0.21639257542963927,0.7935168100019403,31,0.5495867768595041,-0.2138972973405725,inconclusive,-0.05
threshold,exit,exit=-0.05,2025,0.5165797353772803,0.4191363360692666,-0.09744339930801371,2.1935321360904703,1.8075564586664234,-0.3859756774240468,0.6922245296373218,17,0.7695473251028807,-0.1359062281552521,inconclusive,-0.05
threshold,exit,exit=-0.05,2021H1,0.24893799167194453,0.23092446294590685,-0.018013528726037675,3.071835242807882,2.844033771672643,-0.22780147113523874,1.0,5,0.6779661016949152,-0.0838528852932462,inconclusive,-0.05
threshold,exit,exit=-0.05,2021H2,-0.19785984963082448,-0.19945325490872945,-0.001593405277904969,-2.7932256547119008,-2.7380724313259006,0.05515322338600015,0.3483579833048525,21,0.712,-0.22484851132782913,inconclusive,-0.05
threshold,exit,exit=-0.05,2022H1,-0.06477702515250938,-0.03391495075762718,0.0308620743948822,-0.7230789850675907,-0.29512324047612554,0.4279557445914652,0.0,11,0.5384615384615384,-0.1398939361902225,inconclusive,-0.05
threshold,exit,exit=-0.05,2022H2,-0.004512956055262585,-0.028979409830567238,-0.024466453775304653,0.027823439228323324,-0.3448076961240611,-0.3726311353523844,0.8900242379845309,13,0.576,-0.11154197359916651,inconclusive,-0.05
threshold,exit,exit=-0.05,2023H1,0.0509484040161825,0.07313221936423164,0.02218381534804914,0.7678236149964333,1.0247767286055713,0.2569531136091381,0.646892740017147,11,0.8983050847457628,-0.0921295877735665,inconclusive,-0.05
threshold,exit,exit=-0.05,2023H2,-0.10632026926329408,-0.11806830352189779,-0.011748034258603712,-2.295242649962902,-2.5381758316736693,-0.24293318171076717,0.0,15,0.49193548387096775,-0.1325467791596715,inconclusive,-0.05
threshold,exit,exit=-0.05,2024H1,-0.09485536840967668,-0.12155280106883992,-0.026697432659163245,-1.2263976900051408,-1.6799258824669188,-0.453528192461778,0.9999999999999679,16,0.5641025641025641,-0.1142103708848815,inconclusive,-0.05
threshold,exit,exit=-0.05,2024H2,0.18015949433488965,0.13632324589317868,-0.04383624844171097,1.0655359885390128,0.8857297022298619,-0.17980628630915085,0.9999999999999917,15,0.536,-0.21389729734057228,inconclusive,-0.05
threshold,exit,exit=-0.05,2025H1,0.03483459850082471,0.011189005529894214,-0.023645592970930496,0.5727132492529325,0.26234699072242296,-0.3103662585305096,0.6922245296373218,11,0.7264957264957265,-0.1359062281552521,inconclusive,-0.05
threshold,exit,exit=-0.05,2025H2,0.466221134770592,0.40409647223638245,-0.06212466253420956,3.257468496072225,2.818979990441339,-0.43848850563088604,0.5,7,0.8095238095238095,-0.1225212967296262,inconclusive,-0.05
threshold,exit,exit=0.05,2021,0.0029406556554447683,-0.005519301536792143,-0.008459957192236911,0.13294054781997158,0.07726388799231718,-0.05567665982765441,1.0,33,0.6502057613168725,-0.2172684210438256,inconclusive,0.05
