omitted_count,omitted_signal_dates,remaining_trades,mean_return_4,mean_return_5,mean_return_6,mean_band_return,mean_peak_advantage
2,2022-10-25|2023-05-11,23,0.010570136301339744,0.013121241822847221,0.012288489324175903,0.01199328914945429,0.001691929010089398
2,2022-10-25|2023-07-10,23,0.01025754917965267,0.01280234365314785,0.012175361157506856,0.011745084663435794,0.0015858884845680876
2,2022-10-25|2023-07-18,23,0.010642608161054118,0.01279534494313862,0.012082733306620231,0.011840228803604325,0.0014326742093014443
2,2022-10-25|2023-09-15,23,0.011197958531298192,0.012959276761279422,0.012420713035307663,0.012192649442628427,0.0011499409779764935
2,2022-10-25|2023-10-11,23,0.011014861227017529,0.014098723504656989,0.013833418831442802,0.01298233452103911,0.0016745834754268234
2,2022-10-25|2023-11-02,23,0.009417874373819038,0.012061702188278425,0.011313453199990301,0.010931009920695922,0.0016960384013737543
2,2022-10-25|2023-12-15,23,0.011250542645993991,0.013840562646377197,0.013155262649881774,0.012748789314084323,0.0016376599984393133
2,2022-10-25|2024-03-14,23,0.009477708392581276,0.012291415958734165,0.012242830668350605,0.011337318339888684,0.0014311464282682244
2,2022-10-25|2024-06-03,23,0.010980710882181517,0.013320617542301603,0.012293150677769071,0.012198159700750732,0.001683686762326309
2,2022-10-25|2024-11-26,23,0.008548458261998609,0.011171403459273732,0.010836318469348275,0.010185393396873538,0.0014790150936002907
2,2022-10-25|2025-01-23,23,0.009106655577718566,0.01082224383107156,0.009777618013046585,0.00990217247394557,0.0013801070356889832
2,2022-10-25|2025-03-25,23,0.010976689863499915,0.013354604493319875,0.012855265558538689,0.012395519971786161,0.001438626782300573
2,2022-10-25|2025-04-24,23,0.010123141351139873,0.011503707560682482,0.011289683438570895,0.010972177450131083,0.0007972951658270982
2,2022-10-25|2025-11-20,23,0.010673485832705833,0.01326524185241046,0.011880585474569789,0.011939771053228694,0.00198820619877265
2,2022-10-25|2026-04-02,23,0.008677048706370722,0.011334069063599152,0.00988043478985953,0.00996385085327647,0.002055327315484026
2,2022-10-25|2026-08-03,23,0.007378200022858711,0.009918259001141391,0.009233970233429789,0.008843476419143298,0.00161217387299714
2,2022-12-02|2023-02-17,23,0.009644942717712246,0.013215161048106702,0.012745628356196309,0.011868577374005086,0.002019875511152424
2,2022-12-02|2023-03-06,23,0.01146116505084479,0.014695393701200722,0.01419090772859952,0.013449155493548345,0.0018693573114785666
2,2022-12-02|2023-03-20,23,0.009370724957254039,0.012768274234963661,0.012285468660165647,0.011474822617461116,0.001940177426253819
2,2022-12-02|2023-03-29,23,0.00930570250941561,0.012606228640172999,0.011694004192006854,0.011201978447198488,0.0021063752894617672
2,2022-12-02|2023-05-11,23,0.010338148607648121,0.013785062030699768,0.013175712483182419,0.012432974373843437,0.002028131485284499
2,2022-12-02|2023-07-10,23,0.010025561485961048,0.0134661638610004,0.013062584316513371,0.01218476988782494,0.0019220909597631886
2,2022-12-02|2023-07-18,23,0.010410620467362495,0.013459165150991166,0.012969956465626747,0.01227991402799347,0.0017688766844965453
2,2022-12-02|2023-09-15,23,0.01096597083760657,0.013623096969131969,0.013307936194314179,0.012632334667017575,0.0014861434531715945
2,2022-12-02|2023-10-11,23,0.010782873533325908,0.014762543712509537,0.014720641990449318,0.013422019745428256,0.0020107859506219247
2,2022-12-02|2023-11-02,23,0.009185886680127417,0.012725522396130973,0.012200676358996817,0.01137069514508507,0.0020322408765688555
2,2022-12-02|2023-12-15,23,0.011018554952302369,0.014504382854229744,0.01404248580888829,0.01318847453847347,0.0019738624736344145
2,2022-12-02|2024-03-14,23,0.009245720698889655,0.012955236166586713,0.013130053827357121,0.01177700356427783,0.0017673489034633254
2,2022-12-02|2024-06-03,23,0.010748723188489894,0.013984437750154151,0.013180373836775587,0.012637844925139877,0.00201988923752141
2,2022-12-02|2024-11-26,23,0.008316470568306988,0.01183522366712628,0.01172354162835479,0.010625078621262687,0.001815217568795392
2,2022-12-02|2025-01-23,23,0.008874667884026943,0.011486064038924106,0.0106648411720531,0.010341857698334716,0.0017163095108840842
2,2022-12-02|2025-03-25,23,0.010744702169808292,0.014018424701172422,0.013742488717545204,0.012835205196175307,0.001774829257495674
2,2022-12-02|2025-04-24,23,0.00989115365744825,0.01216752776853503,0.012176906597577409,0.01141186267452023,0.0011334976410221993
2,2022-12-02|2025-11-20,23,0.010441498139014212,0.013929062060263009,0.012767808633576305,0.01237945627761784,0.002324408673967751
2,2022-12-02|2026-04-02,23,0.0084450610126791,0.0119978892714517,0.010767657948866046,0.010403536077665617,0.002391529790679127
2,2022-12-02|2026-08-03,23,0.007146212329167089,0.010582079208993938,0.010121193392436304,0.009283161643532444,0.0019483763481922412
2,2023-02-17|2023-03-06,23,0.010684869480171767,0.01414071857633436,0.013593719813062866,0.012806435956523,0.0020014239297170447
2,2023-02-17|2023-03-20,23,0.008594429386581016,0.012213599110097301,0.011688280744628991,0.01083210308043577,0.002072244044492297
2,2023-02-17|2023-03-29,23,0.008529406938742587,0.012051553515306637,0.0110968162764702,0.010559258910173142,0.002238441907700245
2,2023-02-17|2023-05-11,23,0.009561853036975099,0.013230386905833409,0.012578524567645763,0.01179025483681809,0.0021601981035229774
2,2023-02-17|2023-07-10,23,0.009249265915288025,0.012911488736134038,0.012465396400976715,0.011542050350799594,0.002054157578001667
2,2023-02-17|2023-07-18,23,0.009634324896689472,0.012904490026124805,0.012372768550090093,0.011637194490968124,0.0019009433027350235
2,2023-02-17|2023-09-15,23,0.010189675266933547,0.013068421844265609,0.012710748278777525,0.011989615129992226,0.0016182100714100727
2,2023-02-17|2023-10-11,23,0.010006577962652885,0.014207868587643176,0.014123454074912662,0.01277930020840291,0.0021428525688604026
2,2023-02-17|2023-11-02,23,0.008409591109454394,0.012170847271264612,0.011603488443460163,0.010727975608059725,0.0021643074948073334
2,2023-02-17|2023-12-15,23,0.010242259381629346,0.013949707729363383,0.013445297893351636,0.012545755001448123,0.0021059290918728924
2,2023-02-17|2024-03-14,23,0.008469425128216633,0.012400561041720352,0.012532865911820467,0.011134284027252484,0.0018994155217018035
2,2023-02-17|2024-06-03,23,0.009972427617816871,0.01342976262528779,0.012583185921238933,0.01199512538811453,0.002151955855759888
2,2023-02-17|2024-11-26,23,0.007540174997633964,0.011280548542259919,0.011126353712818135,0.009982359084237337,0.0019472841870338698
2,2023-02-17|2025-01-23,23,0.00809837231335392,0.010931388914057746,0.010067653256516446,0.00969913816130937,0.0018483761291225624
2,2023-02-17|2025-03-25,23,0.00996840659913527,0.01346374957630606,0.013145300802008549,0.012192485659149961,0.0019068958757341521
2,2023-02-17|2025-04-24,23,0.009114858086775228,0.011612852643668669,0.011579718682040755,0.010769143137494884,0.0012655642592606774
2,2023-02-17|2025-11-20,23,0.00966520256834119,0.013374386935396648,0.012170620718039649,0.011736736740592495,0.0024564752922062293
2,2023-02-17|2026-04-02,23,0.007668765442006077,0.01144321414658534,0.010170470033329392,0.00976081654064027,0.002523596408917605
2,2023-02-17|2026-08-03,23,0.006369916758494067,0.010027404084127578,0.00952400547689965,0.008640442106507098,0.0020804429664307194
2,2023-03-06|2023-03-20,23,0.01041065171971356,0.013693831763191321,0.013133560117032204,0.012412681199979028,0.0019217258448184396
2,2023-03-06|2023-03-29,23,0.01034562927187513,0.013531786168400659,0.012542095648873411,0.0121398370297164,0.0020879237080263873
2,2023-03-06|2023-05-11,23,0.011378075370107642,0.014710619558927428,0.014023803940048974,0.013370832956361349,0.0020096799038491196
2,2023-03-06|2023-07-10,23,0.011065488248420569,0.014391721389228057,0.013910675773379929,0.013122628470342852,0.0019036393783278091
