l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688653.SH,康希通信,2023-11-17,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688661.SH,和林微纳,2022-08-04,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688689.SH,银河微电,2021-01-08,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688691.SH,灿芯股份,2024-03-22,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688693.SH,锴威特,2023-07-31,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688699.SH,明微电子,2020-12-07,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688702.SH,盛科通信-U,2023-09-08,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688709.SH,成都华微,2024-01-19,,Y
801080.SI,电子,801081.SI,半导体,850812.SI,分立器件,688711.SH,宏微科技,2021-08-20,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688720.SH,艾森股份,2023-11-17,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688721.SH,龙图光罩,2024-08-02,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688727.SH,恒坤新材,2025-11-07,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688728.SH,格科微,2021-08-13,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688729.SH,屹唐股份,2025-06-20,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688766.SH,普冉股份,2021-08-13,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688783.SH,西安奕材-U,2025-09-26,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688785.SH,恒运昌,2026-01-09,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688790.SH,昂瑞微-UW,2025-12-01,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688795.SH,摩尔线程-U,2025-11-14,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,688797.SH,臻宝科技,2026-06-05,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,688798.SH,艾为电子,2021-07-29,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688801.SH,燧原科技,2026-08-28,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688802.SH,沐曦股份-U,2025-12-01,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688807.SH,优迅股份,2025-12-01,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,688809.SH,强一股份,2025-12-12,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,688820.SH,盛合晶微,2026-04-03,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,688825.SH,长鑫科技,2026-07-10,,Y
801080.SI,电子,801081.SI,半导体,850816.SI,集成电路制造,688981.SH,中芯国际,2020-07-06,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,920012.BJ,创达新材,2026-04-10,,Y
801080.SI,电子,801081.SI,半导体,850814.SI,数字芯片设计,920138.BJ,杰理科技,2026-08-04,,Y
801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测,920139.BJ,华岭股份,2022-09-30,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,920179.BJ,凯德石英,2023-04-10,,Y
801080.SI,电子,801081.SI,半导体,850818.SI,半导体设备,920186.BJ,中科仪,2026-04-22,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,920189.BJ,康美特,2026-07-08,,Y
