order_id,decision_id,cycle_id,signal_date,execution_date,side,quantity,order_type,limit_price,status,checkpoint
ORD-D93299C817326946F5B5,DEC-BA35311AF2FB35911C45,CYC-AE1663434EE6D05359F7,2021-10-29,2021-11-01,SELL,6800,MARKETABLE_LIMIT,7.941000000000001,FILLED,11:30_CLOSE
ORD-D453A8AA013E9B6FEF92,DEC-6A923B27E4D8E5FFA405,CYC-ECA89D6B76F5A6DFFF6C,2021-11-01,2021-11-02,BUY,6800,MARKETABLE_LIMIT,7.911,FILLED,OPEN
ORD-15FB21F4CDB45A178146,DEC-6A923B27E4D8E5FFA405,CYC-ECA89D6B76F5A6DFFF6C,2021-11-01,2021-11-02,SELL,6800,MARKETABLE_LIMIT,7.9,FILLED,11:30_CLOSE
ORD-E167E9B9B516485532CB,DEC-879086FFF805375C7572,CYC-2E32ACF476C1A02C6AE0,2021-11-03,2021-11-04,BUY,6800,MARKETABLE_LIMIT,7.8809999999999985,FILLED,OPEN
ORD-872EFBADE75033480984,DEC-879086FFF805375C7572,CYC-2E32ACF476C1A02C6AE0,2021-11-03,2021-11-04,SELL,6800,MARKETABLE_LIMIT,7.925999999999998,FILLED,11:30_CLOSE
ORD-BFEEAA629F611C33FBFE,DEC-99FC21B35EF15F4C73D5,CYC-403695B166CEA6540F88,2021-11-08,2021-11-09,BUY,6800,MARKETABLE_LIMIT,7.92,FILLED,OPEN
ORD-9C4D28DE73F3763FB4AE,DEC-99FC21B35EF15F4C73D5,CYC-403695B166CEA6540F88,2021-11-08,2021-11-09,SELL,6800,MARKETABLE_LIMIT,7.929,FILLED,11:30_CLOSE
ORD-4392BF544886A0830FCF,DEC-10E80BDA8CC62D1221E5,CYC-186CB3239A07D74BA51F,2021-11-11,2021-11-12,BUY,6800,MARKETABLE_LIMIT,8.0,FILLED,OPEN
ORD-48A80268825C4D9A8255,DEC-10E80BDA8CC62D1221E5,CYC-186CB3239A07D74BA51F,2021-11-11,2021-11-12,SELL,6800,MARKETABLE_LIMIT,8.019,FILLED,11:30_CLOSE
ORD-BDBC5B44D087A1AC7FD3,DEC-C84065CD6139E1E4CAC1,CYC-F82FB8090D54B95745DF,2021-11-17,2021-11-18,BUY,6800,MARKETABLE_LIMIT,7.966,FILLED,OPEN
ORD-CE3112D0ACA5AE827B8B,DEC-C84065CD6139E1E4CAC1,CYC-F82FB8090D54B95745DF,2021-11-17,2021-11-18,SELL,6800,MARKETABLE_LIMIT,8.002,FILLED,11:30_CLOSE
ORD-83E270CD48DB59F27829,DEC-297BF24296FEEFB8E253,CYC-5EF26EA694A028C57B28,2021-11-19,2021-11-22,BUY,6700,MARKETABLE_LIMIT,8.079999999999998,FILLED,OPEN
ORD-379540E4497BCC49EE1D,DEC-297BF24296FEEFB8E253,CYC-5EF26EA694A028C57B28,2021-11-19,2021-11-22,SELL,6700,MARKETABLE_LIMIT,8.133,FILLED,11:30_CLOSE
ORD-5A27FD0509ACFF22F8E1,DEC-E291F1BAB20F96D4FA6A,CYC-2B5CD513BF47A162A26A,2021-12-01,2021-12-02,BUY,6700,MARKETABLE_LIMIT,8.171,FILLED,OPEN
ORD-4629169F7CC7EC94B761,DEC-E291F1BAB20F96D4FA6A,CYC-2B5CD513BF47A162A26A,2021-12-01,2021-12-02,SELL,6700,MARKETABLE_LIMIT,8.133,FILLED,11:30_CLOSE
ORD-58997192FFB1038C48CD,DEC-C3AFA6C755B3104EECB0,CYC-BAFFCF48FC0C5E9436FD,2021-12-16,2021-12-17,BUY,6600,MARKETABLE_LIMIT,8.284000000000002,FILLED,OPEN
ORD-686918659F4ACFA825D7,DEC-C3AFA6C755B3104EECB0,CYC-BAFFCF48FC0C5E9436FD,2021-12-16,2021-12-17,SELL,6600,MARKETABLE_LIMIT,8.223000000000003,FILLED,11:30_CLOSE
ORD-14352224B56DE4D73FC5,DEC-9F921BC242AFA868B97A,CYC-A26CF578D94205ADB6E4,2021-12-21,2021-12-22,BUY,6600,MARKETABLE_LIMIT,8.17,FILLED,OPEN
ORD-3327F433D492606D87D5,DEC-9F921BC242AFA868B97A,CYC-A26CF578D94205ADB6E4,2021-12-21,2021-12-22,SELL,6600,MARKETABLE_LIMIT,8.2,FILLED,11:30_CLOSE
ORD-534DAFDD837EAD2410D0,DEC-E27AE32BFF64C87D1D19,CYC-CF698D1DA97795D6C776,2021-12-30,2021-12-31,BUY,6600,MARKETABLE_LIMIT,8.216,FILLED,OPEN
ORD-2C649717B6EFB78A4B36,DEC-E27AE32BFF64C87D1D19,CYC-CF698D1DA97795D6C776,2021-12-30,2021-12-31,SELL,6600,MARKETABLE_LIMIT,8.243999999999998,FILLED,11:30_CLOSE
