trial_id,behavior_hash,nearest_points,neighborhood_radius,local_feasible_rate,local_feasible_points
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02424,c2040248fe0a23b5c4f144db3499f7823fa27aab4b9b9d4296f6e4bf77e99a6d,20,0.03670734725419089,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01916,d72a94449a10ed9f023bbc96a778aa9d75c6537a934b4fefbcaada0daf450575,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02163,763c464ac280189cf5e6fe91a401bf3f8c8a6eb1b5b6aa7885e69de74e444d5d,20,0.15690263205399457,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02927,5b317abf124e1c106b86475f59e4872a324bb00859d4255a70aff9c4e9738712,20,0.1226822247718482,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01397,11f3d54a40fc6242ea5575574a69c7eec253c5ff8cf12146ace08608589fed59,20,0.15690263205399457,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01899,e8b0f8169db0d99d2014f1cdcc17d49e401032e8917412207753da5c6e555973,20,0.14832861870460623,0.9,18
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01285,08d299d54ca75ed3c5d6aff62466dc61e8378978ec434841f37e896ee964d855,20,0.15690263205399457,0.85,17
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02579,455e26f07b0ae34c6bf4550e03a6c65eee6cfee85dda54038f6457ef486e72cf,20,0.08227480023209988,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02534,b3fdeb55067edf6ffbe4829c0905cd09d264741d596c28f2501a554bd8215966,20,0.20348708473815386,0.6,12
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02616,76c141015e64feb9819a60c33a561bbede8bb6972f25709ec0873b4feda0975b,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02366,50346d33b0dc8382c06f42e9b6d2ed090b32419d18721ff73e2f75dce5ca64e4,20,0.15690263205399457,0.9,18
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02334,4124b18d9cbcf982d5bcb199fadcbe130ef3f81e49333590dad3cba718e9c7be,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02911,0ac763a8860701a4047c8d1554db2098c9407bf17bb7a0aab5009dab799e84a2,20,0.09960459713933534,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-01872,8e0a203a17da233f52290ecc7621bd023739aa3c73081fa89a835492383899b0,20,0.14954895007443125,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02684,cf6c9df979b8fcd941ab88295b8f033d28604cff2a15fe9e56d388bf8019bd77,20,0.09618732398590679,1.0,20
S007-EX27-DECOUPLED-ENTRY-BOUNDARY-02847,f4fe9941cecc9c9b5e215554fa707605a17037f34edf87ffbe89150c85c35630,20,0.07486380113979357,1.0,20
