mechanism_id,variant,year,episodes,mean_return,median_return,win_rate,profit_factor,cumulative_return,annualized_return
LATE_SESSION_FLOW_CONTINUATION,OPPOSITE,2022,67,-0.001967942642682605,-0.001199280431741001,0.4626865671641791,0.6218488425528904,-0.12701691665189863,-0.12701691665189863
LATE_SESSION_FLOW_CONTINUATION,OPPOSITE,2023,68,-0.0009982636809567397,-0.0007039895873464097,0.4117647058823529,0.6568969682001414,-0.06702181639035731,-0.06702181639035731
LATE_SESSION_FLOW_CONTINUATION,OPPOSITE,2024,66,-0.002833044607364324,-0.0014214868065997033,0.45454545454545453,0.5983749968062245,-0.1778626980822854,-0.1778626980822854
LATE_SESSION_FLOW_CONTINUATION,OPPOSITE,2025,63,-0.0011896128181595395,-0.0018845169297979636,0.3968253968253968,0.711458520849653,-0.07460697154962481,-0.07460697154962481
LATE_SESSION_FLOW_CONTINUATION,OPPOSITE,2026,53,-0.0012164524649479961,-0.0007388975234355888,0.49056603773584906,0.7862071980703762,-0.06622934172259642,-0.06622934172259642
LATE_SESSION_FLOW_CONTINUATION,FIXED_LONG,2021,62,0.0010605769195476114,0.002583839092918261,0.6129032258064516,1.3582445643992382,0.06537891817893016,0.06537891817893016
LATE_SESSION_FLOW_CONTINUATION,FIXED_LONG,2022,67,0.00037447532658016106,0.001280671696299196,0.5522388059701493,1.0950640056975842,0.021511248029744134,0.021511248029744134
LATE_SESSION_FLOW_CONTINUATION,FIXED_LONG,2023,68,-0.00017666176357179354,-0.00028970630603208924,0.4852941176470588,0.9280316121215426,-0.013349716805457934,-0.013349716805457934
LATE_SESSION_FLOW_CONTINUATION,FIXED_LONG,2024,66,0.0006274346458904093,8.108882084878477e-05,0.5151515151515151,1.1185118995167092,0.033285730383711076,0.033285730383711076
LATE_SESSION_FLOW_CONTINUATION,FIXED_LONG,2025,63,0.0010104386870396903,0.0011687483699451828,0.6031746031746031,1.3608738766510817,0.06314673595953724,0.06314673595953724
LATE_SESSION_FLOW_CONTINUATION,FIXED_LONG,2026,53,-0.002929717248715816,-0.003802789416397445,0.4528301886792453,0.5553767634656352,-0.14736615622035343,-0.14736615622035343
OPENING_GAP_REVERSION,PRIMARY,2021,62,-0.00021724894682184994,0.0004496260086490622,0.532258064516129,0.9375826481741434,-0.015511482888775796,-0.015511482888775796
OPENING_GAP_REVERSION,PRIMARY,2022,75,-0.0011829718404945074,-0.0006384714931849667,0.4666666666666667,0.6890074729553746,-0.08726580769250347,-0.08726580769250347
OPENING_GAP_REVERSION,PRIMARY,2023,56,-0.0006857942795985006,-0.0011156707950786826,0.3392857142857143,0.7052990924774563,-0.03839177667732763,-0.03839177667732763
OPENING_GAP_REVERSION,PRIMARY,2024,67,-0.000908233152009316,-0.0001883485293439069,0.47761194029850745,0.8140702248615811,-0.06499262856185672,-0.06499262856185672
OPENING_GAP_REVERSION,PRIMARY,2025,67,-0.0014277701262729828,-0.00119928043174089,0.43283582089552236,0.6703198857969268,-0.09436031708089454,-0.09436031708089454
OPENING_GAP_REVERSION,PRIMARY,2026,48,-0.002504758179989297,-0.0027535308848048445,0.4375,0.5832610467790926,-0.11603516773307199,-0.11603516773307199
OPENING_GAP_REVERSION,OPPOSITE,2021,62,-0.0021107240209334104,-0.0028454647570750335,0.3387096774193548,0.5457401470937386,-0.12468107490393776,-0.12468107490393776
OPENING_GAP_REVERSION,OPPOSITE,2022,75,-0.0011480001374586778,-0.0017597746626996091,0.4,0.7009915450070269,-0.08487027175154283,-0.08487027175154283
OPENING_GAP_REVERSION,OPPOSITE,2023,56,-0.0016864808945746465,-0.001282876072816297,0.375,0.4004697163005066,-0.09085606463010998,-0.09085606463010998
OPENING_GAP_REVERSION,OPPOSITE,2024,67,-0.001301426640005906,-0.002209190158301455,0.3582089552238806,0.7528487891230156,-0.08935228092491976,-0.08935228092491976
OPENING_GAP_REVERSION,OPPOSITE,2025,67,-0.0008697029509081213,-0.00119928043174089,0.40298507462686567,0.7877041480150899,-0.05982219399435551,-0.05982219399435551
OPENING_GAP_REVERSION,OPPOSITE,2026,48,0.00023114356819232498,0.0003581435450805692,0.5,1.0507962283124028,0.008171189230403941,0.008171189230403941
OPENING_GAP_REVERSION,FIXED_LONG,2021,62,-0.0012988689410473203,-0.0009674268210345116,0.4838709677419355,0.683035467676389,-0.07943799111545646,-0.07943799111545646
OPENING_GAP_REVERSION,FIXED_LONG,2022,75,-0.0012796188475054408,-0.0008595522958334545,0.44,0.6696590241758074,-0.09386538122656496,-0.09386538122656496
OPENING_GAP_REVERSION,FIXED_LONG,2023,56,-0.0008288991894168096,-0.0015157581734966952,0.30357142857142855,0.661402814029706,-0.046076123822833215,-0.046076123822833215
OPENING_GAP_REVERSION,FIXED_LONG,2024,67,-0.000716877350384126,-0.0015672983829451148,0.373134328358209,0.854551574009936,-0.05293360047190665,-0.05293360047190665
OPENING_GAP_REVERSION,FIXED_LONG,2025,67,-0.0019454038051044912,-0.00119928043174089,0.40298507462686567,0.5774160196481641,-0.12526535657862303,-0.12526535657862303
OPENING_GAP_REVERSION,FIXED_LONG,2026,48,-0.0018293338981661595,-0.0027289898880588637,0.4375,0.6772799651679936,-0.08687089623537037,-0.08687089623537037
