mechanism,signal_date,event_date,signal_clock,execution_clock,announcement_date,premium_rate,prior_60_premium_q20
ETF_DISCOUNT_REVERSAL,2022-05-16,2022-05-18,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-05-17,-0.0016406765107257,-0.00137315278634864
ETF_DISCOUNT_REVERSAL,2022-05-23,2022-05-25,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-05-24,-0.0016057569359778,-0.00137926241085494
ETF_DISCOUNT_REVERSAL,2022-06-07,2022-06-09,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-06-08,-0.0017145306472352,-0.00138759994320678
ETF_DISCOUNT_REVERSAL,2022-06-13,2022-06-15,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-06-14,-0.0019799179748266,-0.00136616462619768
ETF_DISCOUNT_REVERSAL,2022-06-15,2022-06-17,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-06-16,-0.0016594476008325,-0.00138759994320678
ETF_DISCOUNT_REVERSAL,2022-06-20,2022-06-22,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-06-21,-0.0020576131687243,-0.00138759994320678
ETF_DISCOUNT_REVERSAL,2022-07-04,2022-07-06,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-07-05,-0.0013724065552596,-0.0013028483121437198
ETF_DISCOUNT_REVERSAL,2022-07-07,2022-07-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-07-08,-0.0017122822275976,-0.0013028483121437198
ETF_DISCOUNT_REVERSAL,2022-07-26,2022-07-28,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-07-27,-0.0014142702642744,-0.0012967777009787998
ETF_DISCOUNT_REVERSAL,2022-07-28,2022-08-01,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-07-29,-0.0015832587595511,-0.00133295682407352
ETF_DISCOUNT_REVERSAL,2022-08-08,2022-08-10,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-08-09,-0.0017820387075384,-0.0012967777009787998
ETF_DISCOUNT_REVERSAL,2022-08-09,2022-08-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-08-10,-0.0017081301484971,-0.00133295682407352
ETF_DISCOUNT_REVERSAL,2022-08-16,2022-08-18,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-08-17,-0.001526346359056,-0.00133295682407352
ETF_DISCOUNT_REVERSAL,2022-11-30,2022-12-02,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-12-01,-0.0017672141247426,-0.00102991343580588
ETF_DISCOUNT_REVERSAL,2022-12-02,2022-12-05,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-12-03,-0.0013100224806326,-0.00116535933745318
ETF_DISCOUNT_REVERSAL,2022-12-05,2022-12-07,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-12-06,-0.0015254917703733,-0.0012610176057302
ETF_DISCOUNT_REVERSAL,2022-12-06,2022-12-08,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-12-07,-0.0017026471344128,-0.0012782437243340399
ETF_DISCOUNT_REVERSAL,2022-12-07,2022-12-09,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-12-08,-0.0013996814518075,-0.0013150491699338
ETF_DISCOUNT_REVERSAL,2022-12-09,2022-12-12,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2022-12-10,-0.0013838380587647,-0.00132795427486758
ETF_DISCOUNT_REVERSAL,2023-01-09,2023-01-11,NAV_DATE_CLOSE,FIRST_OPEN_AFTER_NAV_ANNOUNCEMENT,2023-01-10,-0.0015837402665963,-0.0012925011754512398
