candidate_id,outcome,representative_candidate_id,failed_count,reason_codes
R1349,SCREENING_NONINFERIORITY,,5,NONINFERIORITY_NET_CAGR_2021;NONINFERIORITY_CALMAR_2021;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1350,SCREENING_NONINFERIORITY,,4,NONINFERIORITY_NET_CAGR_2024;NONINFERIORITY_CALMAR_2024;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1351,SHORTLISTED,,0,
R1352,BEHAVIOR_DEDUPLICATED,R0985,0,BEHAVIOR_DEDUPLICATED
R1353,SHORTLISTED,,0,
R1354,SCREENING_NONINFERIORITY,,6,NONINFERIORITY_NET_CAGR_2023;NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_CALMAR_2023;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1355,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1356,SCREENING_NONINFERIORITY,,8,NONINFERIORITY_MAX_DRAWDOWN_FULL;NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_NET_CAGR_2023;NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_CALMAR_2023;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1357,SCREENING_NONINFERIORITY,,4,NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1358,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1359,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1360,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1361,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1362,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1363,SCREENING_NONINFERIORITY,,2,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1364,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1365,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1366,SCREENING_NONINFERIORITY,,6,NONINFERIORITY_CALMAR_FULL;NONINFERIORITY_MAX_DRAWDOWN_2023;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1367,SCREENING_NONINFERIORITY,,5,NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1368,SCREENING_NONINFERIORITY,,4,NONINFERIORITY_NET_CAGR_2025;NONINFERIORITY_CALMAR_2025;NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1369,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1370,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1371,SCREENING_NONINFERIORITY,,2,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1372,SCREENING_NONINFERIORITY,,2,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1373,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
R1374,SCREENING_NONINFERIORITY,,3,NONINFERIORITY_NET_CAGR_2026_YTD;NONINFERIORITY_MAX_DRAWDOWN_2026_YTD;NONINFERIORITY_CALMAR_2026_YTD
