signal_date,regime,score,target_position
2023-07-13,trend,-0.3433006968285003,0.0
2023-07-14,trend,-0.2876025528801103,0.0
2023-07-17,trend,-0.5140806425190987,0.0
2023-07-18,trend,-0.5140806425190987,0.0
2023-07-19,trend,-0.5140806425190987,0.0
2023-07-20,trend,-0.3846645912968196,0.0
2023-07-21,trend,-0.3846645912968196,0.0
2023-07-24,trend,-0.3846645912968196,0.0
2023-07-25,trend,-0.14917661999508167,0.0
2023-07-26,trend,0.012593444032767187,0.0
2023-07-27,trend,-0.31995656568568,0.0
2023-07-28,trend,-0.2138846456062212,0.0
2023-07-31,trend,0.30377955928289513,1.0
2023-08-01,trend,0.30377955928289513,1.0
2023-08-02,trend,0.14200949525504628,1.0
2023-08-03,trend,0.14200949525504628,1.0
2023-08-04,trend,0.44937261690795904,1.0
2023-08-07,range,0.20036113949366735,1.0
2023-08-08,range,-0.013194303152348485,0.0
2023-08-09,range,-0.013194303152348485,0.0
2023-08-10,trend,-0.10965548244947651,0.0
2023-08-11,trend,-0.10965548244947651,0.0
2023-08-14,trend,-0.25524854007454045,0.0
2023-08-15,trend,-0.3846645912968196,0.0
2023-08-16,trend,-0.3846645912968196,0.0
2023-08-17,trend,-0.22289452726897072,0.0
2023-08-18,trend,-0.14160254243772621,0.0
2023-08-21,trend,-0.3846645912968196,0.0
2023-08-22,trend,-0.2138846456062212,0.0
2023-08-23,trend,-0.3846645912968196,0.0
2023-08-24,trend,-0.22289452726897072,0.0
2023-08-25,trend,-0.3846645912968196,0.0
2023-08-28,trend,-0.3846645912968196,0.0
2023-08-29,trend,0.09347847604669161,0.0
2023-08-30,trend,0.3846645912968195,1.0
2023-08-31,trend,0.22289452726897072,1.0
2023-09-01,trend,0.3523105784912498,1.0
2023-09-04,trend,0.3523105784912498,1.0
2023-09-05,range,0.39357796855434835,1.0
2023-09-06,trend,0.18153063280065146,1.0
2023-09-07,trend,-0.10965548244947651,0.0
2023-09-08,trend,-0.10965548244947651,0.0
2023-09-11,trend,0.0039905151873377565,0.0
2023-09-12,trend,-0.15777954884051112,0.0
2023-09-13,trend,-0.3846645912968196,0.0
2023-09-14,trend,-0.3846645912968196,0.0
2023-09-15,trend,-0.3846645912968196,0.0
2023-09-18,trend,-0.3846645912968196,0.0
2023-09-19,trend,-0.3846645912968196,0.0
2023-09-20,trend,-0.5140806425190987,0.0
2023-09-21,trend,-0.5140806425190987,0.0
2023-09-22,trend,-0.06829158798115723,0.0
2023-09-25,trend,0.09388542886401166,0.0
2023-09-26,trend,0.09388542886401166,0.0
2023-09-27,trend,0.3850715441141396,1.0
2023-09-28,trend,0.3850715441141396,1.0
2023-10-09,trend,0.2556554928918605,1.0
2023-10-10,trend,0.08487554720126217,1.0
2023-10-11,trend,0.4012485505169245,1.0
2023-10-12,trend,0.38466459129681957,1.0
2023-10-13,trend,0.2228945272689707,1.0
2023-10-16,trend,-0.2390715336717556,0.0
2023-10-17,trend,0.05211458157837236,0.0
2023-10-18,trend,0.05211458157837236,0.0
2023-10-19,trend,-0.10965548244947651,0.0
2023-10-20,trend,-0.25524854007454045,0.0
2023-10-23,trend,-0.25524854007454045,0.0
2023-10-24,trend,-0.25524854007454045,0.0
2023-10-25,trend,-0.07689451682658668,0.0
2023-10-26,trend,-0.2386645808544355,0.0
2023-10-27,trend,0.23947848648907563,1.0
2023-10-30,trend,0.5306646017392036,1.0
2023-10-31,trend,0.3688945377113547,1.0
2023-11-01,trend,0.20671752086618583,1.0
2023-11-02,trend,0.035937575175587474,1.0
2023-11-03,trend,0.3523105784912498,1.0
2023-11-06,trend,0.38466459129681957,1.0
2023-11-07,trend,0.38466459129681957,1.0
2023-11-08,trend,0.3039817718629299,1.0
2023-11-09,range,0.31840062326727947,1.0
2023-11-10,range,0.34285855092591955,1.0
2023-11-13,range,0.36912004089570827,1.0
2023-11-14,range,0.36912004089570827,1.0
2023-11-15,range,0.36912004089570827,1.0
2023-11-16,range,0.19031894903590824,1.0
2023-11-17,range,0.19031894903590824,1.0
2023-11-20,range,0.24103836666433703,1.0
2023-11-21,range,0.1393452987376628,1.0
2023-11-22,range,-0.1657339050423598,0.0
2023-11-23,range,-0.1657339050423598,0.0
2023-11-24,range,-0.06404083711568559,0.0
2023-11-27,range,-0.1657339050423598,0.0
2023-11-28,range,0.013194303152348597,0.0
2023-11-29,range,-0.36912004089570827,0.0
2023-11-30,range,-0.36912004089570827,0.0
2023-12-01,trend,-0.05211458157837236,0.0
2023-12-04,trend,-0.14160254243772624,0.0
2023-12-05,trend,-0.38466459129681957,0.0
2023-12-06,trend,-0.38466459129681957,0.0
2023-12-07,trend,-0.38466459129681957,0.0
2023-12-08,trend,0.3041865121002152,1.0
2023-12-11,range,0.4710689304463856,1.0
2023-12-12,range,0.36937586251971133,1.0
2023-12-13,range,0.03790805243499165,1.0
2023-12-14,range,0.03790805243499165,1.0
2023-12-15,range,-0.11463154945501969,0.0
2023-12-18,range,-0.1657339050423598,0.0
2023-12-19,range,-0.11463154945501969,0.0
2023-12-20,range,-0.1657339050423598,0.0
2023-12-21,range,0.013194303152348597,0.0
2023-12-22,range,0.1555645982496925,0.0
2023-12-25,range,-0.12505667787169011,0.0
2023-12-26,range,-0.1657339050423598,0.0
2023-12-27,range,-0.1657339050423598,0.0
2023-12-28,range,0.3081042001397038,1.0
2023-12-29,range,0.6131834039197264,1.0
2024-01-02,range,0.2064111322130296,1.0
2024-01-03,range,0.027482924018321198,1.0
2024-01-04,range,-0.1657339050423598,0.0
2024-01-05,trend,-0.25524854007454045,0.0
2024-01-08,trend,-0.25524854007454045,0.0
2024-01-09,trend,-0.25524854007454045,0.0
2024-01-10,trend,-0.25524854007454045,0.0
2024-01-11,trend,-0.08446859438394214,0.0
2024-01-12,trend,-0.0934784760466916,0.0
2024-01-15,trend,-0.25524854007454045,0.0
2024-01-16,trend,-0.25524854007454045,0.0
2024-01-17,trend,-0.25524854007454045,0.0
2024-01-18,trend,-0.25524854007454045,0.0
2024-01-19,trend,-0.22289452726897072,0.0
2024-01-22,trend,-0.3846645912968196,0.0
2024-01-23,trend,-0.3846645912968196,0.0
2024-01-24,trend,-0.3846645912968196,0.0
2024-01-25,trend,0.09347847604669161,0.0
2024-01-26,trend,-0.3846645912968196,0.0
2024-01-29,trend,-0.3846645912968196,0.0
2024-01-30,trend,-0.3846645912968196,0.0
2024-01-31,trend,-0.3846645912968196,0.0
2024-02-01,trend,-0.3846645912968196,0.0
2024-02-02,trend,-0.3846645912968196,0.0
2024-02-05,trend,-0.3846645912968196,0.0
2024-02-06,trend,0.09347847604669161,0.0
2024-02-07,trend,0.3846645912968195,1.0
2024-02-08,trend,0.22289452726897072,1.0
2024-02-19,trend,0.22289452726897072,1.0
2024-02-20,trend,0.5140806425190987,1.0
2024-02-21,trend,0.5140806425190987,1.0
2024-02-22,trend,0.3846645912968195,1.0
2024-02-23,trend,0.22289452726897072,1.0
2024-02-26,trend,0.5140806425190987,1.0
2024-02-27,trend,0.5140806425190987,1.0
2024-02-28,range,0.39357796855434835,1.0
2024-02-29,trend,0.3523105784912498,1.0
2024-03-01,range,0.5725061767490567,1.0
2024-03-04,range,0.5725061767490567,1.0
2024-03-05,range,0.5725061767490567,1.0
2024-03-06,range,0.29188490062767414,1.0
2024-03-07,range,0.1393452987376628,1.0
2024-03-08,range,0.34285855092591955,1.0
2024-03-11,range,0.5421253727059628,1.0
2024-03-12,range,0.4911517224077174,1.0
2024-03-13,range,0.38945865448104316,1.0
2024-03-14,range,-0.3487814273103735,0.0
2024-03-15,range,-0.3487814273103735,0.0
2024-03-18,range,0.2877655865543689,1.0
2024-03-19,range,0.10883737835966051,1.0
2024-03-20,range,0.26742697296903406,1.0
2024-03-21,range,-0.11488737107902275,0.0
2024-03-22,range,-0.08437945070102043,0.0
2024-03-25,range,-0.1657339050423598,0.0
2024-03-26,range,0.037652230810988674,0.0
2024-03-27,range,0.037652230810988674,0.0
2024-03-28,range,0.13934529873766288,0.0
2024-03-29,range,0.037652230810988674,0.0
2024-04-01,range,0.1148873710790228,0.0
2024-04-02,range,0.1148873710790228,0.0
