factor,exact_match,closest_reference,max_abs_correlation
cross__cxt_bi_trend_V230824__di_1__daily_weekly::横盘,False,raw__daily__cxt_seven_bi_V230620__di_1,0.08823213455189058
cross__cxt_bi_trend_V230824__di_1__all::横盘,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.10408118454102687
cross__cxt_bi_trend_V230824__di_1__30m_daily_divergence,False,raw__daily__cxt_bi_status_V230101,0.06628585077706724
cross__cxt_bi_trend_V230824__di_1__daily_weekly_divergence,False,target_position,0.15112767528976748
cross__cxt_bi_trend_V230913__di_1__30m_daily::上升趋势,False,raw__30m__cxt_bi_status_V230101,0.12156956961900924
cross__cxt_bi_trend_V230913__di_1__daily_weekly::上升趋势,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.1456853798366522
cross__cxt_bi_trend_V230913__di_1__all::上升趋势,False,raw__30m__cxt_bi_status_V230101,0.058033837212963846
cross__cxt_bi_trend_V230913__di_1__30m_daily::下降趋势,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.11282944944872861
cross__cxt_bi_trend_V230913__di_1__daily_weekly::下降趋势,False,raw__daily__cxt_five_bi_V230619__di_1,0.1601880975013173
cross__cxt_bi_trend_V230913__di_1__all::下降趋势,False,raw__daily__cxt_five_bi_V230619__di_1,0.05281359990921572
cross__cxt_bi_trend_V230913__di_1__30m_daily::观望,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.12524544333696946
cross__cxt_bi_trend_V230913__di_1__daily_weekly::观望,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.1156159089798177
cross__cxt_bi_trend_V230913__di_1__all::观望,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.13857239059294993
cross__cxt_bi_trend_V230913__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.11101050143313514
cross__cxt_bi_trend_V230913__di_1__daily_weekly_divergence,False,target_position,0.1285579841046519
cross__cxt_bi_zdf_V230601__di_1__daily_weekly::向上,False,raw__daily__cxt_seven_bi_V230620__di_1,0.19742115353288275
cross__cxt_bi_zdf_V230601__di_1__all::向上,False,raw__30m__cxt_bi_status_V230101,0.08217146062177995
cross__cxt_bi_zdf_V230601__di_1__30m_daily::向下,False,raw__daily__cxt_bi_status_V230101,0.279796687198629
cross__cxt_bi_zdf_V230601__di_1__daily_weekly::向下,False,raw__daily__cxt_five_bi_V230619__di_1,0.40497191847096703
cross__cxt_bi_zdf_V230601__di_1__all::向下,False,raw__daily__cxt_five_bi_V230619__di_1,0.1969834107439195
cross__cxt_bi_zdf_V230601__di_1__30m_daily_divergence,False,target_position,0.12438927353390697
cross__cxt_bi_zdf_V230601__di_1__daily_weekly_divergence,False,raw__weekly__cxt_bi_status_V230101,0.09556797525247764
cross__cxt_bs_V240526__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.20737956132572963
cross__cxt_bs_V240526__di_1__daily_weekly_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.22981692451395835
cross__cxt_bs_V240527__di_1__30m_daily_divergence,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07706109785934913
cross__cxt_bs_V240527__di_1__daily_weekly_divergence,False,raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.09991654428889107
cross__cxt_decision_V240526__di_1__30m_daily::开多,False,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.13248216690890752
