factor,year,endpoint,effect,matched_strata,references
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2021,max_drawdown_20,-0.01024467764561309,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2022,max_drawdown_20,0.00430477043181877,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2023,max_drawdown_20,0.0039266008601460825,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2024,max_drawdown_20,0.0016207840993555844,2,['target_position']
cross__cxt_bi_end_V230222__di_1__30m_daily_divergence,2025,max_drawdown_20,0.012726046858286185,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2021,return_20,-0.02412154922089747,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2022,return_20,0.0081181090794335,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2023,return_20,0.014680009777700396,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2024,return_20,-0.01440275657408923,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2025,return_20,-0.03474467672547988,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2021,max_drawdown_20,-0.008827706984115988,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2022,max_drawdown_20,0.008815689689409248,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2023,max_drawdown_20,0.008643164760864325,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2024,max_drawdown_20,0.023410413425984683,2,['target_position']
cross__cxt_bi_end_V230222__di_1__daily_weekly_divergence,2025,max_drawdown_20,-0.011278843057194865,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2021,return_20,-0.009105572605075253,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2022,return_20,0.017835334895203312,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2023,return_20,-0.016002465535972794,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2024,return_20,-0.00481818355343751,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2025,return_20,-0.004331805147272146,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2021,max_drawdown_20,-0.009358476077244693,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2022,max_drawdown_20,0.009045147786620389,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2023,max_drawdown_20,-0.00868879130629822,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2024,max_drawdown_20,-0.003268037290208275,2,['target_position']
cross__cxt_bi_end_V230312__di_1__30m_daily_divergence,2025,max_drawdown_20,0.006429817778325078,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2021,return_20,-0.02020391459320639,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2022,return_20,0.003635811549433722,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2023,return_20,-0.010435958055844533,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2024,return_20,-0.006560296984718727,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2025,return_20,-0.027600274107240152,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2021,max_drawdown_20,-0.0039248285800925825,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2022,max_drawdown_20,0.0005345518229133273,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2023,max_drawdown_20,-0.0020576268613864083,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2024,max_drawdown_20,0.006472636300296613,2,['target_position']
cross__cxt_bi_end_V230312__di_1__daily_weekly_divergence,2025,max_drawdown_20,-0.004760498575295239,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2021,return_20,-0.027660419463384132,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2022,return_20,-0.008955629686233067,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2023,return_20,-0.006731301893863431,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2024,return_20,0.016627805992669432,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2025,return_20,0.034529279513689316,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2021,max_drawdown_20,-0.016820763801779028,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2022,max_drawdown_20,0.0035863329871064875,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2023,max_drawdown_20,-0.0007424890126589162,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2024,max_drawdown_20,0.0017956799802532001,2,['target_position']
cross__cxt_bi_end_V230320__di_1__30m_daily_divergence,2025,max_drawdown_20,-0.0024643816766872946,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2021,return_20,-0.0015602101370316276,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2022,return_20,-0.02830420840246799,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2023,return_20,-0.006999580537697795,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2024,return_20,0.034954614235093516,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2025,return_20,0.05541864927145663,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2021,max_drawdown_20,0.0008619704770634082,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2022,max_drawdown_20,-0.02100894265300174,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2023,max_drawdown_20,-0.003327665680926001,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2024,max_drawdown_20,0.00805006941518177,2,['target_position']
cross__cxt_bi_end_V230320__di_1__daily_weekly_divergence,2025,max_drawdown_20,-0.009354091673837992,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2021,return_20,-0.019713016327422287,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2022,return_20,-0.008585950099484804,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2023,return_20,0.005967890959705897,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2024,return_20,-0.011982136339757287,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2025,return_20,-0.013480776107714238,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2021,max_drawdown_20,-0.014143995351751234,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2022,max_drawdown_20,-0.007740467073111291,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2023,max_drawdown_20,-0.00711769365548861,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2024,max_drawdown_20,0.0070044844473575755,2,['target_position']
cross__cxt_bi_end_V230322__di_1__30m_daily_divergence,2025,max_drawdown_20,0.007989996585484768,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2021,return_20,-0.032351972703390616,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2022,return_20,-0.013941034349366912,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2023,return_20,-0.03259367809199395,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2024,return_20,-0.07060487093945825,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2025,return_20,-0.011182308988828073,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2021,max_drawdown_20,-0.015850588733116372,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2022,max_drawdown_20,-0.007908159181038163,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2023,max_drawdown_20,-0.02732604867347778,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2024,max_drawdown_20,-0.010549944981603915,2,['target_position']
cross__cxt_bi_end_V230322__di_1__daily_weekly_divergence,2025,max_drawdown_20,0.006737572650812011,2,['target_position']
cross__cxt_bi_end_V230324__di_1__30m_daily_divergence,2021,return_20,-0.017109547744423945,2,['target_position']
cross__cxt_bi_end_V230324__di_1__30m_daily_divergence,2022,return_20,-0.011157724186933636,2,['target_position']
cross__cxt_bi_end_V230324__di_1__30m_daily_divergence,2023,return_20,-0.001256551892436088,2,['target_position']
