state_id,signal_id,frequency,name,namespace,s001_reference_function,state_primary,horizon,episode_count,coverage_years,max_year_share,positive_years,negative_years,year_sign_consistency,forward_bias,evidence_quality,behavior_sha256,event_count,raw_return_mean,raw_return_median,net_return_mean,net_return_median,net_win_rate,net_return_std,standardized_effect,mfe_mean,mfe_median,mae_mean,mae_median
STATE-290175EE92858D72,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,卖点,5,28,6,0.17857142857142858,3,3,0.5,POSITIVE,OK,d047e7958cee64fafe280df2029454a7236b4e55672d08151f15ee1af57d8253,28,0.006370522411189854,-0.0043713464859838624,0.005364654822573109,-0.005366477573953865,0.4642857142857143,0.061960913879819446,0.08658127336498772,0.023921887124494976,0.009983385066151818,-0.019957516605356013,-0.01316860312974305
STATE-290175EE92858D72,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,卖点,10,28,6,0.17857142857142858,3,3,0.5,POSITIVE,OK,d047e7958cee64fafe280df2029454a7236b4e55672d08151f15ee1af57d8253,27,0.004506737394577142,0.00034048348655102423,0.0035027326595502397,-0.000659357076653766,0.48148148148148145,0.055621762038709374,0.06297414053716152,0.03626067738836477,0.013300492610837544,-0.028503448284866076,-0.01871921182266012
STATE-290175EE92858D72,SIG-DAILY-D3F63B0E0CA94CA3,daily,tas_dma_bs_V240608,tas,False,卖点,20,28,6,0.17857142857142858,4,2,0.6666666666666666,POSITIVE,OK,d047e7958cee64fafe280df2029454a7236b4e55672d08151f15ee1af57d8253,27,0.01242904914863003,0.012583755515607198,0.011417126061025329,0.011571677798949853,0.5925925925925926,0.0691274730202927,0.1651604718383641,0.04721526391874585,0.03295194508009147,-0.03814071174563517,-0.028537455410225898
STATE-73392DDE4944A510,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,多头,1,74,6,0.20270270270270271,2,4,0.6666666666666666,NEGATIVE,OK,7adf572d411a73138719d2ca6ab941b18d829cac8fc7290b484fe75d7db20713,74,-0.00042263231068978855,-0.001102057938581369,-0.0014217101394645999,-0.0021004566812712344,0.4189189189189189,0.010664434870615809,-0.13331321881686398,0.007589432827520157,0.005129408441738148,-0.007847173115300938,-0.006640615471666722
STATE-73392DDE4944A510,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,多头,3,74,6,0.20270270270270271,3,3,0.5,POSITIVE,OK,7adf572d411a73138719d2ca6ab941b18d829cac8fc7290b484fe75d7db20713,74,0.0012744262846724475,0.003431878484270401,0.0002736522454075032,0.002428948070992809,0.5540540540540541,0.0257178866108776,0.010640541718998002,0.015375660183632666,0.010941121373648666,-0.014545388719394505,-0.008662847109998706
STATE-73392DDE4944A510,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,多头,5,74,6,0.20270270270270271,3,3,0.5,POSITIVE,OK,7adf572d411a73138719d2ca6ab941b18d829cac8fc7290b484fe75d7db20713,74,0.004273457250950151,0.0024477547251586795,0.0032696856794850447,0.0014458079438243177,0.5135135135135135,0.041562591796884374,0.07866895537852737,0.02256916551924838,0.015150597607936134,-0.019318523494093756,-0.012805797861874468
STATE-73392DDE4944A510,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,多头,10,74,6,0.20270270270270271,4,2,0.6666666666666666,POSITIVE,OK,7adf572d411a73138719d2ca6ab941b18d829cac8fc7290b484fe75d7db20713,73,0.004646914929827467,-0.001553800336656641,0.0036427700873190006,-0.0025517475627068187,0.4794520547945205,0.0404198025135791,0.09012340142174632,0.03243890072669416,0.019746324589218878,-0.026205379066962686,-0.016628338935078646
STATE-73392DDE4944A510,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,多头,20,74,6,0.20270270270270271,4,2,0.6666666666666666,POSITIVE,OK,7adf572d411a73138719d2ca6ab941b18d829cac8fc7290b484fe75d7db20713,73,0.0038027252358575838,-0.0011391375101708068,0.0027994241611591646,-0.002137499191819825,0.4794520547945205,0.07194571868380699,0.03891022582542133,0.050981737082546864,0.033211009174311856,-0.04756735482717213,-0.034011391375101674
STATE-5420376BBA53FB58,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,空头,1,74,6,0.1891891891891892,3,3,0.5,NEGATIVE,OK,2b0a74fa6cd5aef2ba480c83445ddfe7a561cea5e870c27ad67a388083ecfce1,74,0.0008211376462275613,0.002570115114287841,-0.00017918333092997428,0.0015680460337139657,0.5675675675675675,0.012527261392669745,-0.014303471869344275,0.008690789792160487,0.00624804816267055,-0.008381739892530023,-0.00637334794707739
STATE-5420376BBA53FB58,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,空头,3,74,6,0.1891891891891892,3,3,0.5,NEGATIVE,OK,2b0a74fa6cd5aef2ba480c83445ddfe7a561cea5e870c27ad67a388083ecfce1,73,0.00023706729895606865,0.0036130727541467955,-0.0007626698997434195,0.0026099612371512926,0.5342465753424658,0.02400787023680743,-0.03176749508476348,0.014962108044493978,0.013911620294599025,-0.017300853654103884,-0.012254490515359984
STATE-5420376BBA53FB58,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,空头,5,74,6,0.1891891891891892,3,3,0.5,NEGATIVE,OK,2b0a74fa6cd5aef2ba480c83445ddfe7a561cea5e870c27ad67a388083ecfce1,73,0.0009430050934762616,0.0009791921664628056,-5.743769022523806e-05,-2.128678622714819e-05,0.4931506849315068,0.0323455915092849,-0.0017757501886694637,0.02010943354739895,0.02004044861187726,-0.02376676959515632,-0.017364657814095907
STATE-5420376BBA53FB58,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,空头,10,74,6,0.1891891891891892,3,3,0.5,NEGATIVE,OK,2b0a74fa6cd5aef2ba480c83445ddfe7a561cea5e870c27ad67a388083ecfce1,73,-0.0006605578733184419,-0.004333381482016452,-0.0016593978954339476,-0.005328550516017327,0.4657534246575342,0.04693687013174768,-0.03535382505855553,0.029337135557594964,0.022767552828902415,-0.035403428432451096,-0.02298040321443684
STATE-5420376BBA53FB58,SIG-DAILY-5F5C13B209AF118E,daily,tas_double_ma_V221203,tas,False,空头,20,74,6,0.1891891891891892,4,2,0.6666666666666666,POSITIVE,OK,2b0a74fa6cd5aef2ba480c83445ddfe7a561cea5e870c27ad67a388083ecfce1,72,0.0012366214300999706,-0.0010941498455413479,0.00023588517679664264,-0.0020925564923722773,0.4861111111111111,0.06657304477256791,0.003543253543569957,0.046131237810234836,0.025965013463731146,-0.05030316532698236,-0.0364320134591119
STATE-A6D9640BC85CBF5E,SIG-DAILY-0A4EF64DAF2AD9D7,daily,tas_double_ma_V230511,tas,False,其他,1,200,6,0.2,3,3,0.5,NEGATIVE,OK,ff3d8501a6721a3078086c66ed4e2c49b26fe08b3ca08db8705be855958c0365,200,0.0007854177202145219,0.0007826330395086512,-0.00021486755486805454,-0.00021764945228480714,0.495,0.011915228303059078,-0.0180330203839141,0.008348267635325675,0.006957297275830832,-0.008091803420077804,-0.0056965070548761765
STATE-A6D9640BC85CBF5E,SIG-DAILY-0A4EF64DAF2AD9D7,daily,tas_double_ma_V230511,tas,False,其他,3,200,6,0.2,2,4,0.6666666666666666,NEGATIVE,OK,ff3d8501a6721a3078086c66ed4e2c49b26fe08b3ca08db8705be855958c0365,200,-0.0004480834689021496,0.0004223848566555777,-0.0014471358592379724,-0.0005775375669891392,0.485,0.021796801401025197,-0.06639212022961807,0.014393331000738219,0.011091795647306557,-0.015812344648689202,-0.010523712497046922
STATE-A6D9640BC85CBF5E,SIG-DAILY-0A4EF64DAF2AD9D7,daily,tas_double_ma_V230511,tas,False,其他,5,200,6,0.2,3,3,0.5,NEGATIVE,OK,ff3d8501a6721a3078086c66ed4e2c49b26fe08b3ca08db8705be855958c0365,200,-0.0014739591607079744,0.0006333884098594922,-0.0024719861880334944,-0.00036674491188931624,0.47,0.03462086357999315,-0.0714016327848626,0.018702811357746076,0.01350915874059122,-0.021793165479503003,-0.013702527514216856
STATE-A6D9640BC85CBF5E,SIG-DAILY-0A4EF64DAF2AD9D7,daily,tas_double_ma_V230511,tas,False,其他,10,200,6,0.2,3,3,0.5,NEGATIVE,OK,ff3d8501a6721a3078086c66ed4e2c49b26fe08b3ca08db8705be855958c0365,198,-0.000502205990278641,0.0011835648993402392,-0.0015012042851408167,0.0001828816760526264,0.5,0.043550355667386964,-0.03447054018585216,0.02833104537066584,0.020898660458995244,-0.03228860396690425,-0.023028436662255236
STATE-A6D9640BC85CBF5E,SIG-DAILY-0A4EF64DAF2AD9D7,daily,tas_double_ma_V230511,tas,False,其他,20,200,6,0.2,3,3,0.5,NEGATIVE,OK,ff3d8501a6721a3078086c66ed4e2c49b26fe08b3ca08db8705be855958c0365,196,-0.0015933134938318262,-0.005132563749850827,-0.002591221226471556,-0.006126934000975304,0.46938775510204084,0.06854995286542816,-0.03780048151978217,0.044959595312142546,0.03177360721984046,-0.05027589963547924,-0.03334257212465014
STATE-CBB434609ECC736D,SIG-DAILY-0A4EF64DAF2AD9D7,daily,tas_double_ma_V230511,tas,False,看多,1,90,6,0.2222222222222222,4,2,0.6666666666666666,POSITIVE,OK,275b0b9829da0e53c8c0ba86b9dc5a33a0b8b54db12e7c3bc434dbdeb969b5c5,90,0.002950293922806773,0.004218867846552787,0.0019478448534187946,0.0032151508372109117,0.6,0.013033449107624951,0.1494496842189876,0.010974734586697473,0.009029573397117852,-0.0075206607425503435,-0.004641456311116343
STATE-CBB434609ECC736D,SIG-DAILY-0A4EF64DAF2AD9D7,daily,tas_double_ma_V230511,tas,False,看多,3,90,6,0.2222222222222222,3,3,0.5,POSITIVE,OK,275b0b9829da0e53c8c0ba86b9dc5a33a0b8b54db12e7c3bc434dbdeb969b5c5,90,0.0019491049634513572,0.0028353831000609286,0.0009476565826784121,0.0018330488840689885,0.5222222222222223,0.025535507593753958,0.037111327401622166,0.01755024039822948,0.014445711823496299,-0.016106759681565597,-0.008042779621154461
STATE-CBB434609ECC736D,SIG-DAILY-0A4EF64DAF2AD9D7,daily,tas_double_ma_V230511,tas,False,看多,5,90,6,0.2222222222222222,3,3,0.5,POSITIVE,OK,275b0b9829da0e53c8c0ba86b9dc5a33a0b8b54db12e7c3bc434dbdeb969b5c5,90,0.0022830663820169626,0.001836818129857476,0.0012812842067227018,0.0008354819798026547,0.5333333333333333,0.030311181708774414,0.042271008073294564,0.021444800680687295,0.016292869262593546,-0.019980774498319507,-0.012598040521935305
