window,regime,position_combination,path_mechanism,trading_days,market_return_sum,baseline_exposure,ex04_exposure,baseline_daily_return_sum,ex04_daily_return_sum,daily_return_delta_sum,log_wealth_delta
2023H2,downtrend,both_long,both_long,10,0.004158377833395122,1.0,1.0,0.003655307109621031,0.007332104296512099,0.0036767971868910676,0.0036624618730361816
2023H2,downtrend,baseline_only,early_exit,4,-0.006558393041405375,1.0,0.0,-0.006558393041405264,-0.007289276847565862,-0.0007308838061605982,-0.0006626027788587093
2023H2,downtrend,both_cash,both_cash,46,-0.04896624798081162,0.0,0.0,-0.002549004037114888,0.000616759776536302,0.00316576381365119,0.003169448330909961
2023H2,sideways,both_cash,both_cash,19,-0.0068775457150545005,0.0,0.0,-0.0054465517241378825,-0.004446551724137882,0.0010000000000000009,0.0010002500833645967
2023H2,sideways,baseline_only,early_exit,4,-0.03575221786859806,1.0,0.0,-0.03575221786859806,-0.001510616784631047,0.03424160108396701,0.034518901257898874
2023H2,downtrend,baseline_only,late_entry,1,0.024468085106382986,1.0,0.0,0.016387265712444865,0.0,-0.016387265712444865,-0.0162544435703964
2023H2,sideways,baseline_only,fully_missed_entry,3,-0.017337290145347017,1.0,0.0,-0.016683443159994704,0.0,0.016683443159994704,0.0168553798137318
2024H1,sideways,both_long,both_long,42,-0.09758084580993309,1.0,1.0,-0.08681731736525244,-0.08601079988979798,0.0008065174754544602,0.0008030567387654788
2024H1,sideways,baseline_only,early_exit,1,-0.008225616921269108,1.0,0.0,-0.008225616921268997,-0.0028490011750881283,0.005376615746180868,0.005406566673707806
2024H1,sideways,both_cash,both_cash,35,-0.1588845329195635,0.0,0.0,-0.010631680649053621,-0.005973519817376816,0.004658160831676805,0.004663886200614554
2024H1,downtrend,both_cash,both_cash,17,0.08918414169678002,0.0,0.0,-0.004699579831932699,0.0,0.004699579831932699,0.004710657578025732
2024H1,downtrend,baseline_only,fully_missed_entry,3,-0.09328325293161632,1.0,0.0,-0.09003781031335845,0.0,0.09003781031335845,0.09147165324737778
2024H1,downtrend,baseline_only,late_entry,1,0.02976995940460081,1.0,0.0,0.027864446155300815,0.0,-0.027864446155300815,-0.027483296621819434
2024H1,downtrend,both_long,both_long,9,0.11629669185266955,1.0,1.0,0.11629669185266978,0.10657326294075675,-0.009723428911913023,-0.009656250327637544
2024H1,sideways,baseline_only,fully_missed_entry,4,-0.007425151187624102,1.0,0.0,-0.005358790273087721,0.0,0.005358790273087721,0.005647891559052235
2024H1,uptrend,both_long,both_long,4,-0.03819328996013083,1.0,1.0,-0.03819328996013083,-0.03819328996013083,0.0,-8.673617379884035e-19
2024H1,sideways,baseline_only,late_entry,1,0.009198423127463773,1.0,0.0,0.00869407608941919,0.0,-0.00869407608941919,-0.008656500244335317
2024H2,sideways,both_cash,both_cash,30,0.05294400660166576,0.0,0.0,0.008694267381888832,0.01057479224376734,0.0018805248618785075,0.0018822952686340312
2024H2,sideways,baseline_only,late_entry,1,0.012379642365887289,1.0,0.0,-0.0045572612881651375,0.0,0.0045572612881651375,0.004567677260976603
2024H2,sideways,both_long,both_long,16,0.24939434632691926,1.0,1.0,0.2398565150277866,0.2448252567498218,0.004968741722035208,0.0049497297259137076
2024H2,sideways,baseline_only,early_exit,3,-0.008033742363024343,1.0,0.0,-0.008033742363024121,-0.004607534246575451,0.00342620811644867,0.0036349601061203673
2024H2,downtrend,both_cash,both_cash,11,-0.025020714048269665,0.0,0.0,0.0009485507246378422,0.0,-0.0009485507246378422,-0.0009481011346826933
2024H2,sideways,baseline_only,fully_missed_entry,2,-0.02508136264023819,1.0,0.0,-0.022836688020997586,0.0,0.022836688020997586,0.02332540238387536
2024H2,downtrend,baseline_only,fully_missed_entry,1,-0.0043290043290042934,1.0,0.0,-0.0043290043290044045,0.0,0.0043290043290044045,0.004338401598598242
2024H2,uptrend,both_long,both_long,37,0.04119393986695008,1.0,1.0,0.03674256609540483,0.03624809671146079,-0.0004944693839440406,-0.0004998750416511202
2024H2,uptrend,baseline_only,early_exit,2,-0.016972015114979144,1.0,0.0,-0.016972015114979255,-0.0004999999999999449,0.01647201511497931,0.01698103991313532
2024H2,uptrend,both_cash,both_cash,20,0.10836583571302616,0.0,0.0,-0.004604638863814237,0.0014255072532652902,0.006030146117079527,0.006033756935376357
2024H2,uptrend,baseline_only,late_entry,1,0.007744433688286589,1.0,0.0,0.008216821821647402,0.0,-0.008216821821647402,-0.008183247531809879
2024H2,uptrend,ex04_only,ex04_only,1,0.003910068426197455,0.0,1.0,-0.007339198435972416,0.003910068426197455,0.011249266862169871,0.011268706831813108
