hypothesis_id,exit_clock,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M07,11:30,2026,93,0.001077650915890709,-0.0005557232670706513,0.4838709677419355,1.1705552392211185,0.09051700230132687,-0.11755199189199173,0.7700167461602441
M01,15:00,2021,103,0.00034563964169077123,0.0018942878957970422,0.5533980582524272,1.0795741047273049,0.02865341666772636,-0.09084849605272349,0.3153978096797275
M01,15:00,2022,107,-0.001490774611229485,0.0006905979401954365,0.5327102803738317,0.7681676761376267,-0.15900055193531515,-0.1674005587784665,-0.9498209151483915
M01,15:00,2023,103,-0.0019310660919900048,-0.0013692890648587808,0.4174757281553398,0.5914849653761223,-0.1842781227278164,-0.2377517017934201,-0.7750864508550761
M01,15:00,2024,104,-0.002223908066115521,-0.002985030320480364,0.3557692307692308,0.7242082236138907,-0.226236385281811,-0.23954317984826656,-0.944449286450633
M01,15:00,2025,102,0.0015555775783121823,3.893445584363109e-05,0.5,1.4036636601454893,0.16290153682188913,-0.06810137881342126,2.3920446202446763
M01,15:00,2026,71,-0.0004980341595520946,0.0019360809430966075,0.5352112676056338,0.9399052567704064,-0.04914540142644519,-0.17765612745931803,-0.2766321777316638
M02,15:00,2021,101,0.0008614419131536255,0.0036892341668672834,0.6435643564356436,1.183036956887352,0.08105046761792112,-0.07296019394274211,1.1108861317107808
M02,15:00,2022,101,-0.0020321601706087167,0.00016215797163599,0.504950495049505,0.7170512544760059,-0.1976845325683575,-0.20438106748529694,-0.9672350526429206
M02,15:00,2023,101,-0.0017654041782365812,-0.0013734999886166888,0.43564356435643564,0.6199007511761151,-0.167384021476095,-0.21963866842981172,-0.7620881271622927
M02,15:00,2024,101,-0.0029011117381311543,-0.002695735646676023,0.38613861386138615,0.6113619970822749,-0.26490054120285556,-0.2630363048884832,-1.007087372654367
M02,15:00,2025,103,0.0009000824459141044,0.00011996500422273293,0.5048543689320388,1.2038929534006244,0.0875540353038553,-0.11410308947842751,0.7673239673357696
M02,15:00,2026,72,-0.00019039270038599985,0.0011488648687282277,0.5416666666666666,0.9731517717018558,-0.024907665095103337,-0.1467650999606701,-0.16971109004646237
M03,15:00,2021,97,-0.0007870345553881985,0.0008629371585582302,0.5670103092783505,0.8362084628194993,-0.08042134849473181,-0.12377069122612272,-0.6497608415857202
M03,15:00,2022,102,-0.0020383755268348937,-0.0005753568130506537,0.4803921568627451,0.7063516830538373,-0.2001160046455005,-0.20862487222691506,-0.9592145102806355
M03,15:00,2023,103,-0.00110288351644527,-0.0010441630657571643,0.4368932038834951,0.728909473197499,-0.11146018601165808,-0.16931253222422404,-0.6583103125765616
M03,15:00,2024,104,-0.0012339313887673015,-0.0033478733659919047,0.3942307692307692,0.8387092459107157,-0.13977781566884584,-0.25605512439203393,-0.5458895462480127
M03,15:00,2025,103,0.0013992574337015182,0.0010879403372718865,0.5436893203883495,1.3319450527139893,0.14387994621735278,-0.06110352439199307,2.3546914461812394
M03,15:00,2026,72,-0.0010751416721786061,9.471381766223974e-05,0.5138888888888888,0.8628208997820195,-0.08759410895232866,-0.20979361524342388,-0.41752514179563127
M04,15:00,2021,107,-0.0004487770059154902,0.0013480307632816046,0.5420560747663551,0.9080080931120941,-0.05503253229768723,-0.11636300164497282,-0.4729384041294605
M04,15:00,2022,101,-0.0030570143590509247,-0.003523273833011542,0.37623762376237624,0.6187998915707962,-0.27793078563093754,-0.27042397769243476,-1.0277594021157421
M04,15:00,2023,100,-0.001455801861567013,-0.00018196781375612314,0.48,0.7028506816141211,-0.14039442203848995,-0.19255569994394328,-0.7291107044837494
M04,15:00,2024,99,0.002045749537560275,-0.000595532263555576,0.45454545454545453,1.2960680148685935,0.1826207280393657,-0.15405540874415014,1.1854223719120167
M04,15:00,2025,106,0.001593201846572215,0.00045252162177789046,0.5283018867924528,1.4155689797755506,0.17400602877790305,-0.05928948298762393,2.934854885043019
M04,15:00,2026,75,-4.0626029271328966e-05,0.0020476336353727476,0.5866666666666667,0.9947298951889852,-0.020107694515751784,-0.20349816215934957,-0.09881020203025923
M05,15:00,2021,89,0.0006131172314349138,0.002701301869420192,0.5955056179775281,1.1335072147424727,0.04873163163078531,-0.08779911118598083,0.5550355917334896
M05,15:00,2022,97,0.0002955189515576606,0.0017345336923173527,0.5360824742268041,1.0466042057777476,0.014263722456477224,-0.16621451054216785,0.0858151458013564
M05,15:00,2023,92,-0.0022295915355643133,-0.0024123459035413353,0.40217391304347827,0.5496013911126456,-0.1891726233196116,-0.2385950095797411,-0.7928607712827623
M05,15:00,2024,98,-0.0024176164624757175,-0.0022922200214876565,0.40816326530612246,0.65984187719541,-0.2214519101365081,-0.23608696810688767,-0.9380098864086662
M05,15:00,2025,89,0.0004404431255847612,-0.00010513253863020378,0.4943820224719101,1.0874551250767321,0.029416881683503204,-0.0807095231165228,0.3644784474941471
