anchor,trade_number,signal_date,entry_date,exit_date,holding_sessions,flat_sessions_before,entry_open,exit_open,gross_return,net_return,cost_drag,short_holding,rapid_reentry,causal_falling_trend,total_score,score_margin,role_confirmation_contribution,role_entry_timing_contribution,role_opportunity_contribution,role_risk_context_contribution,risk_overridden
EX14_UNIQUE_FEASIBLE_10BP,95,2024-05-15,2024-05-16,2024-05-20,2,1.0,0.768,0.771,0.00390625,0.0019004433066935889,0.002005806693306411,True,True,False,0.12664807759728772,0.05463535109993181,0.06625293852175829,0.050437944724792114,-0.00461933908732326,0.01457653343806057,False
EX14_UNIQUE_FEASIBLE_10BP,96,2024-05-20,2024-05-21,2024-05-22,1,1.0,0.769,0.766,-0.0039011703511053764,-0.0058913778029512365,0.00199020745184586,True,True,False,0.09656410161775578,0.02455137512039987,0.06981459601478848,0.0019084627733705131,0.022534160730605178,0.0023068820989916045,False
EX14_UNIQUE_FEASIBLE_10BP,97,2024-05-28,2024-05-29,2024-05-30,1,5.0,0.75,0.75,0.0,-0.0019980019980019303,0.0019980019980019303,True,False,False,0.1053911856832247,0.03337845918586879,0.05251494127366416,0.04771156933426281,0.016835207073667924,-0.011670531998370204,True
EX14_UNIQUE_FEASIBLE_10BP,98,2024-06-03,2024-06-04,2024-06-18,9,3.0,0.767,0.774,0.009126466753585305,0.007110230056775135,0.0020162366968101697,False,True,False,0.15764318045807177,0.08563045396071586,0.04753185911893352,-0.01990254035086392,0.11614402270747382,0.013869838982528354,False
EX14_UNIQUE_FEASIBLE_10BP,99,2024-06-28,2024-07-01,2024-07-02,1,9.0,0.73,0.725,-0.006849315068493178,-0.00883363212130317,0.001984317052809992,True,False,True,0.10145115305824007,0.029438426560884162,-0.03654423251714457,0.04716629425615695,0.057790391767099526,0.03303869955212816,False
EX14_UNIQUE_FEASIBLE_10BP,100,2024-07-02,2024-07-03,2024-07-11,6,1.0,0.717,0.739,0.030683403068340276,0.028624095569702357,0.002059307498637919,False,True,True,0.09901911505878308,0.027006388561427175,-0.025122082678066433,0.03244386714729871,0.06118076081173454,0.03051656977781626,False
EX14_UNIQUE_FEASIBLE_10BP,101,2024-07-11,2024-07-12,2024-07-15,1,1.0,0.732,0.734,0.002732240437158362,0.0007287794173040929,0.002003461019854269,True,True,True,0.1493340228343334,0.07732129633697749,-0.05525379163066389,-0.008997038788746699,0.19133395976810752,0.02225089348563644,False
EX14_UNIQUE_FEASIBLE_10BP,102,2024-07-17,2024-07-18,2024-07-19,1,3.0,0.742,0.749,0.009433962264151052,0.007417111190696213,0.0020168510734548395,True,True,True,0.07777864299743595,0.005765916500080043,-0.020115959944724895,0.02917221667866355,0.14050164458215375,-0.07177925831865647,True
EX14_UNIQUE_FEASIBLE_10BP,103,2024-07-23,2024-07-24,2024-07-25,1,3.0,0.739,0.727,-0.016238159675236785,-0.018203717797763752,0.001965558122526967,True,True,True,0.18477540257429667,0.11276267607694077,-0.07542400766205265,0.06516037183365035,0.126966319678096,0.06807271872460299,False
EX14_UNIQUE_FEASIBLE_10BP,104,2024-07-29,2024-07-30,2024-07-31,1,3.0,0.723,0.726,0.004149377593360981,0.0021430851306372123,0.002006292462723769,True,True,True,0.10472353262400741,0.032710806126651504,-0.028189121611827826,0.05807179581827416,0.05005321507634333,0.024787643341217743,False
EX14_UNIQUE_FEASIBLE_10BP,105,2024-08-01,2024-08-02,2024-08-05,1,2.0,0.75,0.741,-0.01200000000000001,-0.013974025974025861,0.0019740259740258503,True,True,False,0.26289506484756936,0.19088233835021345,0.035273046160393166,0.034079692381616296,0.1616549435854138,0.03188738272014607,False
EX14_UNIQUE_FEASIBLE_10BP,106,2024-08-14,2024-08-15,2024-08-20,3,8.0,0.719,0.723,0.0055632823365785455,0.0035541648893526734,0.002009117447225872,True,False,True,0.07931594219415616,0.007303215696800258,0.019540382997665782,0.03462496745972215,0.067497820632958,-0.04234722889618976,True
EX14_UNIQUE_FEASIBLE_10BP,107,2024-08-20,2024-08-21,2024-08-22,1,1.0,0.71,0.71,0.0,-0.0019980019980018193,0.0019980019980018193,True,True,True,0.09535561115631362,0.023342884658957716,-0.07359810742405283,0.02917221667866355,0.098782267160672,0.0409992347410309,False
EX14_UNIQUE_FEASIBLE_10BP,108,2024-08-26,2024-08-27,2024-08-28,1,3.0,0.699,0.691,-0.011444921316165924,-0.013420056338511177,0.0019751350223452535,True,True,True,0.07864078352253658,0.00662805702518067,-0.027537257665231026,0.007906488632534982,0.150541938882719,-0.05227038632748639,True
EX14_UNIQUE_FEASIBLE_10BP,109,2024-09-02,2024-09-03,2024-09-05,2,4.0,0.686,0.691,0.007288629737609131,0.005276065042828737,0.0020125646947803943,True,False,True,0.2266625929338595,0.1546498664365036,-0.07004112131927526,0.06461509675554448,0.15943394328769,0.07265467420990027,False
