hypothesis_id,exit_bars,regime,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M07,12,trend_down,268,-0.001020133643012336,-0.001729826447804228,0.373134328358209,0.649772956337432,-0.048084386614140606,-0.2567111471296738,-0.18730930523188966
M07,12,trend_up,323,-0.0016181401459538516,-0.0013572685240482718,0.38699690402476783,0.4636828617330433,-0.08903950866682431,-0.4145806590902169,-0.21477004948136863
M01,24,range,323,-0.001100363215880679,-0.0014764940647046254,0.38390092879256965,0.6498388725288666,-0.062021920654703244,-0.3230140662423229,-0.19200996840854243
M01,24,trend_down,144,-0.0014072333105811295,-0.002097022078321298,0.3611111111111111,0.6257500158912663,-0.035889075997601494,-0.250648025528299,-0.14318515345156588
M01,24,trend_up,158,-0.0007247037170972953,-0.0009914754381721291,0.44936708860759494,0.7663969869713626,-0.02064100029641147,-0.12511713963927718,-0.16497340297197605
M02,24,range,292,-0.0011410594418240962,-0.0009865499746289919,0.4212328767123288,0.6415416293856996,-0.058223287448900485,-0.3110217630056088,-0.1872000431296202
M02,24,trend_down,140,-0.0015313566830300464,-0.0018058355832407669,0.32142857142857145,0.49828114163930526,-0.03753267453785292,-0.2018875907029516,-0.18590877431925384
M02,24,trend_up,182,-0.0008770235911678734,-0.0009663217083274445,0.4175824175824176,0.7374482705684601,-0.028628591998792752,-0.2075014081104829,-0.13796818180409468
M03,24,range,322,-0.0013107216352554213,-0.0009303242512080367,0.4254658385093168,0.5954832551385757,-0.0730511591304529,-0.3551150395204258,-0.20571125128664422
M03,24,trend_down,163,-0.0014173532314938934,-0.0018506722053723834,0.37423312883435583,0.6252613974702559,-0.041028993204869746,-0.21079287404273817,-0.19464127234467676
M03,24,trend_up,184,-0.0013473540784601815,-0.0019843471185808648,0.41847826086956524,0.6545182105425131,-0.04419413683072526,-0.22468812682443007,-0.19669101992762747
M04,24,range,361,-0.0014442706159005735,-0.0013736520657436913,0.3767313019390582,0.5547450704184724,-0.08907565790023597,-0.42999959086013373,-0.207152889894748
M04,24,trend_down,161,-0.00044003583758562724,-0.0017368480956636567,0.37888198757763975,0.8869841602648304,-0.013923916708801776,-0.18349035483023457,-0.07588364370260331
M04,24,trend_up,231,-0.0005947449607791517,-0.0004129470042743,0.47619047619047616,0.8158962598535234,-0.025298944077356555,-0.14253827583631273,-0.1774887757616011
M05,24,range,278,-0.00101834580187833,-0.0010009071520811763,0.420863309352518,0.6906980383132678,-0.049930243463956914,-0.27941612375357805,-0.17869492566574743
M05,24,trend_down,124,-0.0011732811473465364,-0.001465192873335297,0.3629032258064516,0.6649918958940971,-0.026013791410370746,-0.1599947106496894,-0.1625915713384319
M05,24,trend_up,158,-0.0012658339004197018,-0.0012654875588500314,0.41139240506329117,0.6299725474168367,-0.03537729474677731,-0.20104223391258624,-0.17596946700343302
M06,24,range,324,-0.0013411186105109002,-0.0016346267556220928,0.3888888888888889,0.590370747397814,-0.07494715797285556,-0.37613261314055335,-0.19925727085210046
M06,24,trend_down,150,-0.0014262927251715318,-0.0020375684637331526,0.35333333333333333,0.6286781675067328,-0.037961517352996244,-0.2604185133328013,-0.14577119294312
M06,24,trend_up,174,-0.00019415107121079078,-0.0010322553867433415,0.42528735632183906,0.9344908841521536,-0.006772762696663381,-0.11863199328314922,-0.057090524311584685
M07,24,range,437,-0.0015674749434899226,-0.00157675613830488,0.38443935926773454,0.5386392706006005,-0.11549442836634916,-0.5095656089132756,-0.2266527142847379
M07,24,trend_down,230,-0.0011281676177483547,-0.0015631865791801425,0.4043478260869565,0.7179396989289571,-0.04644033171920514,-0.2680268856065223,-0.17326743775765097
M07,24,trend_up,276,-0.0013591314353192756,-0.0009054271425295579,0.4420289855072464,0.6196937918171624,-0.06546462313812074,-0.33319334825254254,-0.1964763807004397
