hypothesis_id,exit_bars,year,episodes,mean_return,median_return,win_rate,profit_factor,cagr,max_drawdown,calmar
M06,6,2025,171,-0.0009998526827306065,-0.001199280431741001,0.30994152046783624,0.44024646642019816,-0.15797962283581157,-0.16389583887430537,-0.9639025854522698
M06,6,2026,108,-0.0010036632203663778,-0.0014366470789992647,0.37037037037037035,0.5572524911052935,-0.10373038529293743,-0.11284062234931269,-0.9192645621168825
M07,6,2021,215,-0.0009446629946045584,-0.0007663369035361134,0.3813953488372093,0.427923086894946,-0.18467724679363062,-0.18764913033493558,-0.9841625509481423
M07,6,2022,206,-0.0013682196474998985,-0.0016569845803944827,0.30097087378640774,0.4242086493388628,-0.24713266913927023,-0.24814854011788023,-0.9959061980452215
M07,6,2023,215,-0.0011058306654035531,-0.001199280431741001,0.2930232558139535,0.3335205132189175,-0.21226571851544995,-0.22839612403589304,-0.9293753097232589
M07,6,2024,215,-0.0011302828776000088,-0.0013986816534556912,0.3813953488372093,0.5703451552184409,-0.21911990133160797,-0.23563535042980033,-0.9299109871754468
M07,6,2025,204,-0.001140797811831921,-0.0012810421147442796,0.3284313725490196,0.4430849758975159,-0.208884080762192,-0.23055264292882982,-0.9060146876159352
M07,6,2026,147,-0.0013977795033923743,-0.0016889486359662476,0.3945578231292517,0.5323248628700173,-0.18785076882057794,-0.19844546874488966,-0.946611530153245
M01,12,2021,146,-0.000796018875945141,-0.0008015418999642865,0.4520547945205479,0.5935505801247289,-0.11071939372689865,-0.11602918126439254,-0.9542374816435649
M01,12,2022,165,-0.0017390281268686715,-0.0019055459667205454,0.34545454545454546,0.43068790497962123,-0.25138673072311846,-0.24528734515981188,-1.0248662871675367
M01,12,2023,147,-0.0012772169781958185,-0.001861285879673491,0.3129251700680272,0.43394743994688206,-0.17211511710327554,-0.18601965348777727,-0.9252523261720013
M01,12,2024,152,-0.001961462968865311,-0.0024457664272811153,0.34868421052631576,0.4071948706052593,-0.25980417616910545,-0.2617270095659543,-0.9926532863381672
M01,12,2025,147,-0.0009715406897825029,-0.0014715816093767708,0.3469387755102041,0.5670351372596999,-0.13440305433936606,-0.13434517401810697,-1.0004308329025
M01,12,2026,95,-0.0004047642142363277,-0.0005120322302030189,0.45263157894736844,0.8521263592056655,-0.03995270722425337,-0.07693105109874754,-0.519331357802075
M02,12,2021,141,-0.00019905537663170768,-0.00032049649044141315,0.48226950354609927,0.8909268562089627,-0.02908515030614489,-0.07155926389079825,-0.4064484278447829
M02,12,2022,149,-0.0011984826398457032,-0.0010642891194597714,0.4228187919463087,0.5365698400230173,-0.16524961501576274,-0.18061843292901603,-0.9149100251617546
M02,12,2023,161,-0.0013219411675571486,-0.0015164607174086298,0.3167701863354037,0.32878974906280634,-0.19248364956553232,-0.19915027913403627,-0.9665246285493929
M02,12,2024,136,-0.0013720886795961793,-0.0016334140613381565,0.3088235294117647,0.5076123520768043,-0.17196215592628605,-0.17368956171175487,-0.9900546367412941
