path_id,factor_name,direction,holding_sessions,closed_events,closed_events_per_60_sessions,mean_net_return,median_net_return,win_rate,profit_factor,worst_event,positive_years,observed_years,baseline_conflict_rate,screen_pass
P039,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,CONTINUATION,10,26,1.1353711790393013,0.003451159939384052,-0.005048915970524037,0.46153846153846156,1.1786963187864676,-0.07380488722428458,2,6,0.8076923076923077,False
P040,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,REVERSAL,3,56,2.445414847161572,-0.008275227654169675,-0.0037013283944282716,0.39285714285714285,0.5265817848173684,-0.09465579710144933,1,6,0.42857142857142855,False
P041,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,REVERSAL,5,55,2.4017467248908297,-0.008206879044055605,-0.01158741078338632,0.4,0.5851608632012791,-0.12316524183667532,2,6,0.4727272727272727,False
P042,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,REVERSAL,10,44,1.9213973799126638,-0.00878593926564622,-0.003833165033752861,0.4772727272727273,0.6571913769257401,-0.1251255263542178,2,6,0.6590909090909091,False
P043,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,CONTINUATION,3,16,0.6986899563318777,-0.01410747622328875,-0.0164508946137516,0.25,0.41846522310110723,-0.13297931554955378,0,4,0.5625,False
P044,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,CONTINUATION,5,14,0.611353711790393,-0.01911160904535233,-0.011351927361080538,0.35714285714285715,0.31241883440201956,-0.11843258250590383,1,4,0.6428571428571429,False
P045,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,CONTINUATION,10,14,0.611353711790393,6.077570758333817e-05,-0.006341681126164678,0.42857142857142855,1.002037981900921,-0.16525175213743148,2,4,0.7857142857142857,False
P046,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,REVERSAL,3,42,1.834061135371179,-0.008146443121812388,-0.0045894123596303404,0.38095238095238093,0.4673299613702714,-0.08277173050555575,1,6,0.2857142857142857,False
P047,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,REVERSAL,5,40,1.7467248908296944,-0.0025207580588373383,-0.008967151294516917,0.4,0.8286141605379842,-0.12316524183667532,3,6,0.45,False
P048,raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,REVERSAL,10,36,1.5720524017467248,-0.0014232482264508615,-0.002334619715306685,0.4444444444444444,0.9123818499082099,-0.11331316590225593,2,6,0.6666666666666666,False
P049,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,CONTINUATION,3,6,0.26200873362445415,-0.00016828562155914625,0.006460053184490389,0.8333333333333334,0.97527879208493,-0.04084402885262561,3,4,0.6666666666666666,False
P050,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,CONTINUATION,5,5,0.2183406113537118,0.012324836008209638,0.026807730155540943,0.6,3.0187553730801744,-0.018699721719579565,2,3,0.8,False
P051,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,CONTINUATION,10,5,0.2183406113537118,0.007142591119539965,-0.009055955893021106,0.4,1.6605057001980272,-0.025605423889040413,2,3,1.0,False
P052,raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,REVERSAL,3,29,1.2663755458515285,-0.007405062564818467,-0.011616896865576543,0.2413793103448276,0.514632662948857,-0.050830879097268356,1,6,0.27586206896551724,False
