date,R1102,S001-v1,R0539,R1319
2023-08-01,0.0005067896773982561,0.0005067643610070505,0.0005067777208969115,0.0005067793498656492
2023-08-02,-0.0010060237769945468,-0.001005973547101524,-0.0010060000542703174,-0.001006003286284196
2023-08-03,0.001007036880040335,0.001006986548931943,0.0010070131095132329,0.0010070163480395689
2023-08-04,0.006036142661966837,0.0060358412826089225,0.006036000325622348,0.006036019717705621
2023-08-07,-0.007999901668204745,-0.007999504636486354,-0.007999714156907367,-0.00799973970368617
2023-08-08,-0.0030241560768206055,-0.0030240047789323876,-0.0030240846213975825,-0.0030240943565742473
2023-08-09,-0.0015105980104096473,-0.001510522206278786,-0.0015105622094031546,-0.0015105670869769439
2023-08-10,0.0,0.0,0.0,0.0
2023-08-11,0.0,0.0,0.0,0.0
2023-08-14,0.0,0.0,0.0,0.0
2023-08-15,0.0,0.0,0.0,0.0
2023-08-16,0.0,0.0,0.0,0.0
2023-08-17,0.0,0.0,0.0,0.0
2023-08-18,0.0,0.0,0.0,0.0
2023-08-21,0.0,0.0,0.0,0.0
2023-08-22,0.0,0.0,0.0,0.0
2023-08-23,0.0,0.0,0.0,0.0
2023-08-24,0.0,0.0,0.0,0.0
2023-08-25,0.0,0.0,0.0,0.0
2023-08-28,0.0,0.0,0.0,0.0
2023-08-29,0.0,0.0,0.0,0.0
2023-08-30,0.0,0.0,0.0,0.0
2023-08-31,0.0057535289390813205,0.0057534698318186805,0.005753560576155392,0.005753223021663922
2023-09-01,-0.006217496836046221,-0.006217433327732835,-0.006217530828772855,-0.006217168140331353
2023-09-04,0.007299128617807682,0.007299053594769234,0.007299168773776898,0.007298740326207254
2023-09-05,-0.012422121255491803,-0.012421994501696898,-0.012422189100263603,-0.012421465224354611
2023-09-06,0.003144592827272641,0.0031445603366362374,0.003144610217838739,0.003144424667749668
2023-09-07,-0.03761682433129254,-0.03761643688420235,-0.03761703171177633,-0.037614819048108705
2023-09-08,-0.004840836082794953,-0.004840784274123711,-0.004840863813327156,-0.004840567940678442
2023-09-11,0.0,0.0,0.0,0.0
2023-09-12,0.0,0.0,0.0,0.0
2023-09-13,0.0,0.0,0.0,0.0
2023-09-14,0.0,0.0,0.0,0.0
2023-09-15,0.0,0.0,0.0,0.0
2023-09-18,0.0,0.0,0.0,0.0
2023-09-19,0.0,0.0,0.0,0.0
2023-09-20,0.0,0.0,0.0,0.0
2023-09-21,0.0,0.0,0.0,0.0
2023-09-22,0.0,0.0,0.0,0.0
2023-09-25,0.0,0.0,0.0,0.0
2023-09-26,0.0,0.0,0.0,0.0
2023-09-27,0.0,0.0,0.0,0.0
2023-09-28,0.006141346469887177,0.006140922038173402,0.006141171662114475,0.006141197491229766
2023-10-09,-0.0011000920154026206,-0.0011000164514917143,-0.0011000608934216283,-0.0011000654919205433
2023-10-10,-0.00550651775322597,-0.0055061391010537974,-0.005506361800390436,-0.005506384843554701
2023-10-11,0.013288817718428048,0.013287898862023972,0.013288439275349395,0.013288495193056082
2023-10-12,0.00655727048698207,0.0065568230297365915,0.006557086195936757,0.006557113426282513
2023-10-13,-0.008686070402875612,-0.008685481540923745,-0.00868582787253902,-0.00868586370817026
2023-10-16,-0.01971490344578597,-0.01971355518675899,-0.019714348147844674,-0.019714430197160238
2023-10-17,0.0006167495297670911,0.0006167065034163866,0.0006167318087930695,0.0006167344271947872
2023-10-18,0.0,0.0,0.0,0.0
2023-10-19,0.0,0.0,0.0,0.0
2023-10-20,0.0,0.0,0.0,0.0
2023-10-23,0.0,0.0,0.0,0.0
2023-10-24,0.0,0.0,0.0,0.0
2023-10-25,0.0,0.0,0.0,0.0
2023-10-26,0.0,0.0,0.0,0.0
2023-10-27,0.0,0.0,0.0,0.0
2023-10-30,0.021079221014976612,0.021078902786036968,0.021080230725007754,0.021079831655521186
2023-10-31,-0.002224575463917855,-0.002224542573230126,-0.00222467982279273,-0.0022246385768742716
2023-11-01,-0.005573838083234417,-0.0055737554894544905,-0.005574100145105176,-0.005573996569982476
2023-11-02,-0.01121015978198081,-0.011209992737466146,-0.011210689797838791,-0.011210480318809779
2023-11-03,0.017005878285787812,0.017005622005375587,0.017006691438968158,0.01700637005501071
2023-11-06,0.0156067466330565,0.015606515370472529,0.015607480406293561,0.015607190395950932
2023-11-07,0.0010976370729540719,0.001097621057978504,0.0010976878868351747,0.0010976678035941045
2023-11-08,0.0087714686944107,0.008771340855399101,0.008771874314499994,0.008771714000713304
2023-11-09,-0.0054344993927136764,-0.005434420876762713,-0.005434748515652288,-0.005434650054474077
2023-11-10,-0.00437135564376212,-0.004371292142688721,-0.004371557126124137,-0.004371477493979925
2023-11-13,0.006585822437725319,0.006585726347871468,0.00658612732101016,0.0065860068215657375
2023-11-14,0.008723644211844794,0.00872351776305047,0.008724045420784199,0.008723886850446672
2023-11-15,-0.0010810250485726591,-0.001081009514677933,-0.0010810743359875863,-0.0010810548560623578
2023-11-16,-0.017315118854364875,-0.01731486977381891,-0.01731590916080028,-0.017315596807012668
2023-11-17,0.004405053742706055,0.004404989258826486,0.004405258343506135,0.004405177478840061
2023-11-20,0.0010964335868013375,0.0010964176069250264,0.001096484289312416,0.0010964642500890243
2023-11-21,-0.006571396421059639,-0.006571300751704867,-0.0065716999701036505,-0.00657157999800051
2023-11-22,-0.0027038262009281278,-0.016536920960399937,-0.0027039519235552145,-0.016537628342632393
2023-11-23,0.0,-0.0004999656760910076,0.0,-0.000499987422219017
2023-11-24,0.0,0.0,0.0,0.0
2023-11-27,0.0,0.0,0.0,0.0
2023-11-28,0.0,0.0,0.0,0.0
2023-11-29,0.0,0.0,0.0,0.0
2023-11-30,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0
2023-12-04,0.0,0.0,0.0,0.0
2023-12-05,0.0,0.0,0.0,0.0
2023-12-06,0.0,0.0,0.0,0.0
2023-12-07,0.0,0.0,0.0,0.0
2023-12-08,0.0,0.0,0.0,0.0
