scenario_id,window_id,metric,standard_advantage,stress_advantage,advantage_shrinkage
slippage_30bp,2026_ytd,max_drawdown,-6.809080486558372e-06,-0.002542002042628777,
slippage_30bp,2026_ytd,calmar,1.1709847523179207,0.8953906657239905,0.23535241261545203
slippage_30bp,2026_ytd,profit_factor,30.5337188978773,12.30785407842567,0.5969094325001691
slippage_30bp,full,net_cagr,0.041265943516339165,0.034324820545690304,0.16820463508608585
slippage_30bp,full,max_drawdown,0.023626873129304005,0.05652076197511047,-1.3922235357081059
slippage_30bp,full,calmar,0.29583613769563555,0.15923349691934147,0.46175102825617165
slippage_30bp,full,profit_factor,0.41187900951940737,0.23558731075360417,0.4280181672076603
slippage_50bp,2021,net_cagr,0.0010187939248492706,0.0008851925320314535,0.13113681732798244
slippage_50bp,2021,max_drawdown,-0.0003125459180371992,0.0007678330853310156,
slippage_50bp,2021,calmar,0.0064370630940839,0.0017690616283225769,0.7251756581431577
slippage_50bp,2021,profit_factor,0.0002901765698581915,-0.01831826971690259,64.12801107909809
slippage_50bp,2022,net_cagr,0.053678794036955635,0.04762585821244558,0.11276214253887407
slippage_50bp,2022,max_drawdown,0.012026553616150903,0.017535721448858954,-0.45808367122810534
slippage_50bp,2022,calmar,0.6088649948536458,0.3263947822221227,0.46392913867452845
slippage_50bp,2022,profit_factor,0.33264366994316585,0.19164593871829738,0.42387017690418927
slippage_50bp,2023,net_cagr,0.01120827317638784,-0.016383626644373872,2.4617440516072366
slippage_50bp,2023,max_drawdown,0.011588381913038015,0.015228903221595758,-0.3141526863609678
slippage_50bp,2023,calmar,0.06349178967224375,-0.12325628413368706,2.941294847254402
slippage_50bp,2023,profit_factor,0.10683376791190635,0.06247167625944777,0.41524409856103683
slippage_50bp,2024,net_cagr,0.06290316678616348,0.05521584805338975,0.12220877144240494
slippage_50bp,2024,max_drawdown,-1.0224635581534969e-06,-2.0096435487948483e-06,
slippage_50bp,2024,calmar,0.3450196740238358,0.2886407726482986,0.16340778691838376
slippage_50bp,2024,profit_factor,0.749204760746029,0.35896917751291,0.5208663955158768
slippage_50bp,2025,net_cagr,0.049628545943901425,0.04356125457235582,0.1222540627808012
slippage_50bp,2025,max_drawdown,0.022105739793054524,0.021238537352830877,0.039229740707258154
slippage_50bp,2025,calmar,1.0923167394601165,0.5397510625245006,0.5058657960407387
slippage_50bp,2025,profit_factor,2.4315967681952033,0.7457467952539703,0.6933098427304278
slippage_50bp,2026_ytd,net_cagr,0.14159646515882196,0.12696170128083484,0.10335543236599876
slippage_50bp,2026_ytd,max_drawdown,-6.809080486558372e-06,-0.004278272502103331,
slippage_50bp,2026_ytd,calmar,1.1709847523179207,0.743568873701637,0.36500550307784096
slippage_50bp,2026_ytd,profit_factor,30.5337188978773,7.9683066494194605,0.7390325536149016
slippage_50bp,full,net_cagr,0.041265943516339165,0.030161367113928916,0.269097843310269
slippage_50bp,full,max_drawdown,0.023626873129304005,0.04121978854844821,-0.7446146310966564
slippage_50bp,full,calmar,0.29583613769563555,0.08279604753849903,0.7201286895393357
slippage_50bp,full,profit_factor,0.41187900951940737,0.16030905170745857,0.6107860609490348
